refid	region	sector	local_x	local_z	world_x	world_z	height
1979	23960	152x93	511.26	1073.8	-7168.74	8753.8	114.31
1979	23960	152x93	1374.96	1166.82	-6305.04	8846.82	101.16
1979	24216	152x94	318.62	753.23	-7361.38	10353.23	0.63
1979	24215	151x94	1386.88	89.35	-8213.12	9689.35	15.37
1979	24216	152x94	341.53	1526.38	-7338.47	11126.38	0
1979	24472	152x95	619.05	230.27	-7060.95	11750.27	51
1979	24214	150x94	1211.33	918.65	-10308.67	10518.65	0
1979	24727	151x96	807.05	174.31	-8792.95	13614.31	0
1979	24470	150x95	521.32	853.56	-10998.68	12373.56	3.54
1979	24471	151x95	1434.22	711.05	-8165.78	12231.05	0
1979	24214	150x94	288.25	1752.99	-11231.75	11352.99	40.38
1979	24215	151x94	1691.33	1409.47	-7908.67	11009.47	0
1979	23960	152x93	459.39	1567.35	-7220.61	9247.35	4.99
1979	24215	151x94	1896.8	702.9	-7703.2	10302.9	3.71
1979	24472	152x95	146.23	179.34	-7533.77	11699.34	9.78
1979	24470	150x95	700.12	1457.44	-10819.88	12977.44	47.44
1979	23960	152x93	1029.63	1406.52	-6650.37	9086.52	5.82
1979	24471	151x95	1796.94	1147.94	-7803.06	12667.94	45.1
1979	24470	150x95	722.06	136.76	-10797.94	11656.76	0
1979	24727	151x96	526.29	431.55	-9073.71	13871.55	29.78
1979	24470	150x95	1916.83	908.55	-9603.17	12428.55	0
1979	24216	152x94	1265.34	184.71	-6414.66	9784.71	36.79
1979	24471	151x95	226.5	1236.57	-9373.5	12756.57	67.24
1979	24470	150x95	1015.29	1101.9	-10504.71	12621.9	36.16
1979	24469	149x95	1745.8	826.12	-11694.2	12346.12	70.24
1979	24470	150x95	1556.71	696.53	-9963.29	12216.53	0
1979	24214	150x94	849.59	996.42	-10670.41	10596.42	20.79
1979	24215	151x94	282.07	748.52	-9317.93	10348.52	0
1979	24215	151x94	821.22	491.29	-8778.78	10091.29	5.01
1979	24215	151x94	1379.36	361.58	-8220.64	9961.58	11.75
1979	24215	151x94	1871.8	1595.19	-7728.2	11195.19	0
1979	24215	151x94	1383.34	1506.38	-8216.66	11106.38	0
1979	24471	151x95	1159.06	1588.12	-8440.94	13108.12	42.15
1979	24471	151x95	65.86	1824.58	-9534.14	13344.58	-45.75
1979	24470	150x95	1227.48	1708.69	-10292.52	13228.69	7.74
1979	24216	152x94	666.79	1597.07	-7013.21	11197.07	39.39
1979	24216	152x94	262.76	390.22	-7417.24	9990.22	3.39
1979	23960	152x93	259.78	1860.61	-7420.22	9540.61	2.6
1979	23960	152x93	242.45	1200.11	-7437.55	8880.11	44.5
1979	24470	150x95	1406.81	1226.64	-10113.19	12746.64	32.68
1979	24980	148x97	1691.74	1032.15	-13668.26	16392.15	50.13
1979	24981	149x97	302.48	617.95	-13137.52	15977.95	21.16
1979	24726	150x96	333.47	923.88	-11186.53	14363.88	17.29
1979	24726	150x96	282.21	12.96	-11237.79	13452.96	12.44
1979	24726	150x96	856.98	124.75	-10663.02	13564.75	1.95
1979	24727	151x96	718.46	327.7	-8881.54	13767.7	25.38
1979	24470	150x95	1867.81	1262.4	-9652.19	12782.4	-6.94
1979	24471	151x95	973.51	1084.14	-8626.49	12604.14	0
1979	24471	151x95	966.98	1775.0	-8633.02	13295.0	28.38
1979	24471	151x95	1648.62	503.89	-7951.38	12023.89	3.32
1979	24215	151x94	1663.51	1659.9	-7936.49	11259.9	0
1979	24214	150x94	919.01	1666.97	-10600.99	11266.97	18.7
1979	24470	150x95	289.82	35.62	-11230.18	11555.62	42.49
1979	24470	150x95	693.35	664.82	-10826.65	12184.82	1.25
1979	24216	152x94	837.3	54.99	-6842.7	9654.99	0
1979	24215	151x94	1401.26	868.81	-8198.74	10468.81	0
1979	24215	151x94	1267.9	1199.31	-8332.1	10799.31	0
1979	24472	152x95	37.5	324.14	-7642.5	11844.14	9.23
1979	24472	152x95	454.42	497.31	-7225.58	12017.31	42.92
1979	23960	152x93	661.81	1159.44	-7018.19	8839.44	11.29
1979	24469	149x95	1744.29	1504.04	-11695.71	13024.04	6.47
1979	24726	150x96	1219.69	100.17	-10300.31	13540.17	-30.89
1979	24470	150x95	1299.93	824.82	-10220.07	12344.82	-1.18
1979	24215	151x94	1169.07	440.59	-8430.93	10040.59	9.21
1979	24216	152x94	435.32	1588.4	-7244.68	11188.4	30.08
1979	23960	152x93	713.21	1527.51	-6966.79	9207.51	-17.27
