refid	region	sector	local_x	local_z	world_x	world_z	height
1978	25490	146x99	249.53	924.78	-18950.47	20124.78	142.12
1978	25489	145x99	1087.15	1291.37	-20032.85	20491.37	241.82
1978	25488	144x99	1576.67	1019.44	-21463.33	20219.44	369.65
1978	25488	144x99	141.62	582.64	-22898.38	19782.64	425.25
1978	25487	143x99	1642.0	1056.91	-23318.0	20256.91	500.92
1978	25231	143x98	1597.12	1368.2	-23362.88	18648.2	503.63
1978	25232	144x98	872.63	1322.85	-22167.37	18602.85	457.02
1978	25231	143x98	1151.17	1650.65	-23808.83	18930.65	523.6
1978	25231	143x98	322.18	1560.1	-24637.82	18840.1	635.46
1978	25231	143x98	1221.81	700.07	-23738.19	17980.07	559.93
1978	25232	144x98	1701.97	840.97	-21338.03	18120.97	460.81
1978	25233	145x98	1327.62	1020.7	-19792.38	18300.7	412.51
1978	24977	145x97	644.33	1917.01	-20475.67	17277.01	492.98
1978	24977	145x97	1331.44	1416.74	-19788.56	16776.74	577.21
1978	24978	146x97	104.58	1090.7	-19095.42	16450.7	660.6
1978	24978	146x97	587.06	816.82	-18612.94	16176.82	707.76
1978	24721	145x96	1343.56	1113.0	-19776.44	14553.0	796.63
1978	24721	145x96	1418.58	576.06	-19701.42	14016.06	850.64
1978	24721	145x96	743.16	1416.01	-20376.84	14856.01	849.4
1978	24721	145x96	328.94	1895.08	-20791.06	15335.08	892.43
1978	24976	144x97	1561.05	20.35	-21478.95	15380.35	936.73
1978	24976	144x97	743.21	149.36	-22296.79	15509.36	858.48
1978	24976	144x97	438.97	1315.37	-22601.03	16675.37	707.37
1978	24975	143x97	1380.87	1730.44	-23579.13	17090.44	610.87
1978	24975	143x97	1192.89	725.75	-23767.11	16085.75	761.16
1978	24719	143x96	1106.93	1915.19	-23853.07	15355.19	807.06
1978	24719	143x96	1122.76	1187.79	-23837.24	14627.79	847.25
1978	24719	143x96	1238.35	531.7	-23721.65	13971.7	866.25
1978	24463	143x95	1473.55	1726.95	-23486.45	13246.95	971.08
1978	24720	144x96	10.68	109.79	-23029.32	13549.79	950.04
1978	24464	144x95	82.68	1450.8	-22957.32	12970.8	974.82
1978	25234	146x98	34.5	365.92	-19165.5	17645.92	682.65
1978	24978	146x97	1191.84	1612.96	-18008.16	16972.96	1021.01
1978	25232	144x98	169.63	526.36	-22870.37	17806.36	375.5
1978	25233	145x98	143.31	1864.54	-20976.69	19144.54	325.4
1978	25489	145x99	1492.23	480.52	-19627.77	19680.52	256.59
1978	25487	143x99	730.04	1349.06	-24229.96	20549.06	444.41
1978	25744	144x100	1315.84	272.24	-21724.16	21392.24	300.9
1978	25231	143x98	425.03	365.27	-24534.97	17645.27	733.91
1978	25490	146x99	1130.55	329.11	-18069.45	19529.11	118.14
1978	25233	145x98	728.08	1546.72	-20391.92	18826.72	321.94
1978	25489	145x99	580.33	710.79	-20539.67	19910.79	250.6
1978	25487	143x99	1125.51	512.82	-23834.49	19712.82	466.9
1978	25488	144x99	824.79	1598.92	-22215.21	20798.92	382.21
