refid	region	sector	local_x	local_z	world_x	world_z	height
1977	24725	149x96	1414.32	506.8	-12025.68	13946.8	8.55
1977	24726	150x96	434.57	545.54	-11085.43	13985.54	59.62
1977	24726	150x96	1215.16	932.17	-10304.84	14372.17	0
1977	24725	149x96	1128.96	1092.74	-12311.04	14532.74	2.51
1977	24980	148x97	1124.7	1767.42	-14235.3	17127.42	74.62
1977	25236	148x98	760.36	790.88	-14599.64	18070.88	33.62
1977	25235	147x98	663.66	1891.96	-16616.34	19171.96	0.93
1977	25491	147x99	626.52	1385.06	-16653.48	20585.06	44.88
1977	25491	147x99	1475.89	1108.23	-15804.11	20308.23	0.96
1977	24725	149x96	1789.97	1866.68	-11650.03	15306.68	37.5
1977	24980	148x97	414.74	983.94	-14945.26	16343.94	-103.54
1977	25235	147x98	1582.97	1378.9	-15697.03	18658.9	18.46
1977	24981	149x97	520.62	1105.39	-12919.38	16465.39	5.82
1977	24981	149x97	1011.24	715.23	-12428.76	16075.23	14.23
1977	24981	149x97	1467.9	451.19	-11972.1	15811.19	0.94
1977	24470	150x95	228.57	701.07	-11291.43	12221.07	62
1977	24470	150x95	1253.43	1420.65	-10266.57	12940.65	0
1977	24471	151x95	0.74	1275.27	-9599.26	12795.27	0
1977	24471	151x95	898.91	1566.1	-8701.09	13086.1	58
1977	24214	150x94	763.84	1377.7	-10756.16	10977.7	15.57
1977	24215	151x94	322.58	436.84	-9277.42	10036.84	0.79
1977	24216	152x94	1080.92	1035.73	-6599.08	10635.73	46.07
1977	24216	152x94	81.18	890.69	-7598.82	10490.69	0.36
1977	23960	152x93	175.68	1751.54	-7504.32	9431.54	6.97
1977	24471	151x95	1784.6	170.11	-7815.4	11690.11	5.36
