refid	region	sector	local_x	local_z	world_x	world_z	height
1982	23701	149x92	101.45	1202.48	-13338.55	6962.48	232.87
1982	23445	149x91	65.77	788.22	-13374.23	4628.22	209.76
1982	23444	148x91	187.66	722.35	-15172.34	4562.35	219.31
1982	23699	147x92	1909.22	1038.2	-15370.78	6798.2	226.59
1982	24721	145x96	1258.45	723.54	-19861.55	14163.54	827.5
1982	24467	147x95	132.52	411.48	-17147.48	11931.48	-168.01
1982	24212	148x94	835.65	1289.69	-14524.35	10889.69	1109.79
1982	23447	151x91	977.37	1768.52	-8622.63	5608.52	278.26
1982	23188	148x90	923.97	170.43	-14436.03	2090.43	723.48
1982	23953	145x93	1209.36	1589.88	-19910.64	9269.88	1071.76
1982	24468	148x95	1215.86	1710.4	-14144.14	13230.4	1035.36
