refid	region	sector	local_x	local_z	world_x	world_z	height
2105	23704	152x92	538.48	1181.93	-7141.52	6941.93	138.97
2105	23447	151x91	680.32	1830.59	-8919.68	5670.59	312.57
2105	23446	150x91	1886.31	1791.48	-9633.69	5631.48	421.26
2105	23703	151x92	617.32	497.79	-8982.68	6257.79	374.04
2105	23958	150x93	1703.64	74.27	-9816.36	7754.27	520.42
2105	23958	150x93	1169.49	254.92	-10350.51	7934.92	581.37
2105	23447	151x91	768.56	1188.4	-8831.44	5028.4	386.09
2105	23447	151x91	527.01	574.74	-9072.99	4414.74	491.99
2105	23447	151x91	272.88	38.98	-9327.12	3878.98	567.9
2105	23190	150x90	1672.46	856.06	-9847.54	2776.06	765.13
2105	23448	152x91	560.85	1919.24	-7119.15	5759.24	298.34
2105	23447	151x91	1696.1	177.07	-7903.9	4017.07	580.14
2105	23191	151x90	973.86	683.17	-8626.14	2603.17	908.9
2105	22934	150x89	1835.33	1866.86	-9684.67	1866.86	982.32
2105	22933	149x89	1918.9	1842.69	-11521.1	1842.69	872.15
2105	23188	148x90	1787.89	4.39	-13572.11	1924.39	742.3
