refid	region	sector	local_x	local_z	world_x	world_z	height
14950	-32761	7x-128	-2134.22	511.63	-288214.22	-416128.37	67.27
14950	-32761	7x-128	-2107.71	-999.82	-288187.71	-417639.82	55.07
14950	-32761	7x-128	-13.45	-2048.75	-286093.45	-418688.75	-77.56
14955	-32761	7x-128	478.83	3105.04	-285601.17	-413534.96	-76.89
14955	-32761	7x-128	-640.89	3108.32	-286720.89	-413531.68	-76.28
14952	-32761	7x-128	-2158.05	2963.7	-288238.05	-413676.3	75.77
14952	-32761	7x-128	2121.2	3020.7	-283958.8	-413619.3	54.87
14950	-32761	7x-128	1673.87	-2175.13	-284406.13	-418815.13	-0.24
14950	-32761	7x-128	1586.03	-3016.13	-284493.97	-419656.13	-74.6
14950	-32761	7x-128	-1612.16	-3023.95	-287692.16	-419663.95	-76.39
14950	-32761	7x-128	-1675.08	-2217.24	-287755.08	-418857.24	-0.24
14950	-32761	7x-128	2099.61	-1049.82	-283980.39	-417689.82	47.87
14950	-32761	7x-128	-8.03	-240.83	-286088.03	-416880.83	-77.79
14955	-32761	7x-128	-620.43	2009.83	-286700.43	-414630.17	-76.81
14955	-32761	7x-128	726.88	2018.93	-285353.12	-414621.07	-76.89
14952	-32761	7x-128	854.16	1015.86	-285225.84	-415624.14	-67.94
14952	-32761	7x-128	-856.59	1055.18	-286936.59	-415584.82	-73.37
14950	-32761	7x-128	2148.85	633.45	-283931.15	-416006.55	68.94
14952	-32761	7x-128	-37.35	2532.03	-286117.35	-414107.97	-77.83
