refid	region	sector	local_x	local_z	world_x	world_z	height
14998	-32761	7x-128	2303.5	-2904.24	-283776.5	-419544.24	-0.24
14999	-32761	7x-128	2303.5	-2904.24	-283776.5	-419544.24	-0.24
15000	-32761	7x-128	2303.5	-2904.24	-283776.5	-419544.24	-0.24
15001	-32761	7x-128	2303.5	-2904.24	-283776.5	-419544.24	-0.24
15002	-32761	7x-128	2303.5	-2904.24	-283776.5	-419544.24	-0.24
15003	-32761	7x-128	2303.5	-2904.24	-283776.5	-419544.24	-0.24
14998	-32761	7x-128	0.98	668.83	-286079.02	-415971.17	11.51
14999	-32761	7x-128	0.98	668.83	-286079.02	-415971.17	11.51
15000	-32761	7x-128	0.98	668.83	-286079.02	-415971.17	11.51
15001	-32761	7x-128	0.98	668.83	-286079.02	-415971.17	11.51
15002	-32761	7x-128	0.98	668.83	-286079.02	-415971.17	11.51
15003	-32761	7x-128	0.98	668.83	-286079.02	-415971.17	11.51
14998	-32761	7x-128	-142.28	859.52	-286222.28	-415780.48	11.43
14999	-32761	7x-128	-142.28	859.52	-286222.28	-415780.48	11.43
15000	-32761	7x-128	-142.28	859.52	-286222.28	-415780.48	11.43
15001	-32761	7x-128	-142.28	859.52	-286222.28	-415780.48	11.43
15002	-32761	7x-128	-142.28	859.52	-286222.28	-415780.48	11.43
15003	-32761	7x-128	-142.28	859.52	-286222.28	-415780.48	11.43
14998	-32761	7x-128	142.53	862.1	-285937.47	-415777.9	11.57
14999	-32761	7x-128	142.53	862.1	-285937.47	-415777.9	11.57
15000	-32761	7x-128	142.53	862.1	-285937.47	-415777.9	11.57
15001	-32761	7x-128	142.53	862.1	-285937.47	-415777.9	11.57
15002	-32761	7x-128	142.53	862.1	-285937.47	-415777.9	11.57
15003	-32761	7x-128	142.53	862.1	-285937.47	-415777.9	11.57
14998	-32761	7x-128	2.03	1052.54	-286077.97	-415587.46	11.35
14999	-32761	7x-128	2.03	1052.54	-286077.97	-415587.46	11.35
15000	-32761	7x-128	2.03	1052.54	-286077.97	-415587.46	11.35
15001	-32761	7x-128	2.03	1052.54	-286077.97	-415587.46	11.35
15002	-32761	7x-128	2.03	1052.54	-286077.97	-415587.46	11.35
15003	-32761	7x-128	2.03	1052.54	-286077.97	-415587.46	11.35
14998	-32761	7x-128	-677.15	3826.51	-286757.15	-412813.49	-76.82
14999	-32761	7x-128	-677.15	3826.51	-286757.15	-412813.49	-76.82
15000	-32761	7x-128	-677.15	3826.51	-286757.15	-412813.49	-76.82
15001	-32761	7x-128	-677.15	3826.51	-286757.15	-412813.49	-76.82
15002	-32761	7x-128	-677.15	3826.51	-286757.15	-412813.49	-76.82
15003	-32761	7x-128	-677.15	3826.51	-286757.15	-412813.49	-76.82
14998	-32761	7x-128	702.61	3825.62	-285377.39	-412814.38	-76.91
14999	-32761	7x-128	702.61	3825.62	-285377.39	-412814.38	-76.91
15000	-32761	7x-128	702.61	3825.62	-285377.39	-412814.38	-76.91
15001	-32761	7x-128	702.61	3825.62	-285377.39	-412814.38	-76.91
15002	-32761	7x-128	702.61	3825.62	-285377.39	-412814.38	-76.91
15003	-32761	7x-128	702.61	3825.62	-285377.39	-412814.38	-76.91
14998	-32761	7x-128	-2758.06	6277.15	-288838.06	-410362.85	223.81
14999	-32761	7x-128	-2758.06	6277.15	-288838.06	-410362.85	223.81
15000	-32761	7x-128	-2758.06	6277.15	-288838.06	-410362.85	223.81
15001	-32761	7x-128	-2758.06	6277.15	-288838.06	-410362.85	223.81
15002	-32761	7x-128	-2758.06	6277.15	-288838.06	-410362.85	223.81
15003	-32761	7x-128	-2758.06	6277.15	-288838.06	-410362.85	223.81
14998	-32761	7x-128	2734.39	6294.87	-283345.61	-410345.13	223.82
14999	-32761	7x-128	2734.39	6294.87	-283345.61	-410345.13	223.82
15000	-32761	7x-128	2734.39	6294.87	-283345.61	-410345.13	223.82
15001	-32761	7x-128	2734.39	6294.87	-283345.61	-410345.13	223.82
15002	-32761	7x-128	2734.39	6294.87	-283345.61	-410345.13	223.82
15003	-32761	7x-128	2734.39	6294.87	-283345.61	-410345.13	223.82
14998	-32762	6x-128	-7188.71	6751.41	-295188.71	-409888.59	21.4
14999	-32762	6x-128	-7188.71	6751.41	-295188.71	-409888.59	21.4
15000	-32762	6x-128	-7188.71	6751.41	-295188.71	-409888.59	21.4
15001	-32762	6x-128	-7188.71	6751.41	-295188.71	-409888.59	21.4
15002	-32762	6x-128	-7188.71	6751.41	-295188.71	-409888.59	21.4
15003	-32762	6x-128	-7188.71	6751.41	-295188.71	-409888.59	21.4
14998	-32761	7x-128	-2298.02	-2896.38	-288378.02	-419536.38	0.22
14999	-32761	7x-128	-2298.02	-2896.38	-288378.02	-419536.38	0.22
15000	-32761	7x-128	-2298.02	-2896.38	-288378.02	-419536.38	0.22
15001	-32761	7x-128	-2298.02	-2896.38	-288378.02	-419536.38	0.22
15002	-32761	7x-128	-2298.02	-2896.38	-288378.02	-419536.38	0.22
15003	-32761	7x-128	-2298.02	-2896.38	-288378.02	-419536.38	0.22
14998	-32762	6x-128	-4921.43	6707.67	-292921.43	-409932.33	21.34
