refid	region	sector	local_x	local_z	world_x	world_z	height
14960	-32762	6x-128	-6059.05	-35.37	-294059.05	-416675.37	-47.24
14960	-32762	6x-128	-7154.88	10.41	-295154.88	-416629.59	-0.15
14960	-32762	6x-128	-4938.19	-38.1	-292938.19	-416678.1	-0.15
14960	-32762	6x-128	-6077.19	1110.0	-294077.19	-415530.0	-0.15
14960	-32762	6x-128	-6039.0	-1155.37	-294039.0	-417795.37	-0.15
14960	-32762	6x-128	-7198.39	1129.8	-295198.39	-415510.2	21.2
14960	-32762	6x-128	-7187.15	-1083.3	-295187.15	-417723.3	21.27
14960	-32762	6x-128	-4979.42	-1087.93	-292979.42	-417727.93	21.27
14960	-32762	6x-128	-5002.07	1114.05	-293002.07	-415525.95	21.2
14960	-32762	6x-128	-6596.07	-568.29	-294596.07	-417208.29	-0.15
14960	-32762	6x-128	-5532.94	-562.53	-293532.94	-417202.53	-0.15
14960	-32762	6x-128	-5517.33	530.02	-293517.33	-416109.98	-0.15
14960	-32762	6x-128	-6606.09	544.25	-294606.09	-416095.75	-0.15
14960	-32762	6x-128	-12708.68	601.07	-300708.68	-416038.93	-0.15
14960	-32762	6x-128	-12685.78	-626.21	-300685.78	-417266.21	-0.15
14960	-32762	6x-128	-11497.51	-585.33	-299497.51	-417225.33	-0.15
14960	-32762	6x-128	-11500.24	582.25	-299500.24	-416057.75	-0.15
14960	-32762	6x-128	-12102.4	608.08	-300102.4	-416031.92	-0.15
14960	-32762	6x-128	-11494.89	17.99	-299494.89	-416622.01	-0.15
14960	-32762	6x-128	-12673.41	-2.2	-300673.41	-416642.2	-0.15
14960	-32762	6x-128	-12098.33	-611.17	-300098.33	-417251.17	-0.15
14960	-32762	6x-128	-13229.96	11.88	-301229.96	-416628.12	-0.15
14960	-32762	6x-128	-12076.08	1172.23	-300076.08	-415467.77	-0.15
14960	-32762	6x-128	-10932.41	12.04	-298932.41	-416627.96	-0.15
14960	-32762	6x-128	-12098.76	-1155.19	-300098.76	-417795.19	-0.15
14962	-32762	6x-128	-12074.2	-5823.25	-300074.2	-422463.25	-47.24
14962	-32762	6x-128	-13145.48	-4769.93	-301145.48	-421409.93	19.4
14962	-32762	6x-128	-11013.0	-4750.61	-299013.0	-421390.61	17.54
14962	-32762	6x-128	-10985.15	-6840.05	-298985.15	-423480.05	21.27
14962	-32762	6x-128	-13163.77	-6799.56	-301163.77	-423439.56	19.34
14962	-32762	6x-128	-12034.24	-4286.48	-300034.24	-420926.48	0.02
14962	-32762	6x-128	-10571.55	-5772.37	-298571.55	-422412.37	0.02
14962	-32762	6x-128	-12043.52	-7302.5	-300043.52	-423942.5	0.02
14962	-32762	6x-128	-13569.42	-5811.57	-301569.42	-422451.57	0.02
14962	-32762	6x-128	-10074.9	-4582.41	-298074.9	-421222.41	21.69
14962	-32762	6x-128	-10890.44	-3782.82	-298890.44	-420422.82	22.1
14962	-32762	6x-128	-13159.84	-3749.27	-301159.84	-420389.27	22.13
14962	-32762	6x-128	-14094.63	-4603.12	-302094.63	-421243.12	22.19
14962	-32762	6x-128	-14059.68	-6931.64	-302059.68	-423571.64	21.27
14962	-32762	6x-128	-13266.71	-7742.43	-301266.71	-424382.43	21.27
14962	-32762	6x-128	-10077.99	-6893.68	-298077.99	-423533.68	21.27
14962	-32762	6x-128	-10943.74	-7793.81	-298943.74	-424433.81	21.27
14962	-32762	6x-128	-7130.23	-5810.87	-295130.23	-422450.87	-0.15
14962	-32762	6x-128	-6056.37	-4689.56	-294056.37	-421329.56	-0.15
14962	-32762	6x-128	-4960.83	-5820.5	-292960.83	-422460.5	-0.15
14962	-32762	6x-128	-6071.7	-6888.96	-294071.7	-423528.96	-0.15
14962	-32762	6x-128	-4788.4	-4509.58	-292788.4	-421149.58	21.26
14962	-32762	6x-128	-4817.88	-7064.98	-292817.88	-423704.98	21.27
14962	-32762	6x-128	-7350.68	-7039.31	-295350.68	-423679.31	21.27
14962	-32762	6x-128	-7403.65	-4487.63	-295403.65	-421127.63	21.2
14962	-32762	6x-128	1.85	-5829.75	-287998.15	-422469.75	-47.24
14962	-32762	6x-128	-1306.03	-4509.82	-289306.03	-421149.82	21.2
14962	-32762	6x-128	-1314.32	-7006.88	-289314.32	-423646.88	21.27
14962	-32762	6x-128	1223.33	-6978.2	-286776.67	-423618.2	21.27
14962	-32762	6x-128	1273.7	-4511.16	-286726.3	-421151.16	21.26
14963	-32762	6x-128	6207.56	-5821.96	-281792.44	-422461.96	-47.24
14963	-32762	6x-128	4908.44	-4507.82	-283091.56	-421147.82	21.2
14963	-32762	6x-128	7432.8	-4497.76	-280567.2	-421137.76	21.24
14963	-32762	6x-128	7409.79	-7007.63	-280590.21	-423647.63	21.27
14963	-32762	6x-128	4918.87	-7007.88	-283081.13	-423647.88	21.27
14963	-32762	6x-128	12118.83	-5824.2	-275881.17	-422464.2	-47.24
14963	-32762	6x-128	10471.47	-4136.35	-277528.53	-420776.35	22.54
14963	-32762	6x-128	13717.25	-4146.56	-274282.75	-420786.56	22.37
14963	-32762	6x-128	13696.85	-7283.76	-274303.15	-423923.76	21.27
14963	-32762	6x-128	10432.44	-7307.27	-277567.56	-423947.27	21.27
26915	-32751	17x-128	536.86	49.07	-266343.14	-416590.93	-9.98
26915	-32751	17x-128	764.12	61.81	-266115.88	-416578.19	-9.98
26915	-32751	17x-128	631.12	64.36	-266248.88	-416575.64	0.08
