refid	region	sector	local_x	local_z	world_x	world_z	height
14971	-32763	5x-128	15567.81	8007.97	-274352.19	-408632.03	1623.3
14971	-32763	5x-128	14199.14	7563.35	-275720.86	-409076.65	1623.02
14971	-32763	5x-128	14441.18	8952.97	-275478.82	-407687.03	1643.5
14971	-32763	5x-128	15442.89	-7480.64	-274477.11	-424120.64	1145.7
14971	-32763	5x-128	16731.51	-8761.3	-273188.49	-425401.3	1146.21
14971	-32763	5x-128	18860.39	-8219.63	-271059.61	-424859.63	1145.7
14971	-32763	5x-128	17696.64	-7865.98	-272223.36	-424505.98	1121.19
14971	-32763	5x-128	16636.98	-7612.65	-273283.02	-424252.65	1123.59
14971	-32763	5x-128	14980.1	-17823.0	-274939.9	-434463.0	549.78
14971	-32763	5x-128	14548.89	-15664.55	-275371.11	-432304.55	529.78
14971	-32763	5x-128	16376.63	-16425.14	-273543.37	-433065.14	549.78
14971	-32763	5x-128	13055.65	-17489.1	-276864.35	-434129.1	529.78
14971	-32763	5x-128	-7605.88	-15771.9	-297525.88	-432411.9	1180.05
14971	-32763	5x-128	-8954.22	-17004.66	-298874.22	-433644.66	1180.05
14971	-32763	5x-128	-8390.65	-19261.58	-298310.65	-435901.58	1180.05
14971	-32763	5x-128	-7637.54	-16869.04	-297557.54	-433509.04	1157.12
14971	-32763	5x-128	-7974.65	-18072.67	-297894.65	-434712.67	1153.43
14971	-32763	5x-128	7469.61	-14557.22	-282450.39	-431197.22	1657.03
14971	-32763	5x-128	7918.31	-15965.28	-282001.69	-432605.28	1658.09
14971	-32763	5x-128	8813.59	-14837.73	-281106.41	-431477.73	1677.85
14971	-32763	5x-128	8323.3	-14307.27	-281596.7	-430947.27	1658.91
14971	-32763	5x-128	8267.59	-16752.73	-281652.41	-433392.73	1677.93
14971	-32763	5x-128	-15739.52	-14805.3	-305659.52	-431445.3	564.13
14971	-32763	5x-128	-17913.1	-15303.62	-307833.1	-431943.62	584.13
14971	-32763	5x-128	-17550.34	-13356.15	-307470.34	-429996.15	564.13
14971	-32763	5x-128	-16456.81	-16579.75	-306376.81	-433219.75	584.13
14971	-32763	5x-128	-18817.12	-15506.99	-308737.12	-432146.99	584.13
14971	-32763	5x-128	-17032.35	-14344.14	-306952.35	-430984.14	589.91
14971	-32763	5x-128	-16116.66	-15771.63	-306036.66	-432411.63	584.13
14977	-32764	4x-128	4725.85	5221.04	-287114.15	-411418.96	3.56
14977	-32764	4x-128	6254.65	4834.98	-285585.35	-411805.02	90.24
14977	-32764	4x-128	6707.66	6386.91	-285132.34	-410253.09	41
14977	-32764	4x-128	5366.42	6800.69	-286473.58	-409839.31	42.85
14977	-32764	4x-128	12604.45	4952.58	-279235.55	-411687.42	66.77
14977	-32764	4x-128	14463.43	3842.73	-277376.57	-412797.27	67.1
14977	-32764	4x-128	14268.1	5301.93	-277571.9	-411338.07	94.51
14977	-32764	4x-128	12928.42	3393.4	-278911.58	-413246.6	35.51
14977	-32764	4x-128	9334.45	14130.41	-282505.55	-402509.59	31.56
14977	-32764	4x-128	9568.58	12609.84	-282271.42	-404030.16	90.92
14977	-32764	4x-128	8020.74	13734.01	-283819.26	-402905.99	22.72
14977	-32764	4x-128	7997.47	12188.82	-283842.53	-404451.18	28.54
14977	-32764	4x-128	15398.09	11628.0	-276441.91	-405012.0	17.64
14977	-32764	4x-128	17130.51	12099.42	-274709.49	-404540.58	43.13
14977	-32764	4x-128	16648.51	10826.82	-275191.49	-405813.18	51.56
14977	-32764	4x-128	16148.17	12751.05	-275691.83	-403888.95	94.01
14973	-32764	4x-128	6375.92	-6120.76	-285464.08	-422760.76	-25.05
14973	-32764	4x-128	7114.91	-8300.12	-284725.09	-424940.12	-18.66
14973	-32764	4x-128	7806.02	-6817.2	-284033.98	-423457.2	16.21
14973	-32764	4x-128	5749.83	-7512.9	-286090.17	-424152.9	48.96
14973	-32764	4x-128	13560.43	-10904.6	-278279.57	-427544.6	46.27
