refid	region	sector	local_x	local_z	world_x	world_z	height
14978	-32764	4x-128	13460.8	-289.13	-278379.2	-416929.13	-27.65
14978	-32764	4x-128	14762.82	20.2	-277077.18	-416619.8	-63.35
14978	-32764	4x-128	14771.99	-1415.62	-277068.01	-418055.62	46.71
14978	-32764	4x-128	16245.82	-1281.28	-275594.18	-417921.28	-38.96
14978	-32764	4x-128	16321.78	438.6	-275518.22	-416201.4	-15.34
14978	-32764	4x-128	15673.39	-411.02	-276166.61	-417051.02	-38.96
14978	-32764	4x-128	14598.0	1298.66	-277242.0	-415341.34	47.4
14978	-32764	4x-128	15586.29	1112.39	-276253.71	-415527.61	-13.36
14978	-32764	4x-128	283.06	-13287.75	-291556.94	-429927.75	-29.3
14978	-32764	4x-128	477.26	-14487.21	-291362.74	-431127.21	-63.39
14978	-32764	4x-128	-888.74	-14520.25	-292728.74	-431160.25	48.46
14978	-32764	4x-128	-806.7	-15926.33	-292646.7	-432566.33	-38.11
14978	-32764	4x-128	755.34	-16041.53	-291084.66	-432681.53	-29.01
14978	-32764	4x-128	1841.88	-15350.27	-289998.12	-431990.27	-11.16
14978	-32764	4x-128	1824.76	-14184.83	-290015.24	-430824.83	62.65
14978	-32764	4x-128	13.28	-15244.87	-291826.72	-431884.87	-39
14978	-32764	4x-128	107.43	-16863.47	-291732.57	-433503.47	-13.34
14978	-32764	4x-128	-13809.93	1515.29	-305649.93	-415124.71	-34.76
14978	-32764	4x-128	-13800.47	2964.92	-305640.47	-413675.08	57.37
14978	-32764	4x-128	-15288.38	2813.77	-307128.38	-413826.23	-10.95
14978	-32764	4x-128	-15377.14	1150.26	-307217.14	-415489.74	2.16
14978	-32764	4x-128	-14683.81	168.53	-306523.81	-416471.47	20.28
14978	-32764	4x-128	-16258.55	1550.74	-308098.55	-415089.26	20.27
14978	-32764	4x-128	-269.94	14496.66	-292109.94	-402143.34	-34.76
14978	-32764	4x-128	1346.49	14425.58	-290493.51	-402214.42	65.74
14978	-32764	4x-128	1245.16	15939.6	-290594.84	-400700.4	-9.07
14978	-32764	4x-128	-471.16	15693.05	-292311.16	-400946.95	-10.46
14976	-32764	4x-128	-4165.13	-5582.83	-296005.13	-422222.83	33.24
14976	-32764	4x-128	-5546.87	-4544.73	-297386.87	-421184.73	47.56
14976	-32764	4x-128	-6498.6	-5803.93	-298338.6	-422443.93	-18.86
14976	-32764	4x-128	-5346.53	-6834.69	-297186.53	-423474.69	36.96
14976	-32764	4x-128	-12215.88	-4863.84	-304055.88	-421503.84	45.31
14976	-32764	4x-128	-13828.74	-3588.11	-305668.74	-420228.11	2.33
14976	-32764	4x-128	-12339.28	-3357.36	-304179.28	-419997.36	-0.41
14976	-32764	4x-128	-14081.15	-5111.58	-305921.15	-421751.58	-0.05
14976	-32764	4x-128	-7308.14	-12191.52	-299148.14	-428831.52	-0.04
14976	-32764	4x-128	-9057.57	-12207.71	-300897.57	-428847.71	44.6
14976	-32764	4x-128	-8969.0	-13797.0	-300809.0	-430437.0	-4.21
14976	-32764	4x-128	-7474.19	-13641.14	-299314.19	-430281.14	22.49
14976	-32764	4x-128	-15539.56	-12496.51	-307379.56	-429136.51	65.38
14976	-32764	4x-128	-17001.88	-12038.03	-308841.88	-428678.03	21.36
14976	-32764	4x-128	-14910.75	-11135.8	-306750.75	-427775.8	7.43
14976	-32764	4x-128	-16243.63	-10448.5	-308083.63	-427088.5	49.64
14974	-32764	4x-128	-7387.74	6905.06	-299227.74	-409734.94	36.41
14974	-32764	4x-128	-5861.22	6296.06	-297701.22	-410343.94	3.56
14974	-32764	4x-128	-4082.89	14455.96	-295922.89	-402184.04	35.32
14974	-32764	4x-128	-5683.54	14414.41	-297523.54	-402225.59	64.85
14974	-32764	4x-128	-5728.62	16092.56	-297568.62	-400547.44	28.6
14974	-32764	4x-128	-4141.26	15901.33	-295981.26	-400738.67	90.07
14974	-32764	4x-128	-13786.46	11597.11	-305626.46	-405042.89	35.08
14974	-32764	4x-128	-13387.62	9173.58	-305227.62	-407466.42	28.99
14974	-32764	4x-128	-12549.8	10616.63	-304389.8	-406023.37	35.16
14974	-32764	4x-128	-12139.77	16904.04	-303979.77	-399735.96	17.68
14974	-32764	4x-128	-11402.3	18346.54	-303242.3	-398293.46	44.02
14974	-32764	4x-128	-12662.57	18908.68	-304502.57	-397731.32	51.99
14974	-32764	4x-128	-13281.57	17539.64	-305121.57	-399100.36	101.1
14978	-32764	4x-128	7180.36	-550.31	-284659.64	-417190.31	-193.06
14978	-32764	4x-128	7958.56	-1304.71	-283881.44	-417944.71	-246.67
14978	-32764	4x-128	6217.87	-877.75	-285622.13	-417517.75	-182.51
14978	-32764	4x-128	5454.36	-1675.67	-286385.64	-418315.67	-99.25
14978	-32764	4x-128	4229.06	-1751.83	-287610.94	-418391.83	-157.78
14978	-32764	4x-128	8987.69	-990.57	-282852.31	-417630.57	-165.11
