refid	region	sector	local_x	local_z	world_x	world_z	height
14965	-32763	5x-128	-9440.3	7235.7	-299360.3	-409404.3	689.34
14965	-32763	5x-128	-10156.75	3963.19	-300076.75	-412676.81	689.35
14965	-32763	5x-128	-10821.98	6133.31	-300741.98	-410506.69	689.35
14965	-32763	5x-128	-9780.8	5127.39	-299700.8	-411512.61	668.53
14965	-32763	5x-128	-9435.04	6075.73	-299355.04	-410564.27	669.3
14965	-32763	5x-128	-12809.5	656.03	-302729.5	-415983.97	689.53
14965	-32763	5x-128	-16252.68	1440.09	-306172.68	-415199.91	689.53
14965	-32763	5x-128	-14973.88	22.55	-304893.88	-416617.45	689.54
14965	-32763	5x-128	-15033.76	1317.68	-304953.76	-415322.32	667.43
14965	-32763	5x-128	-14003.31	1009.79	-303923.31	-415630.21	667.43
14969	-32763	5x-128	-15243.73	8287.9	-305163.73	-408352.1	1145.7
14969	-32763	5x-128	-18747.88	9054.03	-308667.88	-407585.97	1145.7
14969	-32763	5x-128	-16623.07	9759.95	-306543.07	-406880.05	1145.71
14969	-32763	5x-128	-16455.74	8317.41	-306375.74	-408322.59	1123.59
14969	-32763	5x-128	-17623.31	8629.17	-307543.31	-408010.83	1118.86
14969	-32763	5x-128	-14040.57	-6714.11	-303960.57	-423354.11	1623.12
14969	-32763	5x-128	-15403.77	-7190.44	-305323.77	-423830.44	1623.21
14969	-32763	5x-128	-14281.67	-8123.34	-304201.67	-424763.34	1643.5
14969	-32763	5x-128	-13823.19	-7584.46	-303743.19	-424224.46	1624
14969	-32763	5x-128	-16255.56	-7433.04	-306175.56	-424073.04	1643.49
14969	-32763	5x-128	-14568.09	16610.61	-304488.09	-400029.39	529.78
14969	-32763	5x-128	-14897.8	18720.7	-304817.8	-397919.3	549.78
14969	-32763	5x-128	-16226.26	17365.61	-306146.26	-399274.39	549.78
14969	-32763	5x-128	-12937.74	18294.57	-302857.74	-398345.43	529.78
14969	-32763	5x-128	-13954.96	17731.49	-303874.96	-398908.51	549.78
14965	-32763	5x-128	6734.66	9490.75	-283185.34	-407149.25	689.35
14965	-32763	5x-128	3215.11	10286.06	-286704.89	-406353.94	689.35
14965	-32763	5x-128	5475.97	10931.76	-284444.03	-405708.24	689.36
14965	-32763	5x-128	5448.24	9640.94	-284471.76	-406999.06	667.24
