refid	region	sector	local_x	local_z	world_x	world_z	height
15004	-32763	5x-128	-9017.39	14518.92	-298937.39	-402121.08	1643.5
15005	-32763	5x-128	-9017.39	14518.92	-298937.39	-402121.08	1643.5
15006	-32763	5x-128	-9017.39	14518.92	-298937.39	-402121.08	1643.5
15007	-32763	5x-128	-9017.39	14518.92	-298937.39	-402121.08	1643.5
15008	-32763	5x-128	-9017.39	14518.92	-298937.39	-402121.08	1643.5
15009	-32763	5x-128	-9017.39	14518.92	-298937.39	-402121.08	1643.5
15004	-32763	5x-128	-8192.64	16538.75	-298112.64	-400101.25	1643.5
15005	-32763	5x-128	-8192.64	16538.75	-298112.64	-400101.25	1643.5
15006	-32763	5x-128	-8192.64	16538.75	-298112.64	-400101.25	1643.5
15007	-32763	5x-128	-8192.64	16538.75	-298112.64	-400101.25	1643.5
15008	-32763	5x-128	-8192.64	16538.75	-298112.64	-400101.25	1643.5
15009	-32763	5x-128	-8192.64	16538.75	-298112.64	-400101.25	1643.5
15004	-32763	5x-128	14527.22	9138.88	-275392.78	-407501.12	1643.5
15005	-32763	5x-128	14527.22	9138.88	-275392.78	-407501.12	1643.5
15006	-32763	5x-128	14527.22	9138.88	-275392.78	-407501.12	1643.5
15007	-32763	5x-128	14527.22	9138.88	-275392.78	-407501.12	1643.5
15008	-32763	5x-128	14527.22	9138.88	-275392.78	-407501.12	1643.5
15009	-32763	5x-128	14527.22	9138.88	-275392.78	-407501.12	1643.5
15004	-32763	5x-128	16514.66	8385.08	-273405.34	-408254.92	1643.5
15005	-32763	5x-128	16514.66	8385.08	-273405.34	-408254.92	1643.5
15006	-32763	5x-128	16514.66	8385.08	-273405.34	-408254.92	1643.5
15007	-32763	5x-128	16514.66	8385.08	-273405.34	-408254.92	1643.5
15008	-32763	5x-128	16514.66	8385.08	-273405.34	-408254.92	1643.5
15009	-32763	5x-128	16514.66	8385.08	-273405.34	-408254.92	1643.5
15004	-32763	5x-128	9077.55	-14928.09	-280842.45	-431568.09	1677.85
15005	-32763	5x-128	9077.55	-14928.09	-280842.45	-431568.09	1677.85
15006	-32763	5x-128	9077.55	-14928.09	-280842.45	-431568.09	1677.85
15007	-32763	5x-128	9077.55	-14928.09	-280842.45	-431568.09	1677.85
15008	-32763	5x-128	9077.55	-14928.09	-280842.45	-431568.09	1677.85
15009	-32763	5x-128	9077.55	-14928.09	-280842.45	-431568.09	1677.85
15004	-32763	5x-128	8211.3	-16891.78	-281708.7	-433531.78	1677.84
15005	-32763	5x-128	8211.3	-16891.78	-281708.7	-433531.78	1677.84
15006	-32763	5x-128	8211.3	-16891.78	-281708.7	-433531.78	1677.84
15007	-32763	5x-128	8211.3	-16891.78	-281708.7	-433531.78	1677.84
15008	-32763	5x-128	8211.3	-16891.78	-281708.7	-433531.78	1677.84
15009	-32763	5x-128	8211.3	-16891.78	-281708.7	-433531.78	1677.84
15004	-32763	5x-128	-14392.31	-8321.91	-304312.31	-424961.91	1643.5
15005	-32763	5x-128	-14392.31	-8321.91	-304312.31	-424961.91	1643.5
15006	-32763	5x-128	-14392.31	-8321.91	-304312.31	-424961.91	1643.5
15007	-32763	5x-128	-14392.31	-8321.91	-304312.31	-424961.91	1643.5
15008	-32763	5x-128	-14392.31	-8321.91	-304312.31	-424961.91	1643.5
15009	-32763	5x-128	-14392.31	-8321.91	-304312.31	-424961.91	1643.5
15004	-32763	5x-128	-16371.27	-7486.14	-306291.27	-424126.14	1643.49
15005	-32763	5x-128	-16371.27	-7486.14	-306291.27	-424126.14	1643.49
15006	-32763	5x-128	-16371.27	-7486.14	-306291.27	-424126.14	1643.49
15007	-32763	5x-128	-16371.27	-7486.14	-306291.27	-424126.14	1643.49
15008	-32763	5x-128	-16371.27	-7486.14	-306291.27	-424126.14	1643.49
15009	-32763	5x-128	-16371.27	-7486.14	-306291.27	-424126.14	1643.49
15004	-32764	4x-128	-1107.44	16965.23	-292947.44	-399674.77	85.11
15005	-32764	4x-128	-1107.44	16965.23	-292947.44	-399674.77	85.11
15006	-32764	4x-128	-1107.44	16965.23	-292947.44	-399674.77	85.11
15007	-32764	4x-128	-1107.44	16965.23	-292947.44	-399674.77	85.11
15008	-32764	4x-128	-1107.44	16965.23	-292947.44	-399674.77	85.11
15009	-32764	4x-128	-1107.44	16965.23	-292947.44	-399674.77	85.11
15004	-32764	4x-128	1714.34	15737.28	-290125.66	-400902.72	34.91
15005	-32764	4x-128	1714.34	15737.28	-290125.66	-400902.72	34.91
15006	-32764	4x-128	1714.34	15737.28	-290125.66	-400902.72	34.91
15007	-32764	4x-128	1714.34	15737.28	-290125.66	-400902.72	34.91
15008	-32764	4x-128	1714.34	15737.28	-290125.66	-400902.72	34.91
15009	-32764	4x-128	1714.34	15737.28	-290125.66	-400902.72	34.91
15004	-32764	4x-128	5401.29	7064.99	-286438.71	-409575.01	51.7
15005	-32764	4x-128	5401.29	7064.99	-286438.71	-409575.01	51.7
15006	-32764	4x-128	5401.29	7064.99	-286438.71	-409575.01	51.7
15007	-32764	4x-128	5401.29	7064.99	-286438.71	-409575.01	51.7
15008	-32764	4x-128	5401.29	7064.99	-286438.71	-409575.01	51.7
15009	-32764	4x-128	5401.29	7064.99	-286438.71	-409575.01	51.7
15004	-32764	4x-128	7956.49	14375.69	-283883.51	-402264.31	25.69
15005	-32764	4x-128	7956.49	14375.69	-283883.51	-402264.31	25.69
15006	-32764	4x-128	7956.49	14375.69	-283883.51	-402264.31	25.69
15007	-32764	4x-128	7956.49	14375.69	-283883.51	-402264.31	25.69
15008	-32764	4x-128	7956.49	14375.69	-283883.51	-402264.31	25.69
15009	-32764	4x-128	7956.49	14375.69	-283883.51	-402264.31	25.69
15004	-32764	4x-128	14244.19	2993.86	-277595.81	-413646.14	29.36
15005	-32764	4x-128	14244.19	2993.86	-277595.81	-413646.14	29.36
15006	-32764	4x-128	14244.19	2993.86	-277595.81	-413646.14	29.36
15007	-32764	4x-128	14244.19	2993.86	-277595.81	-413646.14	29.36
15008	-32764	4x-128	14244.19	2993.86	-277595.81	-413646.14	29.36
15009	-32764	4x-128	14244.19	2993.86	-277595.81	-413646.14	29.36
15004	-32764	4x-128	17807.71	12502.73	-274032.29	-404137.27	55.34
15005	-32764	4x-128	17807.71	12502.73	-274032.29	-404137.27	55.34
15006	-32764	4x-128	17807.71	12502.73	-274032.29	-404137.27	55.34
15007	-32764	4x-128	17807.71	12502.73	-274032.29	-404137.27	55.34
15008	-32764	4x-128	17807.71	12502.73	-274032.29	-404137.27	55.34
15009	-32764	4x-128	17807.71	12502.73	-274032.29	-404137.27	55.34
15004	-32764	4x-128	17163.65	1139.11	-274676.35	-415500.89	63.44
15005	-32764	4x-128	17163.65	1139.11	-274676.35	-415500.89	63.44
15006	-32764	4x-128	17163.65	1139.11	-274676.35	-415500.89	63.44
15007	-32764	4x-128	17163.65	1139.11	-274676.35	-415500.89	63.44
15008	-32764	4x-128	17163.65	1139.11	-274676.35	-415500.89	63.44
15009	-32764	4x-128	17163.65	1139.11	-274676.35	-415500.89	63.44
15004	-32764	4x-128	15970.21	-1797.96	-275869.79	-418437.96	5.51
15005	-32764	4x-128	15970.21	-1797.96	-275869.79	-418437.96	5.51
15006	-32764	4x-128	15970.21	-1797.96	-275869.79	-418437.96	5.51
15007	-32764	4x-128	15970.21	-1797.96	-275869.79	-418437.96	5.51
15008	-32764	4x-128	15970.21	-1797.96	-275869.79	-418437.96	5.51
15009	-32764	4x-128	15970.21	-1797.96	-275869.79	-418437.96	5.51
15004	-32764	4x-128	8219.56	-6951.41	-283620.44	-423591.41	27.27
15005	-32764	4x-128	8219.56	-6951.41	-283620.44	-423591.41	27.27
15006	-32764	4x-128	8219.56	-6951.41	-283620.44	-423591.41	27.27
15007	-32764	4x-128	8219.56	-6951.41	-283620.44	-423591.41	27.27
15008	-32764	4x-128	8219.56	-6951.41	-283620.44	-423591.41	27.27
15009	-32764	4x-128	8219.56	-6951.41	-283620.44	-423591.41	27.27
15004	-32764	4x-128	4098.26	-15771.4	-287741.74	-432411.4	-0.71
15005	-32764	4x-128	4098.26	-15771.4	-287741.74	-432411.4	-0.71
15006	-32764	4x-128	4098.26	-15771.4	-287741.74	-432411.4	-0.71
15007	-32764	4x-128	4098.26	-15771.4	-287741.74	-432411.4	-0.71
15008	-32764	4x-128	4098.26	-15771.4	-287741.74	-432411.4	-0.71
15009	-32764	4x-128	4098.26	-15771.4	-287741.74	-432411.4	-0.71
15004	-32764	4x-128	15485.37	-9483.43	-276354.63	-426123.43	-1.67
15005	-32764	4x-128	15485.37	-9483.43	-276354.63	-426123.43	-1.67
15006	-32764	4x-128	15485.37	-9483.43	-276354.63	-426123.43	-1.67
15007	-32764	4x-128	15485.37	-9483.43	-276354.63	-426123.43	-1.67
15008	-32764	4x-128	15485.37	-9483.43	-276354.63	-426123.43	-1.67
15009	-32764	4x-128	15485.37	-9483.43	-276354.63	-426123.43	-1.67
15004	-32764	4x-128	13643.31	-19317.64	-278196.69	-435957.64	26.81
15005	-32764	4x-128	13643.31	-19317.64	-278196.69	-435957.64	26.81
15006	-32764	4x-128	13643.31	-19317.64	-278196.69	-435957.64	26.81
15007	-32764	4x-128	13643.31	-19317.64	-278196.69	-435957.64	26.81
15008	-32764	4x-128	13643.31	-19317.64	-278196.69	-435957.64	26.81
15009	-32764	4x-128	13643.31	-19317.64	-278196.69	-435957.64	26.81
15004	-32764	4x-128	1565.17	-16979.71	-290274.83	-433619.71	56.83
15005	-32764	4x-128	1565.17	-16987.76	-290274.83	-433627.76	56.73
15006	-32764	4x-128	1565.17	-16987.76	-290274.83	-433627.76	56.73
15007	-32764	4x-128	1565.17	-16987.76	-290274.83	-433627.76	56.73
15008	-32764	4x-128	1565.17	-16987.76	-290274.83	-433627.76	56.73
15009	-32764	4x-128	1565.17	-16987.76	-290274.83	-433627.76	56.73
15004	-32764	4x-128	-1378.68	-15718.61	-293218.68	-432358.61	16.18
15005	-32764	4x-128	-1378.68	-15718.61	-293218.68	-432358.61	16.18
15006	-32764	4x-128	-1378.68	-15718.61	-293218.68	-432358.61	16.18
15007	-32764	4x-128	-1378.68	-15718.61	-293218.68	-432358.61	16.18
15008	-32764	4x-128	-1378.68	-15718.61	-293218.68	-432358.61	16.18
15009	-32764	4x-128	-1378.68	-15718.61	-293218.68	-432358.61	16.18
15004	-32764	4x-128	-5010.19	-7028.99	-296850.19	-423668.99	24.41
15005	-32764	4x-128	-5010.19	-7028.99	-296850.19	-423668.99	24.41
15006	-32764	4x-128	-5010.19	-7028.99	-296850.19	-423668.99	24.41
15007	-32764	4x-128	-5010.19	-7028.99	-296850.19	-423668.99	24.41
15008	-32764	4x-128	-5010.19	-7028.99	-296850.19	-423668.99	24.41
15009	-32764	4x-128	-5010.19	-7028.99	-296850.19	-423668.99	24.41
15004	-32764	4x-128	-13894.82	-2978.61	-305734.82	-419618.61	-3.29
15005	-32764	4x-128	-13894.82	-2978.61	-305734.82	-419618.61	-3.29
15006	-32764	4x-128	-13894.82	-2978.61	-305734.82	-419618.61	-3.29
15007	-32764	4x-128	-13894.82	-2978.61	-305734.82	-419618.61	-3.29
15008	-32764	4x-128	-13894.82	-2978.61	-305734.82	-419618.61	-3.29
15009	-32764	4x-128	-13894.82	-2978.61	-305734.82	-419618.61	-3.29
15004	-32764	4x-128	-7526.07	-14347.06	-299366.07	-430987.06	-2.76
15005	-32764	4x-128	-7526.07	-14347.06	-299366.07	-430987.06	-2.76
15006	-32764	4x-128	-7526.07	-14347.06	-299366.07	-430987.06	-2.76
15007	-32764	4x-128	-7526.07	-14347.06	-299366.07	-430987.06	-2.76
15008	-32764	4x-128	-7526.07	-14347.06	-299366.07	-430987.06	-2.76
15009	-32764	4x-128	-7526.07	-14347.06	-299366.07	-430987.06	-2.76
15004	-32764	4x-128	-17414.36	-12460.27	-309254.36	-429100.27	27.63
15005	-32764	4x-128	-17414.36	-12460.27	-309254.36	-429100.27	27.63
15006	-32764	4x-128	-17414.36	-12460.27	-309254.36	-429100.27	27.63
15007	-32764	4x-128	-17414.36	-12460.27	-309254.36	-429100.27	27.63
15008	-32764	4x-128	-17414.36	-12460.27	-309254.36	-429100.27	27.63
15009	-32764	4x-128	-17414.36	-12460.27	-309254.36	-429100.27	27.63
15004	-32764	4x-128	-16195.62	323.91	-308035.62	-416316.09	87.89
15005	-32764	4x-128	-16195.62	323.91	-308035.62	-416316.09	87.89
15006	-32764	4x-128	-16195.62	323.91	-308035.62	-416316.09	87.89
