refid	region	sector	local_x	local_z	world_x	world_z	height
14970	-32763	5x-128	10009.86	-4187.06	-279910.14	-420827.06	666.89
14970	-32763	5x-128	9562.22	-5284.29	-280357.78	-421924.29	668.28
14970	-32763	5x-128	14122.1	-174.86	-275797.9	-416814.86	667.43
14970	-32763	5x-128	15252.03	-408.78	-274667.97	-417048.78	666.74
14970	-32763	5x-128	15561.58	7976.28	-274358.42	-408663.72	1623.27
14970	-32763	5x-128	14179.81	7559.42	-275740.19	-409080.58	1623.05
14970	-32763	5x-128	14473.19	8945.52	-275446.81	-407694.48	1643.5
14970	-32763	5x-128	17687.88	-7827.68	-272232.12	-424467.68	1119.11
14970	-32763	5x-128	16583.65	-7590.49	-273336.35	-424230.49	1123.47
14970	-32763	5x-128	15000.39	-17815.11	-274919.61	-434455.11	549.78
14970	-32763	5x-128	14539.36	-15667.77	-275380.64	-432307.77	529.78
14970	-32763	5x-128	16391.49	-16391.13	-273528.51	-433031.13	549.78
14970	-32763	5x-128	13031.92	-17464.82	-276888.08	-434104.82	529.78
14970	-32763	5x-128	-5527.19	-9937.94	-295447.19	-426577.94	700.63
14970	-32763	5x-128	-4233.8	-10316.35	-294153.8	-426956.35	700.37
14970	-32763	5x-128	-308.67	-14368.68	-290228.67	-431008.68	701.78
14970	-32763	5x-128	-649.59	-15494.89	-290569.59	-432134.89	701.34
14970	-32763	5x-128	-7637.67	-16899.09	-297557.67	-433539.09	1157.83
14970	-32763	5x-128	-7986.37	-18060.78	-297906.37	-434700.78	1154.07
14970	-32763	5x-128	7451.43	-14572.21	-282468.57	-431212.21	1657.15
14970	-32763	5x-128	7903.23	-15984.93	-282016.77	-432624.93	1658.19
14970	-32763	5x-128	8806.69	-14844.59	-281113.31	-431484.59	1677.85
14970	-32763	5x-128	-15732.93	-14792.27	-305652.93	-431432.27	564.13
14970	-32763	5x-128	-17917.46	-15312.33	-307837.46	-431952.33	584.13
14970	-32763	5x-128	-17556.96	-13356.12	-307476.96	-429996.12	564.13
14970	-32763	5x-128	-16441.5	-16579.83	-306361.5	-433219.83	584.13
14967	-32763	5x-128	-9444.89	6072.96	-299364.89	-410567.04	668.99
14967	-32763	5x-128	-9774.2	5099.24	-299694.2	-411540.76	668.86
14967	-32763	5x-128	-15061.09	1310.95	-304981.09	-415329.05	667.43
14967	-32763	5x-128	-13976.17	975.34	-303896.17	-415664.66	667.43
14967	-32763	5x-128	-17650.28	8629.32	-307570.28	-408010.68	1118.85
14967	-32763	5x-128	-16431.43	8304.3	-306351.43	-408335.7	1123.32
14967	-32763	5x-128	-14018.34	-6714.23	-303938.34	-423354.23	1623.12
14967	-32763	5x-128	-15411.15	-7197.84	-305331.15	-423837.84	1623.24
14967	-32763	5x-128	-14296.38	-8130.61	-304216.38	-424770.61	1643.5
14967	-32763	5x-128	-14587.56	16597.71	-304507.56	-400042.29	529.78
14967	-32763	5x-128	-14904.31	18720.74	-304824.31	-397919.26	549.78
14967	-32763	5x-128	-16226.25	17352.63	-306146.25	-399287.37	549.78
14967	-32763	5x-128	-12925.07	18294.5	-302845.07	-398345.5	529.78
14967	-32763	5x-128	4361.01	9901.06	-285558.99	-406738.94	667.36
14967	-32763	5x-128	5482.58	9611.91	-284437.42	-407028.09	667.24
14967	-32763	5x-128	451.89	14079.68	-289468.11	-402560.32	669.7
14967	-32763	5x-128	705.69	15280.5	-289214.31	-401359.5	666.44
14967	-32763	5x-128	8079.52	17748.34	-281840.48	-398891.66	1120.64
14967	-32763	5x-128	7656.92	16374.4	-282263.08	-400265.6	1122.43
14967	-32763	5x-128	-7422.81	14173.27	-297342.81	-402466.73	1622.7
14967	-32763	5x-128	-7860.96	15662.68	-297780.96	-400977.32	1624.09
14967	-32763	5x-128	-8739.07	14474.87	-298659.07	-402165.13	1643.5
14967	-32763	5x-128	15838.52	14512.4	-274081.48	-402127.6	529.78
14967	-32763	5x-128	18192.47	15033.32	-271727.53	-401606.68	549.78
14967	-32763	5x-128	17534.57	13120.17	-272385.43	-403519.83	529.78
14967	-32763	5x-128	16744.41	16266.42	-273175.59	-400373.58	549.78
14975	-32764	4x-128	13453.4	-294.5	-278386.6	-416934.5	-27.44
14975	-32764	4x-128	14757.61	14.42	-277082.39	-416625.58	-63.36
14975	-32764	4x-128	14776.86	-1405.4	-277063.14	-418045.4	48.32
14975	-32764	4x-128	16246.08	-1291.96	-275593.92	-417931.96	-38.96
14975	-32764	4x-128	16332.9	433.32	-275507.1	-416206.68	-15.38
14975	-32764	4x-128	260.18	-13271.62	-291579.82	-429911.62	-28.86
14975	-32764	4x-128	472.74	-14482.75	-291367.26	-431122.75	-63.39
