refid	region	sector	local_x	local_z	world_x	world_z	height
14954	-32761	7x-128	-1663.34	1723.57	-287743.34	-414916.43	2.35
14954	-32761	7x-128	-2633.13	1680.7	-288713.13	-414959.3	85.89
14954	-32761	7x-128	-1695.52	2566.21	-287775.52	-414073.79	2.34
14954	-32761	7x-128	-2596.48	2553.86	-288676.48	-414086.14	85.7
14954	-32761	7x-128	-1686.46	3394.75	-287766.46	-413245.25	1.79
14954	-32761	7x-128	-2520.55	3397.3	-288600.55	-413242.7	86.23
14956	-32761	7x-128	-1760.91	7339.68	-287840.91	-409300.32	238.54
14956	-32761	7x-128	1728.95	7347.86	-284351.05	-409292.14	237.14
14958	-32762	6x-128	-6063.23	5585.75	-294063.23	-411054.25	-47.24
14958	-32762	6x-128	-6984.55	5582.27	-294984.55	-411057.73	0.02
14958	-32762	6x-128	-5162.71	5599.23	-293162.71	-411040.77	0.02
14958	-32762	6x-128	-5609.7	4798.61	-293609.7	-411841.39	0.02
14958	-32762	6x-128	-6474.12	4763.4	-294474.12	-411876.6	0.02
14958	-32762	6x-128	-5605.94	6309.09	-293605.94	-410330.91	0.02
14958	-32762	6x-128	-6525.63	6351.87	-294525.63	-410288.13	0.02
14958	-32762	6x-128	-1.91	5591.55	-288001.91	-411048.45	-47.24
14958	-32762	6x-128	4954.85	6855.09	-283045.15	-409784.91	21.2
14958	-32762	6x-128	7454.59	6894.82	-280545.41	-409745.18	21.25
14958	-32762	6x-128	7399.1	4448.87	-280600.9	-412191.13	21.27
14958	-32762	6x-128	4983.41	4458.92	-283016.59	-412181.08	21.27
14958	-32762	6x-128	5254.5	5605.19	-282745.5	-411034.81	-0.15
14958	-32762	6x-128	6170.33	6662.45	-281829.67	-409977.55	-0.15
14958	-32762	6x-128	7205.5	5575.11	-280794.5	-411064.89	-0.15
14958	-32762	6x-128	6217.26	4559.26	-281782.74	-412080.74	-0.15
14958	-32762	6x-128	13076.27	7115.69	-274923.73	-409524.31	21.18
14958	-32762	6x-128	13553.92	6597.62	-274446.08	-410042.38	21.26
14958	-32762	6x-128	11101.11	7110.34	-276898.89	-409529.66	21.2
14958	-32762	6x-128	10666.11	6582.19	-277333.89	-410057.81	21.2
14958	-32762	6x-128	10595.16	4779.79	-277404.84	-411860.21	21.27
14958	-32762	6x-128	10990.39	4205.2	-277009.61	-412434.8	21.27
14958	-32762	6x-128	13037.9	4239.69	-274962.1	-412400.31	21.27
14958	-32762	6x-128	13545.47	4667.87	-274454.53	-411972.13	21.27
14956	-32761	7x-128	-2676.41	5010.18	-288756.41	-411629.82	86.67
14956	-32761	7x-128	-2699.24	4351.48	-288779.24	-412288.52	86.67
14956	-32761	7x-128	2704.99	5013.67	-283375.01	-411626.33	86.84
14956	-32761	7x-128	2706.33	4355.79	-283373.67	-412284.21	87.45
14956	-32761	7x-128	-1660.47	5689.76	-287740.47	-410950.24	223.81
14956	-32761	7x-128	-2401.75	6505.79	-288481.75	-410134.21	223.81
14956	-32761	7x-128	-2533.76	5795.88	-288613.76	-410844.12	223.81
14956	-32761	7x-128	-1486.17	6610.43	-287566.17	-410029.57	223.81
14956	-32761	7x-128	1701.47	5621.0	-284378.53	-411019.0	223.81
14956	-32761	7x-128	2409.91	6518.59	-283670.09	-410121.41	223.83
14956	-32761	7x-128	1523.16	6582.51	-284556.84	-410057.49	223.82
14956	-32761	7x-128	2510.12	5841.99	-283569.88	-410798.01	223.82
14956	-32761	7x-128	-763.63	6059.52	-286843.63	-410580.48	223.81
14956	-32761	7x-128	698.85	6080.03	-285381.15	-410559.97	223.81
14956	-32761	7x-128	-30.17	5504.47	-286110.17	-411135.53	223.81
14958	-32762	6x-128	596.83	6139.44	-287403.17	-410500.56	-0.15
14958	-32762	6x-128	611.34	5074.98	-287388.66	-411565.02	-0.15
14958	-32762	6x-128	-609.82	5074.36	-288609.82	-411565.64	-0.15
14958	-32762	6x-128	-599.41	6157.45	-288599.41	-410482.55	-0.15
14958	-32762	6x-128	992.86	5619.15	-287007.14	-411020.85	-0.15
14958	-32762	6x-128	-992.75	5623.47	-288992.75	-411016.53	-0.15
