refid	region	sector	local_x	local_z	world_x	world_z	height
14964	-32763	5x-128	6731.83	-6429.23	-283188.17	-423069.23	670.84
14964	-32763	5x-128	7248.36	-3975.16	-282671.64	-420615.16	670.84
14964	-32763	5x-128	3671.33	-5319.11	-286248.67	-421959.11	690.84
14964	-32763	5x-128	5688.51	-5947.14	-284231.49	-422587.14	670.84
14964	-32763	5x-128	4765.82	-5446.61	-285154.18	-422086.61	716.51
14964	-32763	5x-128	6536.89	-4979.03	-283383.11	-421619.03	704.13
14964	-32763	5x-128	6031.89	-3450.65	-283888.11	-420090.65	713.78
14964	-32763	5x-128	4327.41	-4223.05	-285592.59	-420863.05	720.2
14964	-32763	5x-128	5339.89	-4419.44	-284580.11	-421059.44	749.06
14964	-32763	5x-128	4848.42	-2854.44	-285071.58	-419494.44	690.84
14966	-32763	5x-128	9548.93	-6500.61	-280371.07	-423140.61	689.35
14966	-32763	5x-128	10788.95	-5217.29	-279131.05	-421857.29	696.51
14966	-32763	5x-128	10280.69	-3055.4	-279639.31	-419695.4	689.35
14966	-32763	5x-128	9567.83	-5220.61	-280352.17	-421860.61	669.72
14966	-32763	5x-128	10045.37	-4134.18	-279874.63	-420774.18	665.15
14968	-32763	5x-128	9991.89	-4157.54	-279928.11	-420797.54	666.49
14968	-32763	5x-128	9579.11	-5260.55	-280340.89	-421900.55	669.03
14966	-32763	5x-128	12922.82	220.14	-276997.18	-416419.86	689.53
14966	-32763	5x-128	16489.12	-550.09	-273430.88	-417190.09	689.54
14966	-32763	5x-128	15107.26	812.92	-274812.74	-415827.08	689.54
14966	-32763	5x-128	14140.34	-198.21	-275779.66	-416838.21	667.72
14966	-32763	5x-128	15291.88	-402.26	-274628.12	-417042.26	665.8
14968	-32763	5x-128	14098.83	-169.02	-275821.17	-416809.02	667.43
14968	-32763	5x-128	15292.85	-402.9	-274627.15	-417042.9	665.78
14968	-32763	5x-128	17717.77	-7843.07	-272202.23	-424483.07	1119.95
14968	-32763	5x-128	16622.46	-7593.24	-273297.54	-424233.24	1123.59
14968	-32763	5x-128	14991.82	-17844.38	-274928.18	-434484.38	549.78
14968	-32763	5x-128	14558.82	-15672.73	-275361.18	-432312.73	529.78
14968	-32763	5x-128	16405.94	-16415.58	-273514.06	-433055.58	549.78
14968	-32763	5x-128	13042.1	-17489.09	-276877.9	-434129.09	529.78
14968	-32763	5x-128	15956.13	-17277.36	-273963.87	-433917.36	622.58
14968	-32763	5x-128	13857.57	-17927.54	-276062.43	-434567.54	549.78
14968	-32763	5x-128	14023.94	-16894.03	-275896.06	-433534.03	557.07
14968	-32763	5x-128	15549.53	-16091.01	-274370.47	-432731.01	549.78
14964	-32763	5x-128	-2857.72	-5136.61	-292777.72	-421776.61	725.19
14964	-32763	5x-128	-4225.96	-7511.75	-294145.96	-424151.75	705.19
14964	-32763	5x-128	-5316.78	-4223.36	-295236.78	-420863.36	725.19
14964	-32763	5x-128	-4118.27	-4795.92	-294038.27	-421435.92	837.45
14964	-32763	5x-128	-3593.24	-6296.13	-293513.24	-422936.13	749.57
14964	-32763	5x-128	-6796.16	-7107.89	-296716.16	-423747.89	725.19
14964	-32763	5x-128	-6009.07	-5309.1	-295929.07	-421949.1	727.31
14964	-32763	5x-128	-6387.1	-6011.2	-296307.1	-422651.2	725.19
14964	-32763	5x-128	-4590.19	-5593.19	-294510.19	-422233.19	784.03
14964	-32763	5x-128	-5318.09	-6719.54	-295238.09	-423359.54	725.19
14966	-32763	5x-128	-6653.31	-9840.19	-296573.31	-426480.19	723.69
14966	-32763	5x-128	-3173.24	-10731.21	-293093.24	-427371.21	723.7
14966	-32763	5x-128	-5341.3	-11243.7	-295261.3	-427883.7	723.7
14966	-32763	5x-128	-5540.04	-9939.76	-295460.04	-426579.76	700.29
14966	-32763	5x-128	-4252.75	-10305.23	-294172.75	-426945.23	700.67
14968	-32763	5x-128	-5516.18	-9946.02	-295436.18	-426586.02	700.7
14968	-32763	5x-128	-4229.05	-10311.28	-294149.05	-426951.28	700.51
14966	-32763	5x-128	563.35	-15401.0	-289356.65	-432041.0	724.95
14966	-32763	5x-128	93.26	-13183.19	-289826.74	-429823.19	723.88
14966	-32763	5x-128	-703.64	-16658.51	-290623.64	-433298.51	723.88
14966	-32763	5x-128	-302.83	-14374.58	-290222.83	-431014.58	701.78
14966	-32763	5x-128	-649.53	-15448.36	-290569.53	-432088.36	701.35
14968	-32763	5x-128	-320.34	-14356.86	-290240.34	-430996.86	701.78
14968	-32763	5x-128	-655.42	-15471.6	-290575.42	-432111.6	701.18
14968	-32763	5x-128	-7637.56	-16875.05	-297557.56	-433515.05	1157.26
14968	-32763	5x-128	-7980.55	-18078.54	-297900.55	-434718.54	1153.75
14968	-32763	5x-128	-15746.04	-14805.27	-305666.04	-431445.27	564.13
14968	-32763	5x-128	-17900.02	-15308.06	-307820.02	-431948.06	584.13
14968	-32763	5x-128	-17537.1	-13356.23	-307457.1	-429996.23	564.13
14968	-32763	5x-128	-16431.29	-16579.89	-306351.29	-433219.89	584.13
14964	-32763	5x-128	-4787.01	3753.63	-294707.01	-412886.37	690.84
14964	-32763	5x-128	-3943.5	6236.26	-293863.5	-410403.74	719.68
14964	-32763	5x-128	-7159.93	4830.48	-297079.93	-411809.52	670.84
14964	-32763	5x-128	-6074.45	6785.14	-295994.45	-409854.86	670.84
14964	-32763	5x-128	-4364.37	4978.17	-294284.37	-411661.83	743.49
14964	-32763	5x-128	-5985.31	4384.34	-295905.31	-412255.66	690.84
14964	-32763	5x-128	-6663.85	5851.67	-296583.85	-410788.33	690.84
14964	-32763	5x-128	-5034.8	6510.19	-294954.8	-410129.81	690.84
14964	-32763	5x-128	-5479.84	5490.15	-295399.84	-411149.85	749.68
14964	-32763	5x-128	2962.3	4873.89	-286957.7	-411766.11	690.84
14964	-32763	5x-128	4138.69	7216.93	-285781.31	-409423.07	670.84
14964	-32763	5x-128	5451.66	3911.6	-284468.34	-412728.4	704.31
14964	-32763	5x-128	4246.13	4485.39	-285673.87	-412154.61	749.68
14964	-32763	5x-128	3580.98	5973.06	-286339.02	-410666.94	719.68
14964	-32763	5x-128	6141.69	6024.69	-283778.31	-410615.31	670.84
14964	-32763	5x-128	5777.18	5093.86	-284142.82	-411546.14	690.84
14964	-32763	5x-128	5079.67	6643.89	-284840.33	-409996.11	690.84
14964	-32763	5x-128	4841.05	5623.27	-285078.95	-411016.73	741.66
14968	-32763	5x-128	-9444.89	6072.96	-299364.89	-410567.04	668.99
14968	-32763	5x-128	-9768.24	5105.16	-299688.24	-411534.84	668.91
14968	-32763	5x-128	-15047.42	1304.0	-304967.42	-415336.0	667.43
14968	-32763	5x-128	-13996.58	989.17	-303916.58	-415650.83	667.43
14968	-32763	5x-128	-17629.91	8615.58	-307549.91	-408024.42	1119.29
14968	-32763	5x-128	-16431.37	8317.79	-306351.37	-408322.21	1123.32
14968	-32763	5x-128	-14568.12	16597.61	-304488.12	-400042.39	529.78
14968	-32763	5x-128	-14891.29	18720.66	-304811.29	-397919.34	549.78
14968	-32763	5x-128	-16239.2	17359.19	-306159.2	-399280.81	549.78
14968	-32763	5x-128	-12937.87	18281.82	-302857.87	-398358.18	529.78
14968	-32763	5x-128	4378.4	9895.07	-285541.6	-406744.93	667.87
14968	-32763	5x-128	5476.9	9623.48	-284443.1	-407016.52	667.24
14968	-32763	5x-128	424.92	14074.49	-289495.08	-402565.51	668.83
14968	-32763	5x-128	727.28	15280.29	-289192.72	-401359.71	666.7
14968	-32763	5x-128	8055.71	17766.73	-281864.29	-398873.27	1120.05
14968	-32763	5x-128	7651.07	16392.17	-282268.93	-400247.83	1122.57
14968	-32763	5x-128	15838.52	14500.73	-274081.48	-402139.27	529.78
14968	-32763	5x-128	18180.9	15039.2	-271739.1	-401600.8	549.78
14968	-32763	5x-128	17511.48	13120.29	-272408.52	-403519.71	529.78
14968	-32763	5x-128	16761.84	16242.89	-273158.16	-400397.11	549.78
14964	-32766	2x-128	-8224.75	13.65	-303904.75	-416626.35	132.74
14968	-32763	5x-128	-14050.75	-6724.88	-303970.75	-423364.88	1623.05
14968	-32763	5x-128	-15425.68	-7205.15	-305345.68	-423845.15	1623.32
14968	-32763	5x-128	-7406.07	14230.81	-297326.07	-402409.19	1622.8
14968	-32763	5x-128	-7827.84	15652.23	-297747.84	-400987.77	1624.04
14964	-32763	5x-128	388.66	4622.9	-289531.34	-412017.1	352.13
14964	-32763	5x-128	-509.81	6783.18	-290429.81	-409856.82	330.47
14964	-32763	5x-128	-1693.11	5184.94	-291613.11	-411455.06	161.82
14964	-32763	5x-128	9517.6	6374.78	-280402.4	-410265.22	690.86
14964	-32763	5x-128	8966.12	8253.91	-280953.88	-408386.09	689.82
14964	-32763	5x-128	9450.45	9951.17	-280469.55	-406688.83	689.39
14964	-32763	5x-128	4966.47	1889.32	-284953.53	-414750.68	146.29
14964	-32763	5x-128	6814.11	692.65	-283105.89	-415947.35	331.31
14964	-32763	5x-128	4689.79	-139.5	-285230.21	-416779.5	343.33
14964	-32763	5x-128	6325.05	-9330.58	-283594.95	-425970.58	690.86
14964	-32763	5x-128	8220.98	-8709.27	-281699.02	-425349.27	690.2
14964	-32763	5x-128	9840.14	-9473.43	-280079.86	-426113.43	689.39
14966	-32763	5x-128	10235.57	-1144.17	-279684.43	-417784.17	689.53
14966	-32763	5x-128	8201.99	-85.11	-281718.01	-416725.11	689.53
14966	-32763	5x-128	9820.62	1162.31	-280099.38	-415477.69	689.53
14966	-32763	5x-128	15208.85	3067.84	-274711.15	-413572.16	776.59
14966	-32763	5x-128	14138.72	4570.38	-275781.28	-412069.62	1086.38
14966	-32763	5x-128	12345.18	4773.43	-277574.82	-411866.57	1338.26
14966	-32763	5x-128	12207.8	7422.8	-277712.2	-409217.2	1643.76
14966	-32763	5x-128	19280.31	-913.2	-270639.69	-417553.2	753.85
14966	-32763	5x-128	19616.66	-2822.07	-270303.34	-419462.07	862.91
14966	-32763	5x-128	21299.87	-4481.88	-268620.13	-421121.88	958.21
14966	-32763	5x-128	21193.15	-7658.8	-268726.85	-424298.8	1138.55
14966	-32763	5x-128	13874.5	-4536.78	-276045.5	-421176.78	688.46
14966	-32763	5x-128	13906.92	-6947.21	-276013.08	-423587.21	1034.35
14964	-32763	5x-128	1698.48	-5360.22	-288221.52	-422000.22	187.69
14964	-32763	5x-128	585.69	-7132.19	-289334.31	-423772.19	362.9
14964	-32763	5x-128	-500.08	-4973.93	-290420.08	-421613.93	407.87
14964	-32763	5x-128	-9593.68	-6723.39	-299513.68	-423363.39	725.21
14964	-32763	5x-128	-8989.4	-8613.9	-298909.4	-425253.9	724.23
14964	-32763	5x-128	-9208.65	-10510.86	-299128.65	-427150.86	723.73
14966	-32763	5x-128	-4518.03	-13833.45	-294438.03	-430473.45	714.07
14966	-32763	5x-128	-6605.46	-14152.82	-296525.46	-430792.82	1005.36
14966	-32763	5x-128	-1203.67	-10360.01	-291123.67	-427000.01	723.88
14966	-32763	5x-128	-511.76	-8497.1	-290431.76	-425137.1	723.88
14966	-32763	5x-128	892.94	-10028.43	-289027.06	-426668.43	723.88
14966	-32763	5x-128	3577.95	-15273.0	-286342.05	-431913.0	917.85
14966	-32763	5x-128	4398.6	-12710.1	-285521.4	-429350.1	1344.64
14966	-32763	5x-128	7301.66	-12460.28	-282618.34	-429100.28	1678.17
14966	-32763	5x-128	-1155.01	-19660.75	-291075.01	-436300.75	793.76
14966	-32763	5x-128	-3673.12	-19918.6	-293593.12	-436558.6	937.21
14966	-32763	5x-128	-4904.24	-21743.3	-294824.24	-438383.3	1008.9
14966	-32763	5x-128	-7382.54	-21732.67	-297302.54	-438372.67	1148.77
14964	-32763	5x-128	-5130.31	-1070.4	-295050.31	-417710.4	162.21
14964	-32763	5x-128	-6713.67	146.01	-296633.67	-416493.99	331.38
14964	-32763	5x-128	-4492.06	987.13	-294412.06	-415652.87	341.7
14964	-32763	5x-128	-6174.69	10151.33	-296094.69	-406488.67	690.86
14964	-32763	5x-128	-8199.43	9657.84	-298119.43	-406982.16	689.58
14964	-32763	5x-128	-10132.48	9669.43	-300052.48	-406970.57	689.38
14968	-32763	5x-128	7437.06	-14582.39	-282482.94	-431222.39	1657.64
14968	-32763	5x-128	7906.54	-15992.3	-282013.46	-432632.3	1658.23
14968	-32763	5x-128	14185.26	7552.12	-275734.74	-409087.88	1623.29
14968	-32763	5x-128	15566.33	7996.81	-274353.67	-408643.19	1623.3
