refid	region	sector	local_x	local_z	world_x	world_z	height
14949	-32761	7x-128	-10.05	-1696.3	-286090.05	-418336.3	-77.6
14949	-32761	7x-128	698.63	-1233.39	-285381.37	-417873.39	-76.91
14949	-32761	7x-128	-712.91	-1242.24	-286792.91	-417882.24	-76.82
14949	-32761	7x-128	-10.07	-2117.41	-286090.07	-418757.41	-77.55
14951	-32761	7x-128	-1761.59	-1408.9	-287841.59	-418048.9	-0.24
14951	-32761	7x-128	-2552.25	-1408.87	-288632.25	-418048.87	85.65
14951	-32761	7x-128	-1620.64	-401.05	-287700.64	-417041.05	-0.22
14951	-32761	7x-128	-2599.1	-389.8	-288679.1	-417029.8	86.23
14951	-32761	7x-128	-1668.34	679.99	-287748.34	-415960.01	1.5
14951	-32761	7x-128	-2611.58	722.45	-288691.58	-415917.55	87.06
14951	-32761	7x-128	1622.01	-355.37	-284457.99	-416995.37	-0.24
14951	-32761	7x-128	2599.17	-342.33	-283480.83	-416982.33	86.78
14953	-32761	7x-128	1631.27	1757.74	-284448.73	-414882.26	-0.24
14953	-32761	7x-128	2617.01	1738.89	-283462.99	-414901.11	87.84
14953	-32761	7x-128	2617.31	2621.59	-283462.69	-414018.41	87.37
14953	-32761	7x-128	1660.46	2628.94	-284419.54	-414011.06	-0.24
14953	-32761	7x-128	2532.96	3478.51	-283547.04	-413161.49	86.75
14953	-32761	7x-128	1679.19	3433.29	-284400.81	-413206.71	-0.24
14949	-32761	7x-128	-806.09	-1989.61	-286886.09	-418629.61	-76.82
14949	-32761	7x-128	818.21	-1990.85	-285261.79	-418630.85	-71.5
14951	-32761	7x-128	1141.29	-2856.74	-284938.71	-419496.74	-73.29
14951	-32761	7x-128	2029.86	-3039.33	-284050.14	-419679.33	-53.68
14951	-32761	7x-128	-1136.66	-2893.21	-287216.66	-419533.21	-76.7
14951	-32761	7x-128	-2018.98	-3118.0	-288098.98	-419758.0	-54.81
14949	-32761	7x-128	-863.49	-478.04	-286943.49	-417118.04	-70.54
14949	-32761	7x-128	821.9	-481.15	-285258.1	-417121.15	-76.78
14949	-32761	7x-128	-15.03	-904.67	-286095.03	-417544.67	-77.61
14949	-32761	7x-128	838.62	254.17	-285241.38	-416385.83	-73.55
14949	-32761	7x-128	-845.04	253.82	-286925.04	-416386.18	-76.81
14951	-32761	7x-128	1571.14	-1410.96	-284508.86	-418050.96	-0.24
14951	-32761	7x-128	2497.63	-1414.27	-283582.37	-418054.27	85.58
14951	-32761	7x-128	2586.75	556.31	-283493.25	-416083.69	87.3
14951	-32761	7x-128	1691.11	579.0	-284388.89	-416061.0	-0.24
26908	-32751	17x-128	496.49	54.12	-266383.51	-416585.88	-9.98
26908	-32751	17x-128	512.41	81.27	-266367.59	-416558.73	-9.98
26908	-32751	17x-128	798.18	90.44	-266081.82	-416549.56	-9.98
26908	-32751	17x-128	831.56	60.09	-266048.44	-416579.91	-9.98
26908	-32751	17x-128	665.61	119.82	-266214.39	-416520.18	-9.98
26908	-32751	17x-128	683.87	67.73	-266196.13	-416572.27	-6.38
