refid	region	sector	local_x	local_z	world_x	world_z	height
14957	-32762	6x-128	-7664.05	5585.95	-295664.05	-411054.05	0.02
14957	-32762	6x-128	-4463.81	5605.34	-292463.81	-411034.66	0.02
14957	-32762	6x-128	-6070.75	3970.42	-294070.75	-412669.58	0.02
14957	-32762	6x-128	-6054.98	7165.97	-294054.98	-409474.03	0.02
14957	-32762	6x-128	-4743.42	4762.27	-292743.42	-411877.73	21.27
14957	-32762	6x-128	-5249.23	4052.35	-293249.23	-412587.65	21.27
14957	-32762	6x-128	-4748.29	6476.55	-292748.29	-410163.45	21.39
14957	-32762	6x-128	-5161.59	7040.8	-293161.59	-409599.2	21.41
14957	-32762	6x-128	-7050.53	7083.71	-295050.53	-409556.29	21.58
14957	-32762	6x-128	-7419.95	6480.95	-295419.95	-410159.05	21.4
14957	-32762	6x-128	-7433.28	4690.81	-295433.28	-411949.19	21.27
14957	-32762	6x-128	-7075.55	4171.64	-295075.55	-412468.36	21.27
14957	-32762	6x-128	-7949.75	7382.67	-295949.75	-409257.33	22.93
14957	-32762	6x-128	-7989.13	3800.7	-295989.13	-412839.3	21.27
14957	-32762	6x-128	-4237.12	3888.04	-292237.12	-412751.96	21.27
14957	-32762	6x-128	-4110.57	7423.85	-292110.57	-409216.15	23.04
14957	-32762	6x-128	6201.06	5589.61	-281798.94	-411050.39	-47.24
14957	-32762	6x-128	4961.54	6874.97	-283038.46	-409765.03	21.2
14957	-32762	6x-128	7464.98	6900.13	-280535.02	-409739.87	21.25
14957	-32762	6x-128	7376.46	4433.07	-280623.54	-412206.93	21.27
14957	-32762	6x-128	4988.34	4434.29	-283011.66	-412205.71	21.27
14957	-32762	6x-128	12127.16	5590.01	-275872.84	-411049.99	-47.24
14957	-32762	6x-128	11596.9	6132.82	-276403.1	-410507.18	-0.15
14957	-32762	6x-128	12569.06	6167.94	-275430.94	-410472.06	-0.15
14957	-32762	6x-128	11570.85	5167.37	-276429.15	-411472.63	-0.15
14957	-32762	6x-128	12659.31	5098.27	-275340.69	-411541.73	-0.15
14957	-32762	6x-128	12052.34	6679.35	-275947.66	-409960.65	-0.15
14957	-32762	6x-128	11001.91	5652.14	-276998.09	-410987.86	-0.15
14957	-32762	6x-128	12098.65	4672.64	-275901.35	-411967.36	-0.15
14957	-32762	6x-128	13107.81	5678.84	-274892.19	-410961.16	-0.15
14959	-32762	6x-128	12121.78	-36.23	-275878.22	-416676.23	-47.24
14961	-32762	6x-128	12159.07	23.94	-275840.93	-416616.06	-47.24
14961	-32762	6x-128	13003.09	968.85	-274996.91	-415671.15	21.15
14961	-32762	6x-128	11200.42	1048.59	-276799.58	-415591.41	21.2
14961	-32762	6x-128	13120.59	-886.19	-274879.41	-417526.19	21.27
14961	-32762	6x-128	11091.87	-858.71	-276908.13	-417498.71	21.27
14961	-32762	6x-128	6205.46	-38.6	-281794.54	-416678.6	-47.24
14961	-32762	6x-128	7169.08	-50.49	-280830.92	-416690.49	-0.15
14961	-32762	6x-128	5241.92	-31.15	-282758.08	-416671.15	-0.15
14959	-32762	6x-128	5044.93	1170.78	-282955.07	-415469.22	21.2
14959	-32762	6x-128	7367.56	1219.09	-280632.44	-415420.91	21.22
14959	-32762	6x-128	7373.55	-1089.28	-280626.45	-417729.28	21.27
14959	-32762	6x-128	5008.25	-1118.42	-282991.75	-417758.42	21.27
14961	-32762	6x-128	6216.99	1141.97	-281783.01	-415498.03	-0.15
