refid	region	sector	local_x	local_z	world_x	world_z	height
3871	25197	109x98	545.72	820.23	-89694.28	18100.23	2596.59
3871	25197	109x98	373.48	139.38	-89866.52	17419.38	2467.66
3871	24941	109x97	140.71	1428.11	-90099.29	16788.11	2395.48
3871	24940	108x97	1855.91	729.96	-90304.09	16089.96	2224.77
3871	24940	108x97	1404.14	135.27	-90755.86	15495.27	2103.3
3871	24684	108x96	1024.98	1357.31	-91135.02	14797.31	2091.99
3871	24684	108x96	460.32	759.56	-91699.68	14199.56	2099.79
3871	24684	108x96	1098.15	4.77	-91061.85	13444.77	2271.61
3871	24684	108x96	1902.05	890.16	-90257.95	14330.16	2094.38
3871	24685	109x96	536.91	1681.33	-89703.09	15121.33	2122.43
3871	24941	109x97	937.59	807.73	-89302.41	16167.73	2304.52
3871	24941	109x97	1157.26	1573.82	-89082.74	16933.82	2497.36
3871	24941	109x97	1774.32	1095.3	-88465.68	16455.3	2326.67
3871	24941	109x97	1359.89	83.39	-88880.11	15443.39	2200.97
3871	24685	109x96	1052.44	1004.19	-89187.56	14444.19	2126.72
3871	24685	109x96	953.07	194.58	-89286.93	13634.58	2122.96
3871	24429	109x95	84.8	1752.02	-90155.2	13272.02	2232.18
3871	24685	109x96	1792.32	441.29	-88447.68	13881.29	2114.99
3871	24685	109x96	1909.58	1297.83	-88330.42	14737.83	2157.86
3871	24942	110x97	309.09	318.04	-88010.91	15678.04	2268.93
3871	24686	110x96	911.01	1816.21	-87408.99	15256.21	2353.74
3871	24686	110x96	775.53	1012.45	-87544.47	14452.45	2178.24
3871	24686	110x96	608.09	48.13	-87711.91	13488.13	2092.95
3871	24686	110x96	1292.54	407.9	-87027.46	13847.9	2107.94
3871	24686	110x96	1631.83	1106.33	-86688.17	14546.33	2301.52
3871	24686	110x96	1707.8	1833.31	-86612.2	15273.31	2439.95
3871	24943	111x97	556.46	490.97	-85843.54	15850.97	2562.73
3871	24687	111x96	555.31	1712.2	-85844.69	15152.2	2380.28
3871	24687	111x96	510.35	992.36	-85889.65	14432.36	2273.77
3871	24687	111x96	269.02	208.87	-86130.98	13648.87	2132.02
3871	24431	111x95	113.27	1351.87	-86286.73	12871.87	2078.85
3871	24687	111x96	1051.09	256.87	-85348.91	13696.87	2136.4
3871	24687	111x96	1278.48	1065.63	-85121.52	14505.63	2185.57
3871	24687	111x96	1263.45	1884.59	-85136.55	15324.59	2234.15
3871	24944	112x97	181.24	1779.64	-84298.76	17139.64	2788.7
3871	24944	112x97	1023.22	1825.11	-83456.78	17185.11	2633.42
3871	24944	112x97	229.51	1055.27	-84250.49	16415.27	2399.64
3871	24944	112x97	1110.67	1169.67	-83369.33	16529.67	2401.05
3871	24944	112x97	963.07	431.35	-83516.93	15791.35	2243.82
3871	24944	112x97	140.75	201.92	-84339.25	15561.92	2182.28
3871	24688	112x96	1008.69	1493.22	-83471.31	14933.22	2139.81
3871	24688	112x96	163.85	1248.71	-84316.15	14688.71	2143.51
3871	24688	112x96	757.18	629.14	-83722.82	14069.14	2111.96
3871	24687	111x96	1860.58	471.38	-84539.42	13911.38	2156.22
3871	24432	112x95	448.0	1718.02	-84032.0	13238.02	2102.39
3871	24432	112x95	1297.76	1603.22	-83182.24	13123.22	2070.55
3871	24688	112x96	1656.46	537.44	-82823.54	13977.44	2124.43
3871	24688	112x96	1888.93	1404.44	-82591.07	14844.44	2117.57
3871	24944	112x97	1836.7	278.96	-82643.3	15638.96	2181.57
3871	24945	113x97	34.73	1037.61	-82525.27	16397.61	2252.96
3871	24945	113x97	759.1	747.04	-81800.9	16107.04	2150.37
3871	24689	113x96	724.46	1797.55	-81835.54	15237.55	2091.97
3871	24689	113x96	758.85	996.85	-81801.15	14436.85	2092.51
3871	23915	107x93	1128.19	1452.93	-92951.81	9132.93	3373.29
3871	21870	110x85	254.09	1755.31	-88065.91	-5924.69	2168.46
3871	22126	110x86	1040.85	115.35	-87279.15	-5644.65	2201.42
3871	22126	110x86	1728.08	559.44	-86591.92	-5200.56	2104
3871	22127	111x86	217.3	1284.36	-86182.7	-4475.64	2092.82
3871	22127	111x86	1016.08	1342.29	-85383.92	-4417.71	2097.79
3871	22127	111x86	675.39	527.25	-85724.61	-5232.75	2102.91
3871	21871	111x85	563.48	1541.56	-85836.52	-6138.44	2080.75
3871	21870	110x85	1672.36	1677.49	-86647.64	-6002.51	2093.58
3871	21870	110x85	1192.83	1106.98	-87127.17	-6573.02	2131
3871	21870	110x85	387.32	972.06	-87932.68	-6707.94	2096
3871	21870	110x85	893.43	321.51	-87426.57	-7358.49	2093.52
3871	21870	110x85	1908.81	710.78	-86411.19	-6969.22	2098
3871	21871	111x85	783.22	700.26	-85616.78	-6979.74	2092.81
3871	22127	111x86	1740.34	1043.52	-84659.66	-4716.48	2242.26
3871	22128	112x86	485.93	950.8	-83994.07	-4809.2	2141.83
3871	22128	112x86	1158.98	584.96	-83321.02	-5175.04	2135.4
