refid	region	sector	local_x	local_z	world_x	world_z	height
3865	24437	117x95	1576.72	1259.91	-73303.28	12779.91	2473.1
3865	24693	117x96	1047.7	166.03	-73832.3	13606.03	2343.02
3865	24693	117x96	391.65	847.03	-74488.35	14287.03	2234.91
3865	24692	116x96	1710.07	1741.05	-75089.93	15181.05	2223.94
3865	24948	116x97	1210.27	84.65	-75589.73	15444.65	2243.56
3865	24181	117x94	1423.13	1325.33	-73456.87	10925.33	2668.7
3865	23913	105x93	560.13	939.48	-97359.87	8619.48	2336.47
3865	23913	105x93	58.98	386.47	-97861.02	8066.47	2364.85
3865	23657	105x92	108.58	1613.97	-97811.42	7373.97	2372.86
3865	23657	105x92	1046.49	1814.72	-96873.51	7574.72	2300.65
3865	23657	105x92	733.19	1170.31	-97186.81	6930.31	2307.47
3865	23657	105x92	468.8	408.49	-97451.2	6168.49	2313.32
3865	23657	105x92	1529.12	500.25	-96390.88	6260.25	2261.15
3865	23401	105x91	970.89	1776.27	-96949.11	5616.27	2251.14
3865	22133	117x86	537.52	143.69	-74342.48	-5616.31	2962.83
3865	21877	117x85	63.93	1579.87	-74816.07	-6100.13	3165.19
3865	21876	116x85	1131.62	1602.5	-75668.38	-6077.5	3375.71
3865	21876	116x85	527.03	1060.17	-76272.97	-6619.83	3407.72
3865	21876	116x85	475.61	1603.05	-76324.39	-6076.95	3489.58
3865	21875	115x85	1199.06	1749.73	-77520.94	-5930.27	3487.36
3865	22131	115x86	707.36	194.12	-78012.64	-5565.88	3525.52
3865	22645	117x88	755.3	730.15	-74124.7	-1189.85	2319.39
3865	22389	117x87	1219.32	1841.32	-73660.68	-1998.68	2410.24
3865	23658	106x92	517.94	367.59	-95482.06	6127.59	2237.5
3865	23402	106x91	492.73	1458.94	-95507.27	5298.94	2122.26
3865	23402	106x91	20.14	930.87	-95979.86	4770.87	2135.8
3865	23401	105x91	1315.28	891.96	-96604.72	4731.96	2126.4
3865	23401	105x91	674.67	615.5	-97245.33	4455.5	2112.11
3865	23401	105x91	1314.72	116.98	-96605.28	3956.98	2109.62
3865	23402	106x91	235.4	133.53	-95764.6	3973.53	2117.15
3865	23402	106x91	734.15	502.02	-95265.85	4342.02	2104.09
3865	23145	105x90	1643.63	1216.19	-96276.37	3136.19	2091.66
3865	23145	105x90	825.33	1248.61	-97094.67	3168.61	2091.99
3865	23146	106x90	838.17	1455.14	-95161.83	3375.14	2095.7
3865	23146	106x90	1408.08	1821.58	-94591.92	3741.58	2117.86
3865	23146	106x90	448.77	554.05	-95551.23	2474.05	2092.82
3865	23146	106x90	1441.2	560.41	-94558.8	2480.41	2092.17
3865	22890	106x89	912.46	1637.06	-95087.54	1637.06	2025.26
3865	22891	107x89	84.92	1765.92	-93995.08	1765.92	2096.07
3865	23147	107x90	405.69	872.04	-93674.31	2792.04	2226.22
3865	22890	106x89	1604.1	734.93	-94395.9	734.93	2185.9
3865	22890	106x89	748.8	666.87	-95251.2	666.87	2304.49
3865	24426	106x95	304.37	610.43	-95695.63	12130.43	4016.82
3865	24426	106x95	914.6	180.82	-95085.4	11700.82	3930.12
3865	24170	106x94	427.29	1866.67	-95572.71	11466.67	3908.3
3865	24170	106x94	866.31	1329.2	-95133.69	10929.2	3785.77
3865	24170	106x94	205.93	1079.26	-95794.07	10679.26	3515.28
3865	24170	106x94	555.47	561.59	-95444.53	10161.59	3472.55
3865	24169	105x94	1631.57	383.67	-96288.43	9983.67	3373.05
3865	23914	106x93	204.63	1678.95	-95795.37	9358.95	3153.46
3865	21875	115x85	1800.41	1557.0	-76919.59	-6123.0	3517.9
