refid	region	sector	local_x	local_z	world_x	world_z	height
3867	24433	113x95	1864.12	487.91	-80695.88	12007.91	2067.79
3867	24177	113x94	1047.74	1720.25	-81512.26	11320.25	1957.11
3867	24178	114x94	108.36	1404.03	-80531.64	11004.03	2006.41
3867	24177	113x94	1366.77	730.9	-81193.23	10330.9	2046.44
3867	24178	114x94	979.76	1262.99	-79660.24	10862.99	2181.96
3867	24178	114x94	463.49	589.9	-80176.51	10189.9	1964.91
3867	24178	114x94	1199.39	479.79	-79440.61	10079.79	2105.27
3867	23922	114x93	679.77	1631.4	-79960.23	9311.4	1947.29
3867	23922	114x93	1626.64	1665.59	-79013.36	9345.59	2061.08
3867	23922	114x93	1793.05	696.88	-78846.95	8376.88	1987.95
3867	23923	115x93	700.79	404.59	-78019.21	8084.59	1981.29
3867	23667	115x92	1311.11	1700.33	-77408.89	7460.33	1937.36
3867	23668	116x92	277.85	1479.6	-76522.15	7239.6	2090.32
3867	23668	116x92	328.7	673.8	-76471.3	6433.8	2093.17
3867	23668	116x92	1073.02	982.1	-75726.98	6742.1	2154.48
3867	23668	116x92	1850.18	759.5	-74949.82	6519.5	2134.28
3867	23668	116x92	1087.97	249.57	-75712.03	6009.57	2091.9
3867	23412	116x91	1283.91	1373.1	-75516.09	5213.1	2129.45
3867	23413	117x91	20.33	1734.08	-74859.67	5574.08	2093.04
3867	22384	112x87	529.56	2.17	-83950.44	-3837.83	2101.96
3867	22384	112x87	1261.08	531.69	-83218.92	-3308.31	2021.56
3867	22128	112x86	1686.46	1442.7	-82793.54	-4317.3	2007.59
3867	22129	113x86	650.13	1457.86	-81909.87	-4302.14	2016.65
3867	22129	113x86	1431.82	1784.29	-81128.18	-3975.71	2068.13
3867	22385	113x87	1251.19	916.78	-81308.81	-2923.22	1942.58
3867	22385	113x87	238.0	649.77	-82322.0	-3190.23	1864.23
3867	22384	112x87	1471.18	1473.09	-83008.82	-2366.91	2000.76
3867	22385	113x87	561.8	1630.22	-81998.2	-2209.78	1960.36
3867	22641	113x88	1422.65	30.35	-81137.35	-1889.65	1981.45
3867	22386	114x87	526.7	1715.85	-80113.3	-2124.15	2072.96
3867	22642	114x88	369.2	640.64	-80270.8	-1279.36	2092.82
3867	22642	114x88	1328.16	577.36	-79311.84	-1342.64	2084.19
3867	22643	115x88	73.59	1086.92	-78646.41	-833.08	2112.23
3867	22643	115x88	874.53	1472.3	-77845.47	-447.7	2098.17
3867	22899	115x89	1587.59	10.26	-77132.41	10.26	2100.86
3867	22900	116x89	461.13	565.04	-76338.87	565.04	2114.11
3867	22635	107x88	1436.08	1836.83	-92643.92	-83.17	2161.98
3867	22636	108x88	141.0	1004.95	-92019.0	-915.05	2146.17
3867	22636	108x88	695.28	434.76	-91464.72	-1485.24	2111.88
3867	22380	108x87	1362.44	1774.89	-90797.56	-2065.11	2233.54
3867	22381	109x87	89.13	1187.36	-90150.87	-2652.64	2284.4
3867	22381	109x87	662.17	682.98	-89577.83	-3157.02	2205.96
3867	22381	109x87	1461.81	268.16	-88778.19	-3571.84	2144.79
3867	22382	110x87	283.4	14.71	-88036.6	-3825.29	2075.89
3867	22126	110x86	374.22	1133.17	-87945.78	-4626.83	2115.56
3867	22126	110x86	1044.63	1624.79	-87275.37	-4135.21	2091.93
3867	23147	107x90	1478.37	1261.52	-92601.63	3181.52	2215.42
3867	23403	107x91	714.34	154.91	-93365.66	3994.91	2091.64
3867	23403	107x91	1410.28	445.58	-92669.72	4285.58	2090.49
3867	23403	107x91	1722.18	1216.55	-92357.82	5056.55	2081.37
3867	23404	108x91	239.05	1886.01	-91920.95	5726.01	2105.11
3867	23660	108x92	418.22	687.8	-91741.78	6447.8	2081.95
3867	23660	108x92	706.61	1389.44	-91453.39	7149.44	2027.41
3867	23916	108x93	1169.65	124.53	-90990.35	7804.53	2036.9
3867	23916	108x93	1575.91	885.92	-90584.09	8565.92	2031.1
3867	23917	109x93	229.61	1449.81	-90010.39	9129.81	2045.51
3867	24173	109x94	809.4	150.92	-89430.6	9750.92	2041.12
3867	24173	109x94	904.89	1085.25	-89335.11	10685.25	2090.26
3867	24173	109x94	1679.32	662.63	-88560.68	10262.63	2078.83
3867	24429	109x95	1125.32	150.28	-89114.68	11670.28	2101.32
3867	24173	109x94	1854.68	1801.16	-88385.32	11401.16	2091.87
3867	24174	110x94	593.69	1387.09	-87726.31	10987.09	2115.75
3867	24430	110x95	1245.53	234.14	-87074.47	11754.14	2010.93
3867	24430	110x95	441.16	873.36	-87878.84	12393.36	2078.37
3867	24429	109x95	1621.9	1176.82	-88618.1	12696.82	2127.9
3867	24429	109x95	984.25	1186.97	-89255.75	12706.97	2202.3
3867	24431	111x95	175.8	154.32	-86224.2	11674.32	2021.24
3867	24431	111x95	939.35	398.67	-85460.65	11918.67	2021.46
3867	24431	111x95	1720.4	273.77	-84679.6	11793.77	2047.08
3867	24432	112x95	602.41	67.71	-83877.59	11587.71	1983.89
3867	24176	112x94	1278.43	1680.55	-83201.57	11280.55	2019.06
3867	24177	113x94	138.34	1302.9	-82421.66	10902.9	2086.14
3867	22129	113x86	1614.37	707.47	-80945.63	-5052.53	2258.69
3867	22130	114x86	698.28	718.95	-79941.72	-5041.05	2744.4
3867	22130	114x86	1673.04	971.34	-78966.96	-4788.66	3233.5
3867	22891	107x89	1530.15	757.36	-92549.85	757.36	2270.66
3867	22891	107x89	1690.75	1687.97	-92389.25	1687.97	2179.39
