refid	region	sector	local_x	local_z	world_x	world_z	height
3864	23925	117x93	1471.14	1060.42	-73408.86	8740.42	2619.12
3864	23925	117x93	1370.76	456.63	-73509.24	8136.63	2535.48
3864	23669	117x92	1098.39	1684.02	-73781.61	7444.02	2427.01
3864	23669	117x92	960.62	939.22	-73919.38	6699.22	2225.5
3864	23413	117x91	1057.92	1868.21	-73822.08	5708.21	2094.83
3864	23413	117x91	1689.15	1615.82	-73190.85	5455.82	2092.36
3864	23413	117x91	889.42	489.33	-73990.58	4329.33	2089.82
3864	23414	118x91	436.66	1312.48	-72523.34	5152.48	2094.87
3864	23413	117x91	1562.96	854.42	-73317.04	4694.42	2092.15
3864	23157	117x90	1560.01	1776.89	-73319.99	3696.89	2083.41
3864	23157	117x90	1338.85	1096.88	-73541.15	3016.88	2070.04
3864	23158	118x90	195.42	1108.19	-72764.58	3028.19	2092.81
3864	23158	118x90	385.36	1150.83	-72574.64	3070.83	2092.82
3864	23157	117x90	1197.41	298.95	-73682.59	2218.95	2077.68
3864	22901	117x89	831.34	1672.15	-74048.66	1672.15	2063.14
3864	22901	117x89	245.37	1238.75	-74634.63	1238.75	2074.03
3864	22901	117x89	882.29	1469.72	-73997.71	1469.72	2096.24
3864	24692	116x96	480.03	1551.55	-76319.97	14991.55	2262.08
3864	24691	115x96	1811.87	1437.54	-76908.13	14877.54	2279.3
3864	24948	116x97	408.39	294.2	-76391.61	15654.2	2267.74
3864	24947	115x97	1671.26	285.88	-77048.74	15645.88	2342.65
3864	24948	116x97	14.1	814.19	-76785.9	16174.19	2409.13
3864	24948	116x97	615.72	977.0	-76184.28	16337.0	2334.34
3864	24948	116x97	8.33	1443.11	-76791.67	16803.11	2434.96
3864	24947	115x97	1493.39	1082.58	-77226.61	16442.58	2406.04
3864	24947	115x97	1150.5	465.0	-77569.5	15825.0	2323.65
3864	24691	115x96	1114.73	1660.62	-77605.27	15100.62	2245.27
3864	24947	115x97	952.84	1255.61	-77767.16	16615.61	2329.83
3864	24947	115x97	450.9	1650.61	-78269.1	17010.61	2385.13
3864	24947	115x97	53.14	1022.12	-78666.86	16382.12	2392.82
3864	24947	115x97	641.58	667.36	-78078.42	16027.36	2320.11
3864	24947	115x97	520.92	26.72	-78199.08	15386.72	2239.87
3864	24691	115x96	490.37	1330.45	-78229.63	14770.45	2196.63
3864	25203	115x98	501.95	350.18	-78218.05	17630.18	2587.91
3864	24947	115x97	507.38	1153.25	-78212.62	16513.25	2331.21
3864	24691	115x96	1395.34	1415.49	-77324.66	14855.49	2251.22
3864	24947	115x97	1422.9	34.35	-77297.1	15394.35	2277.05
3864	24947	115x97	25.48	463.35	-78694.52	15823.35	2267.01
3864	24690	114x96	1819.25	1700.26	-78820.75	15140.26	2129.82
3864	24691	115x96	79.32	944.96	-78640.68	14384.96	2050.69
3864	24690	114x96	1599.15	560.1	-79040.85	14000.1	1990.47
3864	24690	114x96	1458.11	1156.24	-79181.89	14596.24	2038.1
3864	24434	114x95	1276.57	1910.84	-79363.43	13430.84	2031.75
3864	24946	114x97	1403.07	342.52	-79236.93	15702.52	2205.89
3864	24946	114x97	1396.36	914.89	-79243.64	16274.89	2304.38
3864	24946	114x97	1483.66	1359.15	-79156.34	16719.15	2390.84
3864	24946	114x97	1041.07	1640.72	-79598.93	17000.72	2385.41
3864	24946	114x97	1036.85	1180.07	-79603.15	16540.07	2281.03
3864	21873	113x85	1566.24	692.39	-80993.76	-6987.61	2165.96
3864	22900	116x89	1850.31	525.91	-74949.69	525.91	2102.74
3864	22901	117x89	792.06	595.06	-74087.94	595.06	2121.37
3864	21874	114x85	1284.76	702.72	-79355.24	-6977.28	2209.16
3864	21618	114x84	1058.24	1797.95	-79581.76	-7802.05	2193.93
3864	21874	114x85	8.61	127.78	-80631.39	-7552.22	2138.45
3864	21618	114x84	1190.26	942.46	-79449.74	-8657.54	2094.22
3864	21618	114x84	575.5	1772.62	-80064.5	-7827.38	2146.04
3864	21874	114x85	91.36	1383.06	-80548.64	-6296.94	2263.42
3864	21874	114x85	502.02	767.2	-80137.98	-6912.8	2200.25
3864	21619	115x84	0.58	930.11	-78719.42	-8669.89	2092.81
3864	21619	115x84	341.61	1636.61	-78378.39	-7963.39	2092.8
3864	21619	115x84	739.38	1098.86	-77980.62	-8501.14	2092.1
3864	21619	115x84	1871.82	1029.56	-76848.18	-8570.44	2092.07
3864	21620	116x84	593.32	932.98	-76206.68	-8667.02	2092.81
3864	21620	116x84	1151.1	719.05	-75648.9	-8880.95	2092.23
3864	21620	116x84	1826.74	384.23	-74973.26	-9215.77	2093.95
3864	21618	114x84	1890.22	1441.73	-78749.78	-8158.27	2108.94
3864	21619	115x84	1116.48	1309.94	-77603.52	-8290.06	2091.98
3864	21620	116x84	1514.36	620.02	-75285.64	-8979.98	2092.37
3864	23145	105x90	1309.13	116.08	-96610.87	2036.08	2092.65
3864	22889	105x89	1732.15	1240.17	-96187.85	1240.17	2225.27
3864	22889	105x89	971.2	1230.58	-96948.8	1230.58	2092
3864	22889	105x89	1370.46	460.61	-96549.54	460.61	2210.75
3864	22889	105x89	756.41	25.45	-97163.59	25.45	2204.7
3864	22890	106x89	1020.85	1005.99	-94979.15	1005.99	2302.8
3864	22891	107x89	386.57	1308.31	-93693.43	1308.31	2095.75
3864	22890	106x89	1565.48	1617.58	-94434.52	1617.58	2049.4
3864	22890	106x89	744.24	1723.32	-95255.76	1723.32	2097.33
3864	23147	107x90	85.45	466.47	-93994.55	2386.47	2078.96
3864	23146	106x90	941.87	846.01	-95058.13	2766.01	2092.32
3864	23413	117x91	665.32	1189.48	-74214.68	5029.48	2092.03
3864	25202	114x98	499.52	276.17	-80140.48	17556.17	2594.37
3864	25201	113x98	1901.23	534.95	-80658.77	17814.95	2691.15
3864	24945	113x97	1777.13	1872.49	-80782.87	17232.49	2461.76
3864	25201	113x98	1182.87	7.56	-81377.13	17287.56	2574.18
3864	24945	113x97	1415.93	1292.53	-81144.07	16652.53	2218.52
3864	24946	114x97	289.52	1443.67	-80350.48	16803.67	2256.62
3864	24946	114x97	510.45	547.07	-80129.55	15907.07	2173.28
3864	24945	113x97	1886.45	448.59	-80673.55	15808.59	2136.17
3864	24690	114x96	878.6	1743.65	-79761.4	15183.65	2151.47
3864	24690	114x96	305.58	1579.11	-80334.42	15019.11	2097.36
3864	24690	114x96	762.41	691.59	-79877.59	14131.59	2073.22
3864	24690	114x96	710.94	1191.91	-79929.06	14631.91	2094.74
3864	24937	105x97	780.93	1049.22	-97139.07	16409.22	2571.81
3864	24937	105x97	1658.01	1165.78	-96261.99	16525.78	2564.35
3864	24937	105x97	506.36	225.0	-97413.64	15585.0	2539.6
3864	24937	105x97	1351.84	269.48	-96568.16	15629.48	2362.43
3864	24681	105x96	1026.09	1406.82	-96893.91	14846.82	2454.85
3864	24681	105x96	1772.52	1526.53	-96147.48	14966.53	2376.74
3864	24938	106x97	246.66	346.98	-95753.34	15706.98	2304.43
3864	24938	106x97	631.15	1385.87	-95368.85	16745.87	2584.93
3864	25194	106x98	1063.55	56.17	-94936.45	17336.17	2560.79
3864	25194	106x98	1492.41	630.37	-94507.59	17910.37	2562.39
3864	25195	107x98	155.92	1038.96	-93924.08	18318.96	2697.07
