refid	region	sector	local_x	local_z	world_x	world_z	height
3869	24436	116x95	674.04	294.34	-76125.96	11814.34	5763.64
3869	24436	116x95	198.68	126.75	-76601.32	11646.75	5546.78
3869	24180	116x94	317.0	1461.33	-76483.0	11061.33	5347.07
3869	24180	116x94	744.34	1163.07	-76055.66	10763.07	5201.65
3869	24180	116x94	1296.37	1162.81	-75503.63	10762.81	5018.13
3869	24180	116x94	1791.34	1494.78	-75008.66	11094.78	4805.24
3869	24437	117x95	108.57	77.12	-74771.43	11597.12	4707.58
3869	24436	116x95	1885.23	670.33	-74914.77	12190.33	4574.31
3869	24436	116x95	1524.2	1170.4	-75275.8	12690.4	4448.42
3869	24436	116x95	981.73	1512.34	-75818.27	13032.34	4255.13
3869	24436	116x95	373.97	1647.19	-76426.03	13167.19	4105.1
3869	24435	115x95	1713.22	1483.9	-77006.78	13003.9	4013.03
3869	24435	115x95	1321.48	1078.93	-77398.52	12598.93	3974.11
3869	24435	115x95	1018.74	588.55	-77701.26	12108.55	3946.96
3869	24435	115x95	762.99	9.38	-77957.01	11529.38	3890.26
3869	24179	115x94	649.73	1355.72	-78070.27	10955.72	3797.66
3869	24179	115x94	797.56	790.44	-77922.44	10390.44	3718.37
3869	24179	115x94	1148.77	338.74	-77571.23	9938.74	3636.88
3869	24179	115x94	1632.14	23.8	-77087.86	9623.8	3553.9
3869	23924	116x93	218.73	1697.25	-76581.27	9377.25	3526.61
3869	23924	116x93	871.45	1568.42	-75928.55	9248.42	3434.84
3869	22379	107x87	354.91	438.95	-93725.09	-3401.05	5880.41
3869	22379	107x87	113.67	0.23	-93966.33	-3839.77	5523.04
3869	22123	107x86	245.92	1473.14	-93834.08	-4286.86	5329.82
3869	22123	107x86	612.25	1170.64	-93467.75	-4589.36	5225.24
3869	22123	107x86	1081.18	1190.86	-92998.82	-4569.14	5063.5
3869	22123	107x86	1470.17	1434.53	-92609.83	-4325.47	4890.44
3869	22123	107x86	1695.78	1844.43	-92384.22	-3915.57	4819.72
3869	22379	107x87	1711.77	442.48	-92368.23	-3397.52	4666.93
3869	22379	107x87	1551.27	939.6	-92528.73	-2900.4	4468.31
3869	22379	107x87	1271.97	1379.33	-92808.03	-2460.67	4286.15
3869	22379	107x87	847.82	1586.7	-93232.18	-2253.3	4130.02
3869	22379	107x87	330.4	1626.03	-93749.6	-2213.97	4017.58
3869	22378	106x87	1792.78	1459.45	-94207.22	-2380.55	4013.06
3869	22378	106x87	1372.12	1148.54	-94627.88	-2691.46	3999.68
3869	22378	106x87	1033.62	796.39	-94966.38	-3043.61	3960.03
3869	22378	106x87	781.72	393.69	-95218.28	-3446.31	3920.76
3869	22122	106x86	641.85	1857.39	-95358.15	-3902.61	3885.76
3869	22122	106x86	582.99	1352.09	-95417.01	-4407.91	3773.83
3869	22122	106x86	706.46	887.39	-95293.54	-4872.61	3742.88
3869	22122	106x86	1030.98	531.64	-94969.02	-5228.36	3643.23
3869	22122	106x86	1399.59	217.09	-94600.41	-5542.91	3545.35
3869	21866	106x85	1792.08	1840.72	-94207.92	-5839.28	3455.83
3869	21867	107x85	339.4	1672.33	-93740.6	-6007.67	3414.78
3869	21867	107x85	848.27	1573.75	-93231.73	-6106.25	3427.78
3869	21867	107x85	1307.21	1532.41	-92772.79	-6147.59	3310.96
3869	21867	107x85	1787.57	1543.76	-92292.43	-6136.24	3137.91
3869	21868	108x85	299.12	1644.51	-91860.88	-6035.49	2968.55
3869	22124	108x86	678.35	43.43	-91481.65	-5716.57	2882.35
3869	22124	108x86	1047.84	495.05	-91112.16	-5264.95	2829.19
3869	22124	108x86	1204.48	1507.78	-90955.52	-4252.22	2879.94
3869	22378	106x87	760.91	1725.61	-95239.09	-2114.39	4079.13
3869	23148	108x90	1112.87	16.9	-91047.13	1936.9	2455.05
3869	23148	108x90	1152.07	736.83	-91007.93	2656.83	2545.31
3869	23149	109x90	68.01	299.02	-90171.99	2219.02	2903.59
3869	22892	108x89	1769.7	1286.57	-90390.3	1286.57	3000.19
3869	22893	109x89	360.36	666.08	-89879.64	666.08	3133.3
3869	22893	109x89	1226.31	912.07	-89013.69	912.07	3310.84
3869	22893	109x89	935.38	175.82	-89304.62	175.82	3158.96
3869	22894	110x89	185.15	1175.5	-88134.85	1175.5	3506.23
3869	22893	109x89	1884.76	356.98	-88355.24	356.98	3283.76
