refid	region	sector	local_x	local_z	world_x	world_z	height
3873	22388	116x87	375.73	178.48	-76424.27	-3661.52	5724.64
3873	22132	116x86	294.49	1654.17	-76505.51	-4105.83	5384.53
3873	22132	116x86	633.79	1321.7	-76166.21	-4438.3	5244.93
3873	22132	116x86	1101.84	1286.47	-75698.16	-4473.53	5045.74
3873	22132	116x86	1545.63	1406.47	-75254.37	-4353.53	4812.48
3873	22132	116x86	1884.47	1881.62	-74915.53	-3878.38	4579.22
3873	22389	117x87	35.84	452.76	-74844.16	-3387.24	4228.31
3873	22388	116x87	1869.77	1012.37	-74930.23	-2827.63	3919.06
3873	22388	116x87	1604.53	1527.28	-75195.47	-2312.72	3615.97
3873	22388	116x87	1118.53	1768.43	-75681.47	-2071.57	3386.36
3873	22388	116x87	541.73	1786.47	-76258.27	-2053.53	3365.47
3873	22388	116x87	8.79	1729.32	-76791.21	-2110.68	3508.53
3873	22387	115x87	1433.62	1336.69	-77286.38	-2503.31	3746.58
3873	22387	115x87	1198.38	896.49	-77521.62	-2943.51	3913.51
3873	22387	115x87	903.7	370.66	-77816.3	-3469.34	3901.09
3873	22644	116x88	1268.19	730.22	-75531.81	-1189.78	2875.67
3873	22387	115x87	418.6	744.81	-78301.4	-3095.19	3795.74
3873	24427	107x95	617.34	578.24	-93462.66	12098.24	5602.07
3873	24171	107x94	864.24	1788.85	-93215.76	11388.85	5595.79
3873	24171	107x94	127.18	1867.97	-93952.82	11467.97	5444.45
3873	24171	107x94	305.05	1449.23	-93774.95	11049.23	5344.9
3873	24171	107x94	637.59	1183.87	-93442.41	10783.87	5216.42
3873	24171	107x94	1099.14	1147.29	-92980.86	10747.29	5100.11
3873	24171	107x94	1519.67	1291.75	-92560.33	10891.75	4903.09
3873	24171	107x94	1861.82	1598.81	-92218.18	11198.81	4768.16
3873	24428	108x95	85.48	118.42	-92074.52	11638.42	4687.15
3873	24428	108x95	5.33	588.96	-92154.67	12108.96	4589.01
3873	24427	107x95	1664.91	1002.24	-92415.09	12522.24	4494.73
3873	24427	107x95	1305.62	1340.39	-92774.38	12860.39	4368.96
3873	24427	107x95	858.04	1579.54	-93221.96	13099.54	4219.12
3873	24427	107x95	346.89	1604.9	-93733.11	13124.9	4098.41
3873	24426	106x95	1816.6	1443.75	-94183.4	12963.75	4022.96
3873	24426	106x95	1423.97	1163.27	-94576.03	12683.27	3992.52
3873	23148	108x90	1889.85	1558.82	-90270.15	3478.82	2994.2
3873	23149	109x90	778.6	1149.89	-89461.4	3069.89	3105.16
3873	23149	109x90	1605.44	1478.46	-88634.56	3398.46	3402.83
3873	23405	109x91	896.31	102.7	-89343.69	3942.7	3272.83
3873	23405	109x91	141.53	590.49	-90098.47	4430.49	3126.47
3873	23405	109x91	175.3	1517.0	-90064.7	5357.0	3223.14
3873	23405	109x91	910.57	1079.92	-89329.43	4919.92	3288.57
3873	23405	109x91	1651.66	496.02	-88588.34	4336.02	3477
3873	23405	109x91	1152.35	1896.11	-89087.65	5736.11	3370.06
3873	23661	109x92	591.31	493.22	-89648.69	6253.22	3410.98
3873	23661	109x92	1025.34	1252.3	-89214.66	7012.3	3713.85
3873	23661	109x92	1573.26	830.33	-88666.74	6590.33	3610.31
3873	23661	109x92	1734.04	1760.49	-88505.96	7520.49	3757.82
3873	23153	113x90	462.65	795.52	-82097.35	2715.52	4100.79
3873	23152	112x90	1879.18	1226.4	-82600.82	3146.4	4120.88
3873	23153	113x90	1147.35	1189.02	-81412.65	3109.02	4035.23
3873	23153	113x90	613.49	1817.31	-81946.51	3737.31	4192.17
3873	23409	113x91	500.77	713.28	-82059.23	4553.28	4288.22
3873	23409	113x91	317.2	1443.61	-82242.8	5283.61	4269.56
3873	23664	112x92	1891.87	308.03	-82588.13	6068.03	4224.91
3873	23664	112x92	1100.17	843.15	-83379.83	6603.15	4211.32
3873	23664	112x92	299.39	953.8	-84180.61	6713.8	4270.14
3873	23663	111x92	1525.54	1371.6	-84874.46	7131.6	4277.92
3873	23919	111x93	973.54	41.03	-85426.46	7721.03	4109.08
3873	23919	111x93	1126.38	810.2	-85273.62	8490.2	3969.66
3873	23919	111x93	1235.28	1458.74	-85164.72	9138.74	3846.28
3873	23919	111x93	529.19	1450.0	-85870.81	9130.0	3798.61
3873	23919	111x93	151.45	622.55	-86248.55	8302.55	3951.12
3873	23663	111x92	173.53	1723.11	-86226.47	7483.11	3991.19
3873	23662	110x92	1278.18	1498.2	-87041.82	7258.2	3861.57
3873	23918	110x93	1563.24	1309.23	-86756.76	8989.23	3812.04
3873	23662	110x92	882.22	810.36	-87437.78	6570.36	3831.49
3873	23662	110x92	388.96	58.97	-87931.04	5818.97	3682.25
3873	23406	110x91	551.52	1106.63	-87768.48	4946.63	3720.79
3873	23406	110x91	1321.22	1483.81	-86998.78	5323.81	4037.03
26914	-32751	17x-128	519.61	-2116.37	-266360.39	-418756.37	-9.98
26914	-32751	17x-128	805.3	-2050.34	-266074.7	-418690.34	0.06
26914	-32751	17x-128	857.58	-2113.28	-266022.42	-418753.28	0.03
