refid	region	sector	local_x	local_z	world_x	world_z	height
38230	22337	65x87	769.18	900.34	-173950.82	-2939.66	377.45
38230	22337	65x87	1070.81	754.54	-173649.19	-3085.46	301.26
38230	22337	65x87	690.27	474.69	-174029.73	-3365.31	361.28
38230	22337	65x87	985.61	360.81	-173734.39	-3479.19	293.58
38230	22337	65x87	389.06	114.4	-174330.94	-3725.6	386.6
38230	22337	65x87	700.12	122.49	-174019.88	-3717.51	337.22
38230	22081	65x86	536.61	1658.24	-174183.39	-4101.76	371.93
38230	22337	65x87	1125.25	1115.88	-173594.75	-2724.12	359.86
38230	22337	65x87	1683.6	370.59	-173036.4	-3469.41	209.86
38230	22081	65x86	1585.96	1903.34	-173134.04	-3856.66	204.74
38230	22338	66x87	14.16	145.43	-172785.84	-3694.57	160.15
38230	22338	66x87	84.42	474.0	-172715.58	-3366.0	156.86
38230	22337	65x87	1720.15	823.59	-172999.85	-3016.41	178.57
38230	22338	66x87	479.8	818.31	-172320.2	-3021.69	130.91
38230	22338	66x87	362.26	1269.67	-172437.74	-2570.33	256.64
38230	22081	65x86	1249.52	339.7	-173470.48	-5420.3	221.35
38230	22081	65x86	1635.59	536.69	-173084.41	-5223.31	207.33
38230	22082	66x86	89.91	665.45	-172710.09	-5094.55	204.06
38230	22082	66x86	478.81	820.94	-172321.19	-4939.06	191.07
38230	22081	65x86	1287.62	841.52	-173432.38	-4918.48	216.19
38230	22081	65x86	1622.8	1037.73	-173097.2	-4722.27	176.06
38230	22082	66x86	91.72	1240.15	-172708.28	-4519.85	153.61
38230	22338	66x87	904.18	201.51	-171895.82	-3638.49	53.99
38230	22338	66x87	1170.88	763.35	-171629.12	-3076.65	77.35
38230	22338	66x87	1525.18	555.09	-171274.82	-3284.91	54.68
38230	22338	66x87	1635.33	981.0	-171164.67	-2859.0	128.84
38230	22339	67x87	64.77	786.96	-170815.23	-3053.04	95.57
38230	22339	67x87	155.46	1228.06	-170724.54	-2611.94	144.09
38230	22339	67x87	554.2	942.7	-170325.8	-2897.3	106.36
38230	22339	67x87	942.05	679.62	-169937.95	-3160.38	47.58
38230	22081	65x86	827.79	587.68	-173892.21	-5172.32	269.62
38230	22081	65x86	747.14	81.26	-173972.86	-5678.74	232.33
38230	22081	65x86	842.32	926.31	-173877.68	-4833.69	300.2
38230	22338	66x87	1383.45	34.24	-171416.55	-3805.76	70.82
38230	22338	66x87	1890.31	241.88	-170909.69	-3598.12	61.97
38230	22339	67x87	443.28	351.66	-170436.72	-3488.34	37.41
38230	22082	66x86	1091.7	1531.56	-171708.3	-4228.44	69.96
38230	22082	66x86	706.13	1655.0	-172093.87	-4105.0	77.82
38230	22081	65x86	548.35	286.99	-174171.65	-5473.01	314.75
38230	21825	65x85	453.49	1817.89	-174266.51	-5862.11	283.32
38230	21825	65x85	932.44	1706.53	-173787.56	-5973.47	286.1
38230	22081	65x86	845.4	168.11	-173874.6	-5591.89	231.58
38230	21825	65x85	598.89	1299.87	-174121.11	-6380.13	307.77
38231	21067	75x82	1.64	556.27	-155518.36	-12883.73	-13.03
38231	22345	73x87	1343.64	957.44	-158016.36	-2882.56	-1.78
38231	22345	73x87	1915.92	1082.61	-157444.08	-2757.39	-7.05
38231	22346	74x87	474.41	823.73	-156965.59	-3016.27	-57.94
38231	22346	74x87	1543.6	1056.82	-155896.4	-2783.18	-52.5
38231	22346	74x87	1579.96	653.17	-155860.04	-3186.83	-97.22
38231	22091	75x86	24.16	1747.34	-155495.84	-4012.66	-14.19
38231	22346	74x87	1064.76	156.83	-156375.24	-3683.17	-94
38231	22346	74x87	603.59	252.47	-156836.41	-3587.53	-98.65
38231	22346	74x87	881.77	549.11	-156558.23	-3290.89	-103.88
38231	22346	74x87	110.54	939.29	-157329.46	-2900.71	-44.21
38231	22345	73x87	1537.86	1392.76	-157822.14	-2447.24	46.59
38231	22346	74x87	11.05	96.71	-157428.95	-3743.29	-50.47
38231	21835	75x85	401.23	783.93	-155118.77	-6896.07	-77.65
38231	21835	75x85	831.65	929.57	-154688.35	-6750.43	7
38231	21835	75x85	1140.4	950.41	-154379.6	-6729.59	57.8
38231	21835	75x85	1594.07	915.08	-153925.93	-6764.92	122.7
38231	21578	74x84	1885.46	1766.2	-155554.54	-7833.8	-31.15
38231	21578	74x84	1637.49	1419.21	-155802.51	-8180.79	-54.98
38231	21579	75x84	551.47	1642.0	-154968.53	-7958.0	-2.62
38231	21579	75x84	250.55	1371.71	-155269.45	-8228.29	-2.29
38231	21579	75x84	1007.2	1581.33	-154512.8	-8018.67	66.46
38231	21579	75x84	877.42	1281.65	-154642.58	-8318.35	58.38
38231	21834	74x85	1802.64	865.48	-155637.36	-6814.52	-61.68
38231	21323	75x83	531.33	1083.28	-154988.67	-10436.72	64.72
38231	21323	75x83	207.13	562.47	-155312.87	-10957.53	-7.99
38231	21323	75x83	797.18	617.63	-154722.82	-10902.37	-42.09
38231	21323	75x83	921.67	27.2	-154598.33	-11492.8	-61.25
38231	21066	74x82	1002.26	1498.5	-156437.74	-11941.5	6.77
38231	21066	74x82	1698.91	1163.74	-155741.09	-12276.26	-74.38
38231	21066	74x82	1425.64	1839.31	-156014.36	-11600.69	3.9
38231	22347	75x87	252.68	1119.58	-155267.32	-2720.42	-28.27
38231	22347	75x87	649.25	709.68	-154870.75	-3130.32	-19.9
38231	22347	75x87	400.26	161.53	-155119.74	-3678.47	19.62
