refid	region	sector	local_x	local_z	world_x	world_z	height
38253	22088	72x86	614.96	354.45	-160665.04	-5405.55	-9.64
38253	22088	72x86	636.93	33.65	-160643.07	-5726.35	-53.82
38253	21832	72x85	777.04	1640.56	-160502.96	-6039.44	-78.69
38253	21832	72x85	944.48	1362.6	-160335.52	-6317.4	-69.79
38253	21832	72x85	1069.98	1033.95	-160210.02	-6646.05	-42.23
38253	21832	72x85	1087.31	736.71	-160192.69	-6943.29	-8.44
38253	21832	72x85	1573.38	1101.85	-159706.62	-6578.15	-10.65
38253	21832	72x85	1879.04	1199.04	-159400.96	-6480.96	-26.57
38253	21832	72x85	1315.85	1555.17	-159964.15	-6124.83	-40.18
38253	21832	72x85	1135.66	1827.75	-160144.34	-5852.25	-82.53
38253	22088	72x86	1035.61	267.73	-160244.39	-5492.27	-55.04
38253	22088	72x86	950.21	538.1	-160329.79	-5221.9	-13.06
38253	22088	72x86	1323.36	461.57	-159956.64	-5298.43	-36.57
38253	22088	72x86	1467.72	85.57	-159812.28	-5674.43	-75.82
38253	21832	72x85	1681.02	1632.78	-159598.98	-6047.22	-51.47
38253	22088	72x86	1648.38	535.99	-159631.62	-5224.01	-11.62
38253	22088	72x86	1910.87	167.51	-159369.13	-5592.49	-48.45
38253	21833	73x85	177.32	1685.76	-159182.68	-5994.24	-36.59
38253	21833	73x85	383.44	1338.1	-158976.56	-6341.9	-31.12
38253	22089	73x86	227.92	454.69	-159132.08	-5305.31	3.79
38253	22089	73x86	479.16	151.6	-158880.84	-5608.4	-24.52
38253	21833	73x85	632.6	1539.59	-158727.4	-6140.41	-36.28
38253	21833	73x85	867.25	1077.41	-158492.75	-6602.59	-19.84
38253	22089	73x86	728.17	436.26	-158631.83	-5323.74	16.12
38253	22089	73x86	915.63	74.67	-158444.37	-5685.33	-3.98
38253	21833	73x85	1224.34	1382.76	-158135.66	-6297.24	0.81
38253	21833	73x85	1351.87	886.56	-158008.13	-6793.44	-4.17
38253	22089	73x86	1313.21	163.38	-158046.79	-5596.62	4.41
38253	21833	73x85	1587.7	1665.32	-157772.3	-6014.68	-5.05
38253	21833	73x85	1631.09	1253.39	-157728.91	-6426.61	25.95
38253	21833	73x85	1687.56	955.71	-157672.44	-6724.29	31.56
38253	21833	73x85	1260.71	1735.76	-158099.29	-5944.24	-17.23
38253	22090	74x86	24.31	3.87	-157415.69	-5756.13	3.49
38253	21834	74x85	189.26	1522.79	-157250.74	-6157.21	14.31
38253	21834	74x85	153.16	1105.47	-157286.84	-6574.53	44.92
38253	21834	74x85	103.48	676.93	-157336.52	-7003.07	46.82
38253	21576	72x84	871.11	1060.61	-160408.89	-8539.39	98.65
38253	21576	72x84	1312.69	1025.19	-159967.31	-8574.81	67.26
38253	21577	73x84	64.21	1005.12	-159295.79	-8594.88	-3.11
38253	21576	72x84	1841.74	1315.69	-159438.26	-8284.31	-26.34
38253	21576	72x84	1536.59	654.65	-159743.41	-8945.35	50.91
38253	21577	73x84	393.09	672.51	-158966.91	-8927.49	16.68
38253	21576	72x84	1642.74	981.23	-159637.26	-8618.77	33.05
38253	21576	72x84	1130.9	1650.29	-160149.1	-7949.71	45.88
38253	21832	72x85	1146.13	138.73	-160133.87	-7541.27	22.21
38253	21576	72x84	924.65	613.2	-160355.35	-8986.8	93.19
38253	21576	72x84	916.9	234.19	-160363.1	-9365.81	138.58
38253	21576	72x84	1199.57	563.21	-160080.43	-9036.79	76.48
38253	21577	73x84	630.15	629.1	-158729.85	-8970.9	43.72
38253	21577	73x84	692.79	1043.6	-158667.21	-8556.4	-0.23
38253	21577	73x84	1083.42	634.72	-158276.58	-8965.28	38.98
38253	21577	73x84	1520.63	520.61	-157839.37	-9079.39	-2.44
38253	21577	73x84	1877.81	648.69	-157482.19	-8951.31	-9.55
38253	21577	73x84	1727.73	944.76	-157632.27	-8655.24	-47.85
38253	21577	73x84	1382.31	946.67	-157977.69	-8653.33	-17.43
38253	21577	73x84	1014.72	1396.22	-158345.28	-8203.78	-18.7
38253	21577	73x84	1267.01	1682.48	-158092.99	-7917.52	-76.19
38253	21577	73x84	1626.79	1372.98	-157733.21	-8227.02	-71.07
38253	21577	73x84	1849.55	1709.58	-157510.45	-7890.42	-74.99
38253	21578	74x84	51.04	1298.38	-157388.96	-8301.62	-76.78
38253	21833	73x85	941.03	1489.96	-158418.97	-6190.04	-19.2
38253	22089	73x86	1046.54	435.15	-158313.46	-5324.85	20.37
38253	22089	73x86	245.97	797.46	-159114.03	-4962.54	40.58
38253	22088	72x86	1362.37	767.12	-159917.63	-4992.88	22.27
38253	22088	72x86	1762.91	854.46	-159517.09	-4905.54	37.36
38253	21834	74x85	524.73	198.51	-156915.27	-7481.49	2.53
38253	21834	74x85	651.93	704.81	-156788.07	-6975.19	55.18
38253	21834	74x85	799.51	1170.43	-156640.49	-6509.57	35.14
38253	21834	74x85	791.58	1568.91	-156648.42	-6111.09	21
38253	21578	74x84	543.74	1521.59	-156896.26	-8078.41	-61.8
38253	21834	74x85	205.97	218.86	-157234.03	-7461.14	-23.84
38253	21578	74x84	600.98	1009.69	-156839.02	-8590.31	-75.15
38253	21578	74x84	467.81	610.71	-156972.19	-8989.29	-55.91
