refid	region	sector	local_x	local_z	world_x	world_z	height
38175	29376	192x114	1852.31	691.04	70972.31	48691.04	814.02
38172	29376	192x114	1812.74	1546.86	70932.74	49546.86	820.37
38172	29376	192x114	1578.08	1769.05	70698.08	49769.05	823.81
38172	29377	193x114	143.44	1764.39	71183.44	49764.39	811.68
38172	29376	192x114	1603.4	1286.7	70723.4	49286.7	811.46
38172	29377	193x114	125.17	1291.49	71165.17	49291.49	814.46
38178	29634	194x115	604.28	1792.2	73564.28	51712.2	812.1
38176	31168	192x121	1776.15	632.13	70896.15	62072.13	849.92
38173	31168	192x121	1814.22	1522.74	70934.22	62962.74	857.15
38173	31168	192x121	1543.64	1765.39	70663.64	63205.39	865.81
38173	31169	193x121	187.02	1738.62	71227.02	63178.62	843.64
38173	31168	192x121	1597.35	1287.09	70717.35	62727.09	854.46
38173	31169	193x121	120.67	1296.19	71160.67	62736.19	838.46
38179	31426	194x122	611.53	1776.38	73571.53	65136.38	839.1
38177	31155	179x121	1758.88	634.62	45918.88	62074.62	838.27
38174	31155	179x121	1804.23	1535.03	45964.23	62975.03	833
38174	31155	179x121	1589.87	1748.43	45749.87	63188.43	822.81
38174	31156	180x121	140.64	1746.61	46220.64	63186.61	832.67
38174	31155	179x121	1592.15	1311.69	45752.15	62751.69	831.46
38174	31156	180x121	131.45	1315.71	46211.45	62755.71	840.46
38180	31413	181x122	608.26	1776.56	48608.26	65136.56	842.1
26934	-32751	17x-128	1192.35	15.75	-265687.65	-416624.25	0.08
26934	-32751	17x-128	1376.32	14.34	-265503.68	-416625.66	-9.98
26934	-32751	17x-128	1481.09	25.5	-265398.91	-416614.5	-9.98
