refid	region	sector	local_x	local_z	world_x	world_z	height
38184	-32752	16x-128	-1730.06	1415.46	-270530.06	-415224.54	-43.21
38183	19514	58x76	1536.41	219.43	-186623.59	-24740.57	98.64
38183	19258	58x75	1628.77	1730.73	-186531.23	-25149.27	26.89
38183	19258	58x75	1616.29	1360.95	-186543.71	-25519.05	-12.45
38183	19258	58x75	1608.39	987.93	-186551.61	-25892.07	33.99
38183	19258	58x75	1626.18	637.71	-186533.82	-26242.29	93.55
38183	19002	58x74	1464.4	432.92	-186695.6	-28367.08	116.48
38183	19002	58x74	1483.8	79.36	-186676.2	-28720.64	79.08
38183	18746	58x73	1504.56	1522.89	-186655.44	-29197.11	11.41
38183	18746	58x73	1548.76	1119.67	-186611.24	-29600.33	40.92
38183	18746	58x73	1566.69	753.47	-186593.31	-29966.53	72.6
38183	19002	58x74	1142.29	151.84	-187017.71	-28648.16	84.68
38183	18746	58x73	1117.86	1735.69	-187042.14	-28984.31	56.09
38183	18746	58x73	1127.28	1459.29	-187032.72	-29260.71	24.74
38183	18746	58x73	1158.66	1028.99	-187001.34	-29691.01	53.32
38183	18746	58x73	1144.96	678.94	-187015.04	-30041.06	104.51
38183	18746	58x73	716.81	1867.75	-187443.19	-28852.25	80.02
38183	18746	58x73	707.03	1536.68	-187452.97	-29183.32	59.91
38183	18746	58x73	685.62	1149.57	-187474.38	-29570.43	76.46
38183	18746	58x73	739.22	749.28	-187420.78	-29970.72	118.48
38183	18746	58x73	748.02	518.35	-187411.98	-30201.65	157.53
38183	18746	58x73	274.49	1862.41	-187885.51	-28857.59	115.22
38183	18746	58x73	240.25	1420.97	-187919.75	-29299.03	70.24
38183	18746	58x73	271.41	930.32	-187888.59	-29789.68	118.83
38183	18746	58x73	323.72	543.34	-187836.28	-30176.66	148.42
38183	18746	58x73	325.0	412.08	-187835.0	-30307.92	168.77
38183	18746	58x73	4.57	360.03	-188155.43	-30359.97	180.34
38183	18745	57x73	1344.3	395.86	-188735.7	-30324.14	217.34
38183	18745	57x73	1615.8	343.7	-188464.2	-30376.3	193.08
38183	18745	57x73	1041.95	331.41	-189038.05	-30388.59	288.64
38183	18745	57x73	1834.28	707.97	-188245.72	-30012.03	163.3
38183	18745	57x73	1807.11	1111.85	-188272.89	-29608.15	122.4
38183	18745	57x73	1796.41	1482.82	-188283.59	-29237.18	89.87
38183	18745	57x73	1777.86	1895.77	-188302.14	-28824.23	134.82
38183	18745	57x73	1422.43	785.61	-188657.57	-29934.39	192.31
38183	18745	57x73	1362.56	1164.08	-188717.44	-29555.92	172.62
38183	18745	57x73	1309.34	1600.87	-188770.66	-29119.13	141.06
38183	19001	57x74	1322.97	83.57	-188757.03	-28716.43	126.84
38183	18745	57x73	1015.5	708.95	-189064.5	-30011.05	212.37
38183	18745	57x73	898.7	1170.98	-189181.3	-29549.02	199.01
38183	18745	57x73	922.7	1584.35	-189157.3	-29135.65	187.25
38183	19001	57x74	925.6	99.85	-189154.4	-28700.15	187.32
38183	19001	57x74	1685.8	466.1	-188394.2	-28333.9	162.86
38183	19001	57x74	1211.78	494.34	-188868.22	-28305.66	147.46
38183	19001	57x74	795.31	542.75	-189284.69	-28257.25	204.17
38183	19001	57x74	1508.1	887.68	-188571.9	-27912.32	226.36
38183	19001	57x74	1211.29	880.63	-188868.71	-27919.37	186.46
38183	19001	57x74	583.96	901.04	-189496.04	-27898.96	248.21
38183	19001	57x74	225.5	790.38	-189854.5	-28009.62	337.76
38183	19001	57x74	420.78	413.19	-189659.22	-28386.81	280.46
38183	18745	57x73	518.32	1789.59	-189561.68	-28930.41	238.05
38183	18745	57x73	599.95	1420.77	-189480.05	-29299.23	221.2
38183	18745	57x73	1121.85	1009.63	-188958.15	-29710.37	188.57
38183	19257	57x75	700.08	841.59	-189379.92	-26038.41	242.28
38183	19257	57x75	643.73	1256.87	-189436.27	-25623.13	234.98
38183	19257	57x75	524.12	1640.46	-189555.88	-25239.54	274.16
38183	19513	57x76	593.2	20.86	-189486.8	-24939.14	266.72
38183	19513	57x76	680.79	454.97	-189399.21	-24505.03	279.09
38183	19513	57x76	752.79	771.54	-189327.21	-24188.46	312.47
38183	19513	57x76	964.73	1158.59	-189115.27	-23801.41	300.2
38183	19513	57x76	1165.08	1416.91	-188914.92	-23543.09	310.44
38183	19513	57x76	1532.96	1267.79	-188547.04	-23692.21	246.35
38183	19513	57x76	1528.1	865.41	-188551.9	-24094.59	254.89
38183	19513	57x76	1183.04	852.59	-188896.96	-24107.41	246.79
38183	19513	57x76	1141.02	487.09	-188938.98	-24472.91	250.41
38183	19513	57x76	1456.19	384.13	-188623.81	-24575.87	238.29
38183	19513	57x76	1058.56	112.49	-189021.44	-24847.51	221.84
38183	19257	57x75	1434.56	1818.18	-188645.44	-25061.82	203.06
38183	19257	57x75	969.57	1631.47	-189110.43	-25248.53	220.82
38183	19257	57x75	1316.05	1499.86	-188763.95	-25380.14	190.79
38183	19257	57x75	1014.19	1196.84	-189065.81	-25683.16	212.08
38183	19257	57x75	1445.18	1059.83	-188634.82	-25820.17	175.17
38183	19257	57x75	1146.7	800.87	-188933.3	-26079.13	199.37
38183	19257	57x75	1636.72	657.23	-188443.28	-26222.77	144.5
38183	19257	57x75	1887.43	1018.77	-188192.57	-25861.23	119.17
38183	19257	57x75	1862.44	1411.93	-188217.56	-25468.07	135.91
38183	19257	57x75	1882.37	1743.13	-188197.63	-25136.87	134.65
38183	19514	58x76	168.04	174.37	-187991.96	-24785.63	173.25
38183	19258	58x75	514.51	1638.9	-187645.49	-25241.1	87.87
38183	19258	58x75	354.88	1210.02	-187805.12	-25669.98	74.75
38183	19258	58x75	345.18	804.41	-187814.82	-26075.59	139.64
38183	19258	58x75	312.87	448.83	-187847.13	-26431.17	155.32
38183	19258	58x75	791.43	514.08	-187368.57	-26365.92	129.44
38183	19258	58x75	1291.36	494.49	-186868.64	-26385.51	109.4
38183	19258	58x75	1141.95	1038.48	-187018.05	-25841.52	40.96
38183	19258	58x75	678.39	882.75	-187481.61	-25997.25	93.43
38183	19258	58x75	760.29	1244.06	-187399.71	-25635.94	34.48
38183	19258	58x75	1177.37	1507.76	-186982.63	-25372.24	21.71
38183	19258	58x75	1156.15	1905.25	-187003.85	-24974.75	72.52
38183	19514	58x76	1043.6	219.67	-187116.4	-24740.33	108.33
38183	19514	58x76	641.1	74.79	-187518.9	-24885.21	118.65
38183	19258	58x75	208.17	1668.81	-187951.83	-25211.19	118.9
