refid	region	sector	local_x	local_z	world_x	world_z	height
38244	21572	68x84	837.26	499.43	-168122.74	-9100.57	149.71
38244	21572	68x84	1189.2	298.74	-167770.8	-9301.26	151.12
38244	21572	68x84	1417.99	132.67	-167542.01	-9467.33	165.74
38244	21572	68x84	1518.6	383.15	-167441.4	-9216.85	133.71
38244	21572	68x84	1268.46	594.98	-167691.54	-9005.02	106.68
38244	21572	68x84	1661.11	668.91	-167298.89	-8931.09	96.26
38244	21573	69x84	60.83	847.03	-166979.17	-8752.97	76.96
38244	21573	69x84	18.49	447.88	-167021.51	-9152.12	138.71
38244	21572	68x84	1807.53	168.99	-167152.47	-9431.01	149.51
38244	21573	69x84	317.12	83.22	-166722.88	-9516.78	153.11
38244	21317	69x83	725.55	1889.62	-166314.45	-9630.38	144.44
38244	21317	69x83	1076.77	1798.9	-165963.23	-9721.1	146.25
38244	21573	69x84	564.09	351.37	-166475.91	-9248.63	220.56
38244	21573	69x84	932.88	263.89	-166107.12	-9336.11	122.21
38244	21573	69x84	1339.21	161.39	-165700.79	-9438.61	136.08
38244	21573	69x84	453.06	647.99	-166586.94	-8952.01	128.58
38244	21573	69x84	825.39	578.08	-166214.61	-9021.92	146.7
38244	21573	69x84	1135.31	545.79	-165904.69	-9054.21	86.64
38244	21573	69x84	1005.91	887.25	-166034.09	-8712.75	48.53
38244	22084	68x86	1694.89	475.48	-167265.11	-5284.52	69.99
38244	22085	69x86	117.17	458.38	-166922.83	-5301.62	57.05
38244	22085	69x86	504.51	370.65	-166535.49	-5389.35	19.55
38244	22085	69x86	768.02	145.74	-166271.98	-5614.26	19.21
38244	22085	69x86	642.49	822.08	-166397.51	-4937.92	42.9
38244	22085	69x86	932.92	480.43	-166107.08	-5279.57	2.02
38244	22085	69x86	1289.35	267.18	-165750.65	-5492.82	154.58
38244	21829	69x85	1137.34	1798.93	-165902.66	-5881.07	-3.39
38244	21829	69x85	772.01	1647.91	-166267.99	-6032.09	9.97
38244	21829	69x85	1225.34	1434.33	-165814.66	-6245.67	-10.76
38244	21829	69x85	1524.95	1767.65	-165515.05	-5912.35	-29.72
38244	21829	69x85	14.47	1727.85	-167025.53	-5952.15	96.87
38244	21828	68x85	1526.08	1830.22	-167433.92	-5849.78	124.16
38244	21829	69x85	396.38	1839.43	-166643.62	-5840.57	6.42
38244	22085	69x86	1233.79	842.82	-165806.21	-4917.18	21.59
38244	22085	69x86	1631.63	651.38	-165408.37	-5108.62	-26.47
38244	22086	70x86	1.72	350.85	-165118.28	-5409.15	-53.9
38244	21830	70x85	86.14	1760.83	-165033.86	-5919.17	-51.22
38244	22086	70x86	136.74	954.1	-164983.26	-4805.9	0.99
38244	22086	70x86	445.36	491.05	-164674.64	-5268.95	-25.99
38244	21830	70x85	493.26	1918.8	-164626.74	-5761.2	-53.43
38244	22086	70x86	789.46	473.5	-164330.54	-5286.5	-20.47
38244	21830	70x85	884.09	1850.54	-164235.91	-5829.46	-35.45
38244	21830	70x85	648.27	1511.43	-164471.73	-6168.57	-24.69
38244	21830	70x85	63.58	1360.81	-165056.42	-6319.19	-33.71
38244	21829	69x85	1624.31	1262.61	-165415.69	-6417.39	-45.91
38244	21829	69x85	1445.31	841.01	-165594.69	-6838.99	-47.37
38244	21829	69x85	661.97	739.44	-166378.03	-6940.56	13.1
38244	21829	69x85	927.71	439.83	-166112.29	-7240.17	152.14
38244	21829	69x85	295.31	760.19	-166744.69	-6919.81	-4.59
38244	21829	69x85	771.83	60.32	-166268.17	-7619.68	148.71
38244	21572	68x84	1767.93	1751.78	-167192.07	-7848.22	20.44
38244	21828	68x85	1571.73	562.78	-167388.27	-7117.22	9.07
38245	21321	73x83	379.94	340.58	-158980.06	-11179.42	46.11
38245	21065	73x82	668.48	1897.2	-158691.52	-11542.8	15.61
38245	21064	72x82	1518.15	1432.18	-159761.85	-12007.82	12.82
38245	21060	68x82	815.65	784.08	-168144.35	-12655.92	125.02
38245	21060	68x82	434.73	996.16	-168525.27	-12443.84	67.35
38245	21060	68x82	1075.08	573.58	-167884.92	-12866.42	125.18
38245	21060	68x82	1345.29	969.99	-167614.71	-12470.01	53.47
38245	21060	68x82	1446.74	1340.57	-167513.26	-12099.43	26.16
38245	21060	68x82	1802.37	1406.3	-167157.63	-12033.7	26.38
38245	21060	68x82	1778.64	868.6	-167181.36	-12571.4	65.02
38245	21061	69x82	314.79	1101.1	-166725.21	-12338.9	64.41
38245	21061	69x82	233.64	1498.84	-166806.36	-11941.16	53.75
38245	21061	69x82	737.29	1167.24	-166302.71	-12272.76	44.65
38245	21061	69x82	731.02	820.36	-166308.98	-12619.64	80.7
38245	21061	69x82	763.13	464.89	-166276.87	-12975.11	133.93
38245	21061	69x82	1141.52	1360.72	-165898.48	-12079.28	39.33
38245	21061	69x82	1164.65	983.35	-165875.35	-12456.65	40.53
38245	21061	69x82	1165.38	547.92	-165874.62	-12892.08	80.46
38245	21061	69x82	1549.3	833.23	-165490.7	-12606.77	80.54
38245	21061	69x82	1598.22	498.18	-165441.78	-12941.82	119.2
38245	21062	70x82	169.05	620.6	-164950.95	-12819.4	121.36
38245	21062	70x82	124.13	1101.86	-164995.87	-12338.14	4.16
38245	21062	70x82	514.56	1357.63	-164605.44	-12082.37	22.89
38245	21062	70x82	835.61	1175.81	-164284.39	-12264.19	25.95
38245	21062	70x82	574.11	854.37	-164545.89	-12585.63	59.1
38245	21062	70x82	1197.37	754.53	-163922.63	-12685.47	59.58
38245	21062	70x82	1305.27	1218.04	-163814.73	-12221.96	46.07
38245	21062	70x82	1606.49	863.74	-163513.51	-12576.26	53.76
38245	21063	71x82	52.02	556.53	-163147.98	-12883.47	76.74
38245	21063	71x82	559.73	720.48	-162640.27	-12719.52	71.5
38245	21063	71x82	1368.91	634.9	-161831.09	-12805.1	124.33
38245	21063	71x82	1030.97	819.07	-162169.03	-12620.93	56.64
38245	21063	71x82	1395.8	1212.28	-161804.2	-12227.72	29.02
38245	21063	71x82	940.12	1239.17	-162259.88	-12200.83	26.14
38245	21061	69x82	695.65	1652.15	-166344.35	-11787.85	67.34
38245	21060	68x82	246.4	812.35	-168713.6	-12627.65	94.64
38245	21063	71x82	1176.79	999.14	-162023.21	-12440.86	43.05
38245	21063	71x82	1439.54	1856.91	-161760.46	-11583.09	61.84
38245	21319	71x83	1288.79	263.53	-161911.21	-11256.47	71.21
