refid	region	sector	local_x	local_z	world_x	world_z	height
38251	-32752	16x-128	-3858.35	1542.87	-272658.35	-415097.13	-47.15
38251	-32752	16x-128	-4158.48	1285.09	-272958.48	-415354.91	-47.15
38251	-32752	16x-128	-4163.99	1589.46	-272963.99	-415050.54	-53.75
38251	-32752	16x-128	-3890.45	1268.58	-272690.45	-415371.42	-47.15
38250	22325	53x87	1343.0	1231.62	-196417.0	-2608.38	779.59
38250	22325	53x87	1286.4	770.66	-196473.6	-3069.34	755.91
38250	22325	53x87	1199.36	385.68	-196560.64	-3454.32	728.61
38250	22069	53x86	1231.98	1814.42	-196528.02	-3945.58	758.44
38250	22069	53x86	1056.04	1406.7	-196703.96	-4353.3	748.01
38250	22325	53x87	326.28	820.27	-197433.72	-3019.73	804.12
38250	22324	52x87	1840.2	1004.14	-197839.8	-2835.86	796.01
38250	22324	52x87	1546.4	725.42	-198133.6	-3114.58	790.98
38250	22324	52x87	1310.32	394.49	-198369.68	-3445.51	771.8
38250	22325	53x87	18.7	520.48	-197741.3	-3319.52	795.03
38250	22324	52x87	1673.8	180.29	-198006.2	-3659.71	780.72
38250	22325	53x87	115.26	51.32	-197644.74	-3788.68	778.15
38250	22068	52x86	1330.66	1807.02	-198349.34	-3952.98	743.09
38250	22068	52x86	1757.39	1677.89	-197922.61	-4082.11	747.92
38250	22068	52x86	1884.75	1366.36	-197795.25	-4393.64	726.71
38250	22068	52x86	1460.58	1288.23	-198219.42	-4471.77	726.02
38250	22068	52x86	1660.37	1020.39	-198019.63	-4739.61	714.36
38250	22068	52x86	1305.4	890.4	-198374.6	-4869.6	709.67
38250	22068	52x86	1515.74	686.89	-198164.26	-5073.11	692.76
38250	22068	52x86	1215.12	518.62	-198464.88	-5241.38	682.77
38250	22068	52x86	1123.78	231.56	-198556.22	-5528.44	657.01
