refid	region	sector	local_x	local_z	world_x	world_z	height
38227	21313	65x83	1019.49	680.41	-173700.51	-10839.59	459.94
38227	21313	65x83	1355.93	690.41	-173364.07	-10829.59	479.49
38227	21313	65x83	1193.41	379.19	-173526.59	-11140.81	421.99
38227	21313	65x83	1089.87	76.13	-173630.13	-11443.87	394.42
38227	21313	65x83	1411.19	20.09	-173308.81	-11499.91	358.44
38227	21057	65x82	1215.16	1634.64	-173504.84	-11805.36	336.07
38227	21057	65x82	1598.95	1638.15	-173121.05	-11801.85	300.85
38227	21057	65x82	1794.51	1868.41	-172925.49	-11571.59	324.58
38227	21058	66x82	458.95	733.11	-172341.05	-12706.89	263.24
38227	21057	65x82	1448.19	1408.34	-173271.81	-12031.66	298.6
38227	21057	65x82	1207.41	1152.89	-173512.59	-12287.11	313.09
38227	21058	66x82	1259.26	557.18	-171540.74	-12882.82	203.1
38227	21058	66x82	1598.6	596.97	-171201.4	-12843.03	228.33
38227	21059	67x82	131.98	622.64	-170748.02	-12817.36	116.61
38227	21059	67x82	397.49	850.95	-170482.51	-12589.05	93.45
38227	21059	67x82	674.8	1274.0	-170205.2	-12166.0	80.53
38227	21059	67x82	42.69	1045.42	-170837.31	-12394.58	82.36
38227	21058	66x82	1607.48	1002.6	-171192.52	-12437.4	128.31
38227	21058	66x82	1107.97	1000.49	-171692.03	-12439.51	152.54
38227	21828	68x85	1115.74	1746.22	-167844.26	-5933.78	96.92
38227	21828	68x85	1474.97	1731.44	-167485.03	-5948.56	153.12
38227	21828	68x85	1824.33	1694.13	-167135.67	-5985.87	144.29
38227	22084	68x86	380.64	306.77	-168579.36	-5453.23	79.47
38227	22084	68x86	743.87	80.59	-168216.13	-5679.41	60.25
38227	21828	68x85	575.08	1646.54	-168384.92	-6033.46	50.6
38227	21828	68x85	1405.43	957.49	-167554.57	-6722.51	60.66
38227	21828	68x85	1805.31	873.38	-167154.69	-6806.62	50.42
38227	21829	69x85	235.6	778.88	-166804.4	-6901.12	-7.92
38227	21829	69x85	625.09	736.63	-166414.91	-6943.37	12.39
38227	21828	68x85	1528.29	574.9	-167431.71	-7105.1	10.52
38227	21829	69x85	55.26	457.39	-166984.74	-7222.61	-20.69
38227	21829	69x85	464.65	390.97	-166575.35	-7289.03	1.19
38227	21828	68x85	1635.26	181.89	-167324.74	-7498.11	16.74
38227	21829	69x85	251.9	44.87	-166788.1	-7635.13	-9.27
38227	21572	68x84	1728.86	1751.73	-167231.14	-7848.27	27.27
38227	21829	69x85	844.6	488.76	-166195.4	-7191.24	141.55
38227	21829	69x85	691.3	51.2	-166348.7	-7628.8	78.91
38227	21573	69x84	205.52	1599.87	-166834.48	-8000.13	13.7
38227	21573	69x84	646.21	1596.12	-166393.79	-8003.88	54.44
38227	21315	67x83	22.74	318.27	-170857.26	-11201.73	340.97
38227	21315	67x83	249.97	519.27	-170630.03	-11000.73	319.7
38227	21315	67x83	545.92	767.56	-170334.08	-10752.44	294.49
38227	21315	67x83	551.91	477.68	-170328.09	-11042.32	249.11
38227	21315	67x83	1680.22	1107.05	-169199.78	-10412.95	214.26
38227	21315	67x83	1536.05	818.7	-169343.95	-10701.3	214.41
38227	21315	67x83	1388.14	590.5	-169491.86	-10929.5	217.72
38227	21315	67x83	1354.35	1069.38	-169525.65	-10450.62	213.94
38227	21315	67x83	415.58	58.36	-170464.42	-11461.64	177.46
38227	21058	66x82	1852.71	1740.47	-170947.29	-11699.53	169.9
38227	21828	68x85	1027.57	559.58	-167932.43	-7120.42	42.96
38227	21828	68x85	1155.74	143.21	-167804.26	-7536.79	78.65
38227	21572	68x84	1216.79	1735.84	-167743.21	-7864.16	142.47
38227	21572	68x84	1340.99	1371.59	-167619.01	-8228.41	74.54
38227	21058	66x82	198.69	1502.83	-172601.31	-11937.17	238.7
38227	21313	65x83	954.82	1319.59	-173765.18	-10200.41	482.63
38227	21313	65x83	719.64	1703.47	-174000.36	-9816.53	477.27
38227	21313	65x83	1341.85	1283.78	-173378.15	-10236.22	545.32
38227	21313	65x83	671.42	1216.87	-174048.58	-10303.13	478.31
38227	21569	65x84	634.2	195.45	-174085.8	-9404.55	467.49
38224	29631	191x115	1286.8	229.82	68486.8	50149.82	819.37
38225	31423	191x122	1286.69	236.31	68486.69	63596.31	820.68
38226	31410	178x122	1284.8	230.22	43524.8	63590.22	846.02
