refid	region	sector	local_x	local_z	world_x	world_z	height
38223	22081	65x86	1501.75	1316.73	-173218.25	-4443.27	183.47
38223	22082	66x86	446.46	821.8	-172353.54	-4938.2	194.08
38223	22337	65x87	1665.25	806.88	-173054.75	-3033.12	200.73
38223	22337	65x87	1895.52	160.62	-172824.48	-3679.38	159.09
38223	22339	67x87	1405.29	620.28	-169474.71	-3219.72	56.65
38223	22339	67x87	996.57	665.2	-169883.43	-3174.8	44.42
38223	22337	65x87	1800.06	1401.88	-172919.94	-2438.12	242.31
38223	22337	65x87	1487.03	1290.42	-173232.97	-2549.58	334.43
38223	22082	66x86	120.24	1222.09	-172679.76	-4537.91	147.91
38223	22081	65x86	1661.59	515.31	-173058.41	-5244.69	207.05
38223	21827	67x85	701.79	1500.89	-170178.21	-6179.11	45.74
38223	21827	67x85	927.47	1183.91	-169952.53	-6496.09	26.15
38223	21827	67x85	1049.84	745.6	-169830.16	-6934.4	6.6
38223	21827	67x85	293.86	1185.15	-170586.14	-6494.85	139.96
38223	21827	67x85	540.39	880.46	-170339.61	-6799.54	57.35
38223	21827	67x85	735.43	398.55	-170144.57	-7281.45	35.27
38223	21827	67x85	1206.82	219.32	-169673.18	-7460.68	29.97
38223	21827	67x85	821.93	79.93	-170058.07	-7600.07	25.27
38223	21827	67x85	207.92	454.38	-170672.08	-7225.62	56.94
38223	21826	66x85	1888.85	832.08	-170911.15	-6847.92	128.15
38223	21826	66x85	1288.71	640.55	-171511.29	-7039.45	143.49
38223	21826	66x85	1631.74	385.37	-171168.26	-7294.63	83.15
38223	21571	67x84	272.1	1912.53	-170607.9	-7687.47	68.6
38223	21571	67x84	1179.22	1635.18	-169700.78	-7964.82	86.96
38223	21571	67x84	782.11	1484.19	-170097.89	-8115.81	62.84
38223	21571	67x84	1150.52	1240.25	-169729.48	-8359.75	159.69
38223	21571	67x84	309.85	1348.14	-170570.15	-8251.86	78.54
38223	21571	67x84	715.35	1132.68	-170164.65	-8467.32	107.74
38223	21570	66x84	1843.88	307.44	-170956.12	-9292.56	277.53
38223	21570	66x84	1549.76	69.18	-171250.24	-9530.82	300.47
38223	21570	66x84	1073.03	128.62	-171726.97	-9471.38	273.09
38223	21570	66x84	1383.58	448.91	-171416.42	-9151.09	251.07
38223	21570	66x84	911.97	613.59	-171888.03	-8986.41	223.49
38223	21570	66x84	528.42	889.73	-172271.58	-8710.27	199.79
38223	21570	66x84	1315.78	1207.98	-171484.22	-8392.02	132.02
38223	21826	66x85	1093.73	83.85	-171706.27	-7596.15	97.45
38223	21826	66x85	605.69	65.16	-172194.31	-7614.84	143.76
38223	21826	66x85	445.42	392.97	-172354.58	-7287.03	146.33
38223	21826	66x85	247.95	23.1	-172552.05	-7656.9	132.87
38223	21570	66x84	117.66	1082.59	-172682.34	-8517.41	187.55
38223	21570	66x84	1121.1	1258.16	-171678.9	-8341.84	126.99
38223	21571	67x84	1541.71	1564.92	-169338.29	-8035.08	141.03
38223	21571	67x84	1819.98	1380.47	-169060.02	-8219.53	146.08
38223	21570	66x84	530.68	384.78	-172269.32	-9215.22	294.3
38223	21827	67x85	1611.55	591.86	-169268.45	-7088.14	17.73
38223	21571	67x84	1894.26	1915.34	-168985.74	-7684.66	75.19
38223	21059	67x82	1454.65	1451.88	-169425.35	-11988.12	111.1
38223	21059	67x82	1414.87	788.87	-169465.13	-12651.13	94.97
38223	21059	67x82	1082.67	1437.26	-169797.33	-12002.74	88.49
38223	21059	67x82	1072.35	1103.04	-169807.65	-12336.96	68.58
38223	21059	67x82	912.84	771.63	-169967.16	-12668.37	144.68
38223	21059	67x82	680.06	1291.53	-170199.94	-12148.47	81
38223	21057	65x82	1842.04	779.92	-172877.96	-12660.08	273.9
38223	21058	66x82	246.11	1037.95	-172553.89	-12402.05	248.72
38223	21058	66x82	434.04	752.36	-172365.96	-12687.64	264.53
38223	21314	66x83	1419.7	43.66	-171380.3	-11476.34	279.78
38223	21058	66x82	1063.1	1881.97	-171736.9	-11558.03	320.94
38223	21826	66x85	906.74	685.66	-171893.26	-6994.34	131.1
38223	21825	65x85	1905.22	369.5	-172814.78	-7310.5	189.52
38223	21572	68x84	240.78	1183.97	-168719.22	-8416.03	120.13
38223	21572	68x84	373.58	1487.14	-168586.42	-8112.86	67.43
38223	21828	68x85	213.0	375.94	-168747.0	-7304.06	89.57
38223	21827	67x85	1534.06	1042.16	-169345.94	-6637.84	-1.93
38223	21827	67x85	1438.42	1455.55	-169441.58	-6224.45	44.15
38223	21827	67x85	1770.27	1268.89	-169109.73	-6411.11	38.73
38223	21828	68x85	273.2	892.46	-168686.8	-6787.54	55.8
38223	22083	67x86	1276.2	33.59	-169603.8	-5726.41	56.47
38222	19003	59x74	339.99	261.34	-185900.01	-28538.66	87.54
38222	18747	59x73	357.95	1822.3	-185882.05	-28897.7	25.73
38222	18747	59x73	408.9	1490.35	-185831.1	-29229.65	-18.24
38222	18747	59x73	514.41	1073.54	-185725.59	-29646.46	31.43
38222	18747	59x73	745.06	777.63	-185494.94	-29942.37	51.53
38222	18747	59x73	1077.8	688.17	-185162.2	-30031.83	33.03
