refid	region	sector	local_x	local_z	world_x	world_z	height
38240	-32752	16x-128	472.95	2975.16	-268327.05	-413664.84	55.99
38240	-32752	16x-128	458.78	3344.76	-268341.22	-413295.24	56
38240	-32752	16x-128	460.16	3636.19	-268339.84	-413003.81	56
38240	-32752	16x-128	502.27	3919.41	-268297.73	-412720.59	55.99
38240	-32752	16x-128	228.97	3144.98	-268571.03	-413495.02	56
38240	-32752	16x-128	233.33	3464.77	-268566.67	-413175.23	56.03
38240	-32752	16x-128	232.92	3739.15	-268567.08	-412900.85	56
38240	-32752	16x-128	-42.3	3227.92	-268842.3	-413412.08	56.01
38240	-32752	16x-128	-35.33	3709.16	-268835.33	-412930.84	56.02
38241	-32757	11x-128	-4973.0	3473.01	-283373.0	-413166.99	70.91
38241	-32757	11x-128	-4204.37	3216.12	-282604.37	-413423.88	58.13
38241	-32757	11x-128	-4179.88	3736.75	-282579.88	-412903.25	58.13
