refid	region	sector	local_x	local_z	world_x	world_z	height
38257	19530	74x76	375.09	1027.81	-157064.91	-23932.19	146.89
38257	19529	73x76	1689.95	1045.79	-157670.05	-23914.21	136.61
38257	19529	73x76	817.85	1039.56	-158542.15	-23920.44	95.71
38257	19529	73x76	273.4	1033.12	-159086.6	-23926.88	52.31
38257	19528	72x76	1716.65	992.27	-159563.35	-23967.73	51.73
38257	19528	72x76	1153.5	896.93	-160126.5	-24063.07	51.21
38257	19528	72x76	1325.14	492.42	-159954.86	-24467.58	4.11
38257	19528	72x76	1828.88	511.56	-159451.12	-24448.44	46.06
38257	19529	73x76	488.05	560.13	-158871.95	-24399.87	15.56
38257	19529	73x76	1278.49	473.5	-158081.51	-24486.5	44.53
38257	19529	73x76	1820.96	451.07	-157539.04	-24508.93	49.1
38257	19530	74x76	0.34	7.83	-157439.66	-24952.17	53.9
38257	19273	73x75	1384.98	1890.23	-157975.02	-24989.77	26.83
38257	19273	73x75	801.66	1841.8	-158558.34	-25038.2	9.55
38257	19273	73x75	351.25	1865.7	-159008.75	-25014.3	1.42
38257	19272	72x75	1641.73	1832.71	-159638.27	-25047.29	-31.78
38257	19272	72x75	1254.38	1762.6	-160025.62	-25117.4	-24.9
38257	18760	72x73	1321.3	991.12	-159958.7	-29728.88	10.59
38257	18760	72x73	868.47	964.73	-160411.53	-29755.27	27.07
38257	18760	72x73	938.49	1404.15	-160341.51	-29315.85	1.57
38257	18760	72x73	1761.43	1325.52	-159518.57	-29394.48	18.17
38257	18760	72x73	1862.25	948.15	-159417.75	-29771.85	60.79
38257	18761	73x73	501.66	1042.71	-158858.34	-29677.29	44.15
38257	18761	73x73	1526.54	1111.4	-157833.46	-29608.6	61.45
38257	18761	73x73	1150.57	1270.09	-158209.43	-29449.91	52.63
38257	18761	73x73	1783.44	1388.27	-157576.56	-29331.73	75.84
38257	18762	74x73	268.19	836.48	-157171.81	-29883.52	136.81
38257	18762	74x73	720.27	1051.68	-156719.73	-29668.32	118.32
38257	18762	74x73	446.11	1363.41	-156993.89	-29356.59	91.69
38257	18761	73x73	649.55	1482.21	-158710.45	-29237.79	18.45
38257	18760	72x73	1731.88	1739.84	-159548.12	-28980.16	-21.14
38257	18761	73x73	1321.37	1666.51	-158038.63	-29053.49	39.45
38257	18761	73x73	1776.61	1872.33	-157583.39	-28847.67	40.8
38257	18761	73x73	539.69	1845.2	-158820.31	-28874.8	-3.07
38257	18760	72x73	1336.92	1764.68	-159943.08	-28955.32	-41.94
38254	29889	193x116	492.95	48.71	71532.95	51888.71	809.02
38254	29633	193x115	430.76	1557.18	71470.76	51477.18	823
38254	29633	193x115	0.94	1831.71	71040.94	51751.71	813.99
38254	29633	193x115	937.57	1768.78	71977.57	51688.78	819.5
38255	31425	193x122	421.81	1919.66	71461.81	65279.66	822.52
38255	31425	193x122	582.42	1557.66	71622.42	64917.66	814
38255	31424	192x122	1901.02	1751.16	71021.02	65111.16	758.54
38255	31425	193x122	845.04	1764.6	71885.04	65124.6	830.89
38256	31412	180x122	405.79	1919.24	46485.79	65279.24	783.74
38256	31412	180x122	418.29	1576.78	46498.29	64936.78	779.59
38256	31411	179x122	1910.47	1765.74	46070.47	65125.74	756.86
38256	31412	180x122	888.71	1773.79	46968.71	65133.79	839.22
38257	19017	73x74	1573.47	1801.3	-157786.53	-26998.7	184.03
