refid	region	sector	local_x	local_z	world_x	world_z	height
38168	18753	65x73	1631.62	755.0	-173088.38	-29965.0	-8.98
38168	18754	66x73	150.15	810.14	-172649.85	-29909.86	-3.36
38168	18754	66x73	560.54	815.8	-172239.46	-29904.2	1.73
38168	18754	66x73	975.56	831.15	-171824.44	-29888.85	21.83
38168	18754	66x73	1303.45	828.73	-171496.55	-29891.27	38.9
38168	18754	66x73	1254.24	1222.11	-171545.76	-29497.89	15.35
38168	18754	66x73	884.91	1214.59	-171915.09	-29505.41	-1.14
38168	18754	66x73	380.92	1199.39	-172419.08	-29520.61	-26.77
38168	18753	65x73	1835.33	1141.88	-172884.67	-29578.12	-36.11
38168	18753	65x73	1365.17	1182.01	-173354.83	-29537.99	-73.51
38168	18754	66x73	1132.59	1739.74	-171667.41	-28980.26	-24.03
38168	18754	66x73	711.28	1712.24	-172088.72	-29007.76	-47.31
38168	18753	65x73	1223.65	1895.53	-173496.35	-28824.47	-81.49
38168	19009	65x74	1592.9	125.0	-173127.1	-28675.0	-70.87
38168	19010	66x74	125.91	250.55	-172674.09	-28549.45	-47.36
38168	19010	66x74	587.74	266.77	-172212.26	-28533.23	-42.55
38168	18754	66x73	207.95	1525.69	-172592.05	-29194.31	-60.64
38168	19009	65x74	1144.2	438.26	-173575.8	-28361.74	-88.77
38168	19009	65x74	1488.22	633.05	-173231.78	-28166.95	-25.67
38168	19009	65x74	1877.55	637.71	-172842.45	-28162.29	-43.1
38168	19010	66x74	451.17	703.6	-172348.83	-28096.4	-31.11
38168	19010	66x74	850.13	711.64	-171949.87	-28088.36	-20.12
38168	19010	66x74	1278.65	774.87	-171521.35	-28025.13	-14.53
38168	19010	66x74	1214.59	1119.44	-171585.41	-27680.56	-32.2
38168	19010	66x74	1599.36	1008.28	-171200.64	-27791.72	-31.36
38168	19010	66x74	622.97	1055.58	-172177.03	-27744.42	-37.8
38168	19010	66x74	174.48	1023.67	-172625.52	-27776.33	-41.65
38168	19009	65x74	1490.41	1007.7	-173229.59	-27792.3	-75.4
38168	19009	65x74	1010.12	887.08	-173709.88	-27912.92	-85.65
38168	19265	65x75	1159.65	845.78	-173560.35	-26034.22	-19.41
38168	19265	65x75	1544.36	738.58	-173175.64	-26141.42	-25.7
38168	19266	66x75	8.36	759.51	-172791.64	-26120.49	-22.82
38168	19266	66x75	948.01	709.31	-171851.99	-26170.69	-7.5
38168	19266	66x75	266.39	818.59	-172533.61	-26061.41	-29.37
38168	19266	66x75	1525.32	1018.6	-171274.68	-25861.4	5.99
38168	19266	66x75	1162.54	1337.81	-171637.46	-25542.19	23.38
38168	19266	66x75	894.78	1081.18	-171905.22	-25798.82	-1.7
38168	19266	66x75	507.75	1131.49	-172292.25	-25748.51	-5.55
38168	19266	66x75	112.59	1145.87	-172687.41	-25734.13	-4.06
38168	19265	65x75	1624.13	1097.2	-173095.87	-25782.8	-17.05
38168	19265	65x75	1293.4	1182.9	-173426.6	-25697.1	-32.93
38168	19265	65x75	824.27	1328.49	-173895.73	-25551.51	-21.58
38168	19265	65x75	1158.14	1587.9	-173561.86	-25292.1	0.66
38168	19265	65x75	1581.26	1429.14	-173138.74	-25450.86	-28.52
38168	19266	66x75	70.69	1466.04	-172729.31	-25413.96	-8.4
38168	19266	66x75	387.39	1506.05	-172412.61	-25373.95	10.36
38168	19266	66x75	833.47	1544.53	-171966.53	-25335.47	12.18
38168	19266	66x75	1195.91	1649.25	-171604.09	-25230.75	4.18
38168	19265	65x75	920.94	1912.21	-173799.06	-24967.79	24.7
38168	19521	65x76	1446.56	68.44	-173273.44	-24891.56	17.85
38168	19521	65x76	1794.35	73.16	-172925.65	-24886.84	15.72
38168	19522	66x76	333.24	272.82	-172466.76	-24687.18	23.37
38168	19522	66x76	769.66	276.54	-172030.34	-24683.46	28.26
38168	19522	66x76	1246.63	262.4	-171553.37	-24697.6	16.44
38168	19522	66x76	1454.78	734.99	-171345.22	-24225.01	9.74
38168	19522	66x76	1119.82	1024.05	-171680.18	-23935.95	32.49
38168	19522	66x76	689.46	1283.29	-172110.54	-23676.71	78.31
38168	19522	66x76	158.42	1453.04	-172641.58	-23506.96	87.7
38168	19521	65x76	1620.64	1394.42	-173099.36	-23565.58	88.32
38168	19521	65x76	1328.41	1209.04	-173391.59	-23750.96	80.77
38168	19521	65x76	986.39	949.32	-173733.61	-24010.68	75.67
38168	19521	65x76	492.17	719.41	-174227.83	-24240.59	96.46
38168	19521	65x76	900.97	554.63	-173819.03	-24405.37	46.49
38168	19521	65x76	971.87	320.07	-173748.13	-24639.93	47.54
38168	19521	65x76	646.85	1273.02	-174073.15	-23686.98	147.67
38168	19521	65x76	1323.42	667.69	-173396.58	-24292.31	23.53
38168	19521	65x76	1438.9	345.13	-173281.1	-24614.87	21.52
38168	19521	65x76	1725.75	902.6	-172994.25	-24057.4	35.52
38168	19521	65x76	1767.81	534.23	-172952.19	-24425.77	19.61
38168	19522	66x76	94.2	1038.83	-172705.8	-23921.17	34.48
38168	19522	66x76	245.59	722.91	-172554.41	-24237.09	28.67
38168	19522	66x76	630.25	587.24	-172169.75	-24372.76	27.01
38168	19522	66x76	1098.06	554.99	-171701.94	-24405.01	24.54
38168	19522	66x76	508.25	979.58	-172291.75	-23980.42	33.12
38168	19522	66x76	872.69	857.57	-171927.31	-24102.43	27.9
38168	19009	65x74	152.28	942.19	-174567.72	-27857.81	-50.98
38168	19521	65x76	189.52	33.2	-174530.48	-24926.8	25.41
38168	19008	64x74	1818.99	1636.48	-174821.01	-27163.52	-46.44
38168	18753	65x73	478.7	1545.33	-174241.3	-29174.67	-70.5
38168	18753	65x73	781.95	727.82	-173938.05	-29992.18	-65.52
38168	19265	65x75	1167.15	133.97	-173552.85	-26746.03	-52.24
38168	19265	65x75	1506.38	133.9	-173213.62	-26746.1	-50.87
38168	19265	65x75	1791.17	140.8	-172928.83	-26739.2	-54.67
38168	19009	65x74	1126.87	1673.92	-173593.13	-27126.08	-63.28
38168	19009	65x74	1391.03	1659.77	-173328.97	-27140.23	-72.04
38168	19009	65x74	1640.96	1666.53	-173079.04	-27133.47	-71.98
38168	19266	66x75	236.36	140.32	-172563.64	-26739.68	-33.65
38168	19010	66x74	152.89	1655.63	-172647.11	-27144.37	-49.81
38168	19010	66x74	506.7	1843.47	-172293.3	-26956.53	-32.66
38168	19265	65x75	734.12	160.06	-173985.88	-26719.94	-52.86
38168	19009	65x74	734.15	1622.38	-173985.85	-27177.62	-63.93
38168	19266	66x75	1811.71	310.7	-170988.29	-26569.3	14.93
38168	19010	66x74	1841.42	1915.33	-170958.58	-26884.67	16.61
38168	19010	66x74	1797.69	1566.72	-171002.31	-27233.28	6.39
38168	19266	66x75	614.3	487.54	-172185.7	-26392.46	-20.04
38168	19010	66x74	579.13	1439.58	-172220.87	-27360.42	-42.34
38165	29891	195x116	515.87	463.82	75395.87	52303.82	833
38169	29891	195x116	526.33	220.28	75406.33	52060.28	830
38169	29891	195x116	1248.15	220.92	76128.15	52060.92	839
38166	31683	195x123	529.22	451.54	75409.22	65731.54	838
38170	31683	195x123	500.31	100.37	75380.31	65380.37	831
38170	31683	195x123	1317.08	173.78	76197.08	65453.78	831
38167	31670	182x123	482.82	498.13	50402.82	65778.13	834
38171	31670	182x123	501.84	212.15	50421.84	65492.15	828.85
38171	31670	182x123	1249.86	247.32	51169.86	65527.32	822
26931	-32751	17x-128	1121.4	412.96	-265758.6	-416227.04	0.02
26931	-32751	17x-128	1094.96	343.06	-265785.04	-416296.94	0.03
26931	-32751	17x-128	1312.36	384.97	-265567.64	-416255.03	-9.98
26931	-32751	17x-128	1340.85	305.45	-265539.15	-416334.55	-9.98
26931	-32751	17x-128	1486.99	382.6	-265393.01	-416257.4	-9.98
26931	-32751	17x-128	1507.19	325.92	-265372.81	-416314.08	-9.98
