refid	region	sector	local_x	local_z	world_x	world_z	height
38156	-32752	16x-128	-794.36	-2.13	-269594.36	-416642.13	31.66
38156	-32752	16x-128	93.24	-3.98	-268706.76	-416643.98	31.66
38156	-32752	16x-128	-384.91	-14.44	-269184.91	-416654.44	44.22
38156	-32752	16x-128	-389.89	403.59	-269189.89	-416236.41	31.66
38156	-32752	16x-128	-384.85	-446.3	-269184.85	-417086.3	31.66
38154	-32752	16x-128	5392.86	246.39	-263407.14	-416393.61	35.17
38154	-32752	16x-128	5408.34	-0.63	-263391.66	-416640.63	37.33
38154	-32752	16x-128	5413.04	-207.94	-263386.96	-416847.94	35.17
38154	-32752	16x-128	5741.48	242.71	-263058.52	-416397.29	35.17
38154	-32752	16x-128	5742.37	-11.28	-263057.63	-416651.28	37.33
38154	-32752	16x-128	5720.31	-243.55	-263079.69	-416883.55	37.33
38154	-32752	16x-128	5580.5	-108.71	-263219.5	-416748.71	37.33
38154	-32752	16x-128	5574.8	216.05	-263225.2	-416423.95	37.33
38154	-32752	16x-128	5919.87	29.75	-262880.13	-416610.25	37.33
38155	-32752	16x-128	-2796.09	-243.2	-271596.09	-416883.2	57.5
38155	-32752	16x-128	-2570.61	-224.13	-271370.61	-416864.13	57.5
38155	-32752	16x-128	-2306.69	-246.98	-271106.69	-416886.98	57.5
38155	-32752	16x-128	-3030.99	-633.22	-271830.99	-417273.22	57.49
38155	-32752	16x-128	-2798.44	-619.19	-271598.44	-417259.19	57.5
38155	-32752	16x-128	-2541.2	-610.7	-271341.2	-417250.7	57.5
38155	-32752	16x-128	-2339.61	-605.0	-271139.61	-417245.0	57.5
38155	-32752	16x-128	-2109.31	-613.53	-270909.31	-417253.53	57.49
