refid	region	sector	local_x	local_z	world_x	world_z	height
38239	-32752	16x-128	1298.61	3464.44	-267501.39	-413175.56	68.55
38239	-32752	16x-128	1680.06	3456.39	-267119.94	-413183.61	55.99
38239	-32752	16x-128	1311.47	3088.7	-267488.53	-413551.3	55.99
38239	-32752	16x-128	1316.65	3829.24	-267483.35	-412810.76	55.99
38239	-32752	16x-128	1483.89	3626.92	-267316.11	-413013.08	57.96
38239	-32752	16x-128	1486.98	3283.75	-267313.02	-413356.25	57.96
38239	-32752	16x-128	967.8	3445.78	-267832.2	-413194.22	55.99
38236	30144	192x117	1805.59	134.76	70925.59	53894.76	821.24
38236	30145	193x117	83.2	401.0	71123.2	54161.0	815.32
38236	30144	192x117	1562.45	413.31	70682.45	54173.31	815.78
38236	29889	193x116	108.49	1681.43	71148.49	53521.43	820.27
38236	29888	192x116	1619.86	1677.85	70739.86	53517.85	823.14
38237	31936	192x124	1804.68	105.18	70924.68	67305.18	829
38237	31936	192x124	1568.07	307.71	70688.07	67507.71	835.7
38237	31937	193x124	176.13	287.31	71216.13	67487.31	837.74
38237	31680	192x123	1607.93	1746.4	70727.93	67026.4	833.54
38237	31681	193x123	124.69	1781.58	71164.69	67061.58	839.66
38238	31923	179x124	1814.16	96.53	45974.16	67296.53	826.13
38238	31923	179x124	1599.96	297.97	45759.96	67497.97	824.94
38238	31924	180x124	138.63	302.29	46218.63	67502.29	832
38238	31667	179x123	1591.95	1766.67	45751.95	67046.67	823.73
38238	31668	180x123	111.83	1772.4	46191.83	67052.4	824.47
26930	-32751	17x-128	1155.25	56.84	-265724.75	-416583.16	0.06
26930	-32751	17x-128	1120.34	21.91	-265759.66	-416618.09	0.05
26930	-32751	17x-128	1341.55	62.92	-265538.45	-416577.08	-9.98
26930	-32751	17x-128	1313.39	21.47	-265566.61	-416618.53	-9.98
26930	-32751	17x-128	1522.24	73.8	-265357.76	-416566.2	-9.98
26930	-32751	17x-128	1547.73	26.17	-265332.27	-416613.83	0.07
