refid	region	sector	local_x	local_z	world_x	world_z	height
38235	19016	72x74	1450.24	643.47	-159829.76	-28156.53	-22.89
38235	19017	73x74	80.23	490.35	-159279.77	-28309.65	-2.74
38235	19017	73x74	634.11	515.79	-158725.89	-28284.21	18.16
38235	19017	73x74	1167.31	496.99	-158192.69	-28303.01	50.74
38235	19017	73x74	1790.92	459.99	-157569.08	-28340.01	60.94
38235	19018	74x74	425.0	457.13	-157015.0	-28342.87	82.75
38235	19018	74x74	928.49	464.92	-156511.51	-28335.08	114.1
38235	19018	74x74	910.14	62.5	-156529.86	-28737.5	94.67
38235	19018	74x74	380.06	114.75	-157059.94	-28685.25	83.02
38235	19017	73x74	1577.41	130.14	-157782.59	-28669.86	36.11
38235	19017	73x74	919.79	123.5	-158440.21	-28676.5	6.94
38235	19017	73x74	279.11	136.07	-159080.89	-28663.93	-11.83
38235	19016	72x74	1530.42	160.82	-159749.58	-28639.18	-42.74
38235	19016	72x74	967.65	217.6	-160312.35	-28582.4	-38.51
38235	19272	72x75	952.62	923.63	-160327.38	-25956.37	0.68
38235	19272	72x75	1283.83	701.24	-159996.17	-26178.76	7.14
38235	19272	72x75	1471.75	1187.91	-159808.25	-25692.09	-10.61
38235	19272	72x75	1825.11	1518.48	-159454.89	-25361.52	-14.44
38235	19273	73x75	415.94	1578.2	-158944.06	-25301.8	-2.23
38235	19273	73x75	1020.3	1585.66	-158339.7	-25294.34	23.53
38235	19273	73x75	1534.0	1589.18	-157826.0	-25290.82	19.38
38235	19274	74x75	229.76	1603.51	-157210.24	-25276.49	46.82
38235	19274	74x75	1009.66	1873.74	-156430.34	-25006.26	73.62
38235	19274	74x75	633.91	1556.2	-156806.09	-25323.8	45.69
38235	19274	74x75	554.99	1057.22	-156885.01	-25822.78	74.32
38235	19274	74x75	64.61	1105.29	-157375.39	-25774.71	42.12
38235	19273	73x75	1448.96	1089.1	-157911.04	-25790.9	32.66
38235	19273	73x75	839.58	1073.48	-158520.42	-25806.52	29.5
38235	19273	73x75	319.01	1057.42	-159040.99	-25822.58	-4.33
38235	19272	72x75	1907.25	763.36	-159372.75	-26116.64	41.52
38235	19274	74x75	1108.88	771.22	-156331.12	-26108.78	77.01
38235	19274	74x75	799.98	489.65	-156640.02	-26390.35	105.85
38235	19018	74x74	1023.21	1059.18	-156416.79	-27740.82	124.86
38235	19272	72x75	994.47	37.59	-160285.53	-26842.41	12.57
38235	19272	72x75	1422.73	69.94	-159857.27	-26810.06	-2.59
38235	19272	72x75	1776.02	100.01	-159503.98	-26779.99	13.99
38235	19016	72x74	1842.03	1566.96	-159437.97	-27233.04	22.27
38235	19016	72x74	1451.73	1572.98	-159828.27	-27227.02	25.23
38235	19016	72x74	1035.84	1549.09	-160244.16	-27250.91	19.89
38235	19016	72x74	1040.45	1113.45	-160239.55	-27686.55	17.05
38235	19016	72x74	1407.72	1151.11	-159872.28	-27648.89	-3.01
38235	19016	72x74	1877.0	1148.87	-159403.0	-27651.13	13.21
38235	19018	74x74	754.16	1022.69	-156685.84	-27777.31	100.34
38235	19273	73x75	429.93	334.43	-158930.07	-26545.57	46.81
38235	19017	73x74	448.42	1342.39	-158911.58	-27457.61	52.61
38232	30144	192x117	1817.99	1016.95	70937.99	54776.95	842
38233	31936	192x124	1817.01	1007.89	70937.01	68207.89	835
38234	31923	179x124	1804.21	992.15	45964.21	68192.15	846
38235	19017	73x74	1573.47	1801.3	-157786.53	-26998.7	184.03
