refid	region	sector	local_x	local_z	world_x	world_z	height
38247	23094	54x90	1116.38	145.57	-194723.62	2065.57	712.92
38247	22838	54x89	983.58	1763.33	-194856.42	1763.33	702.25
38247	22838	54x89	789.01	1443.03	-195050.99	1443.03	673.45
38247	22838	54x89	587.51	1182.84	-195252.49	1182.84	655.1
38247	22838	54x89	289.18	950.41	-195550.82	950.41	652.57
38247	22837	53x89	1856.37	723.6	-195903.63	723.6	648.01
38247	22838	54x89	193.05	600.66	-195646.95	600.66	645.67
38247	22837	53x89	1666.4	439.46	-196093.6	439.46	659.23
38247	22838	54x89	19.91	275.83	-195820.09	275.83	652.4
38247	22837	53x89	1469.39	136.27	-196290.61	136.27	671.09
38247	22581	53x88	1188.76	1813.7	-196571.24	-106.3	700.26
38247	22581	53x88	1444.83	1477.77	-196315.17	-442.23	686.31
38247	22582	54x88	27.65	1712.21	-195812.35	-207.79	668.06
38247	22581	53x88	1904.79	1324.61	-195855.21	-595.39	675.76
38247	22581	53x88	1427.45	1112.17	-196332.55	-807.83	704.47
38247	22581	53x88	1761.5	969.05	-195998.5	-950.95	685.03
38247	22838	54x89	1400.82	454.17	-194439.18	454.17	665.2
38247	22838	54x89	1259.26	90.65	-194580.74	90.65	664.99
38247	22582	54x88	1175.68	1626.14	-194664.32	-293.86	678.44
38247	22582	54x88	942.03	1206.32	-194897.97	-713.68	687.15
38247	22838	54x89	1846.33	1910.71	-193993.67	1910.71	690.48
38247	22838	54x89	1645.66	1678.81	-194194.34	1678.81	679.33
38247	22838	54x89	918.28	147.25	-194921.72	147.25	667.55
38247	22582	54x88	755.18	966.47	-195084.82	-953.53	669.82
38247	22582	54x88	650.26	753.29	-195189.74	-1166.71	672.59
38247	22582	54x88	529.75	530.08	-195310.25	-1389.92	679.75
38246	22836	52x89	1559.95	342.07	-198120.05	342.07	855.67
38246	22836	52x89	1658.59	45.0	-198021.41	45.0	872.24
38246	22836	52x89	973.56	291.69	-198706.44	291.69	794.02
38246	22580	52x88	770.45	1908.69	-198909.55	-11.31	804.48
38246	22580	52x88	707.59	1575.38	-198972.41	-344.62	772.92
38246	22580	52x88	664.06	1194.86	-199015.94	-725.14	739.21
38246	22580	52x88	1162.62	1590.37	-198517.38	-329.63	828.31
38246	22580	52x88	987.73	1261.96	-198692.27	-658.04	792.12
38246	22580	52x88	1645.75	1497.72	-198034.25	-422.28	865.98
38246	22580	52x88	1731.84	1153.31	-197948.16	-766.69	835.35
38246	22580	52x88	1808.89	773.67	-197871.11	-1146.33	807.74
38246	22580	52x88	1381.43	1073.98	-198298.57	-846.02	827.58
38246	22580	52x88	1411.22	705.78	-198268.78	-1214.22	813.28
38246	22580	52x88	1018.59	665.84	-198661.41	-1254.16	767.28
38246	22580	52x88	1160.41	275.82	-198519.59	-1644.18	778.26
38246	22580	52x88	1504.49	342.36	-198175.51	-1577.64	805.52
38246	22580	52x88	1890.31	379.48	-197789.69	-1540.52	814.79
38246	22324	52x87	1466.72	1876.74	-198213.28	-1963.26	809.52
38246	22324	52x87	1188.94	1749.4	-198491.06	-2090.6	789.18
38246	22324	52x87	122.89	1617.12	-199557.11	-2222.88	672.97
38246	22324	52x87	356.1	1302.27	-199323.9	-2537.73	705.55
38246	22324	52x87	442.99	903.38	-199237.01	-2936.62	723.93
38246	22324	52x87	443.44	555.95	-199236.56	-3284.05	695.22
38246	22324	52x87	3.44	1128.16	-199676.56	-2711.84	659.81
38246	22324	52x87	155.22	1906.09	-199524.78	-1933.91	689.53
38246	22324	52x87	415.81	99.05	-199264.19	-3740.95	663.57
38246	22324	52x87	623.27	192.53	-199056.73	-3647.47	687.07
38246	22067	51x86	1286.53	1845.91	-200313.47	-3914.09	636.21
38246	22067	51x86	1755.32	1680.32	-199844.68	-4079.68	628.92
38246	22067	51x86	1548.64	1401.96	-200051.36	-4358.04	646.84
38246	22068	52x86	65.31	1387.49	-199614.69	-4372.51	642.65
38246	22068	52x86	265.73	1182.62	-199414.27	-4577.38	644.71
38246	22067	51x86	1861.38	996.92	-199738.62	-4763.08	659.75
38246	22068	52x86	180.46	751.54	-199499.54	-5008.46	659.96
38246	22068	52x86	252.88	387.74	-199427.12	-5372.26	654.7
38246	21812	52x85	385.55	1918.18	-199294.45	-5761.82	656.76
38247	22581	53x88	1336.21	621.16	-196423.79	-1298.84	714.86
38247	22581	53x88	1031.03	791.02	-196728.97	-1128.98	711.6
38247	22581	53x88	916.65	463.06	-196843.35	-1456.94	758.68
38247	22581	53x88	778.7	138.41	-196981.3	-1781.59	801.24
38247	22581	53x88	1099.44	202.57	-196660.56	-1717.43	773.66
38247	22325	53x87	869.42	1752.8	-196890.58	-2087.2	796.4
