refid	region	sector	local_x	local_z	world_x	world_z	height
38191	-32752	16x-128	-6353.39	1412.2	-275153.39	-415227.8	44.22
38191	-32752	16x-128	-6787.61	1438.03	-275587.61	-415201.97	31.66
38191	-32752	16x-128	-5920.16	1441.0	-274720.16	-415199.0	31.66
38191	-32752	16x-128	-6532.07	1787.54	-275332.07	-414852.46	23.54
38191	-32752	16x-128	-6213.43	1789.15	-275013.43	-414850.85	28.79
38191	-32752	16x-128	-6180.91	1067.82	-274980.91	-415572.18	23.54
38191	-32752	16x-128	-6552.44	1065.94	-275352.44	-415574.06	23.54
38189	18750	62x73	557.01	1232.13	-179922.99	-29487.87	-203.81
38189	18750	62x73	543.25	902.2	-179936.75	-29817.8	-243.98
38189	18750	62x73	574.05	539.15	-179905.95	-30180.85	-194.95
38189	18750	62x73	1000.58	346.18	-179479.42	-30373.82	-163.65
38189	18750	62x73	918.73	704.61	-179561.27	-30015.39	-236.06
38189	18750	62x73	981.2	1072.73	-179498.8	-29647.27	-190.65
38189	18750	62x73	1409.84	376.38	-179070.16	-30343.62	-152.57
38189	18750	62x73	1364.71	632.34	-179115.29	-30087.66	-215.01
38189	18750	62x73	1334.44	811.37	-179145.56	-29908.63	-207.99
38189	18750	62x73	1801.37	649.82	-178678.63	-30070.18	-187.87
38189	18751	63x73	151.35	690.44	-178408.65	-30029.56	-173.18
38190	18751	63x73	485.3	700.95	-178074.7	-30019.05	-167.19
38190	18751	63x73	1048.87	1366.13	-177511.13	-29353.87	-73.17
38190	18751	63x73	1419.22	1414.31	-177140.78	-29305.69	-78.98
38190	18751	63x73	911.88	964.16	-177648.12	-29755.84	-142.63
38190	18751	63x73	902.25	598.73	-177657.75	-30121.27	-146.01
38190	18751	63x73	1370.58	1088.01	-177189.42	-29631.99	-123.49
38190	18751	63x73	1479.84	593.89	-177080.16	-30126.11	-137.66
38190	18751	63x73	1886.33	1167.7	-176673.67	-29552.3	-80.11
38190	18751	63x73	1870.52	683.42	-176689.48	-30036.58	-155.15
38190	18752	64x73	434.54	836.75	-176205.46	-29883.25	-120.51
38190	18752	64x73	609.9	598.11	-176030.1	-30121.89	-125.31
38190	18752	64x73	1032.9	872.26	-175607.1	-29847.74	-91.9
38190	18752	64x73	1180.72	571.16	-175459.28	-30148.84	-96.82
38190	18752	64x73	1497.85	980.33	-175142.15	-29739.67	-63.21
38190	18752	64x73	1754.51	615.68	-174885.49	-30104.32	-86.9
38190	19265	65x75	158.61	1856.63	-174561.39	-25023.37	17.98
38190	19265	65x75	55.82	1352.11	-174664.18	-25527.89	-9.87
38190	19265	65x75	124.09	950.93	-174595.91	-25929.07	-42.05
38190	19265	65x75	144.33	589.07	-174575.67	-26290.93	-55.45
38190	19265	65x75	156.27	401.76	-174563.73	-26478.24	-53.49
38190	19009	65x74	147.58	1869.14	-174572.42	-26930.86	-43.04
38190	19009	65x74	310.95	1325.0	-174409.05	-27475.0	-27.31
38190	19009	65x74	208.12	859.22	-174511.88	-27940.78	-53.29
38190	19009	65x74	292.29	377.41	-174427.71	-28422.59	-67.75
38190	19009	65x74	265.39	52.26	-174454.61	-28747.74	-35.94
38190	18753	65x73	314.31	1507.84	-174405.69	-29212.16	-48.62
38190	18752	64x73	1865.29	1215.83	-174774.71	-29504.17	-63.75
38190	18753	65x73	192.22	803.32	-174527.78	-29916.68	-102.89
38190	18753	65x73	507.24	1220.17	-174212.76	-29499.83	-87.75
38190	18753	65x73	670.71	662.27	-174049.29	-30057.73	-62.68
38190	19264	64x75	1195.35	1089.54	-175444.65	-25790.46	-37.74
38190	19264	64x75	1225.62	615.13	-175414.38	-26264.87	-70.1
38190	19264	64x75	1304.83	243.17	-175335.17	-26636.83	-36
38190	19008	64x74	1417.83	1720.87	-175222.17	-27079.13	-19.01
38190	19008	64x74	1710.52	1893.13	-174929.48	-26906.87	-35.68
38190	19264	64x75	1696.62	503.87	-174943.38	-26376.13	-55.48
38190	19264	64x75	1704.63	810.85	-174935.37	-26069.15	-62.34
38190	19264	64x75	1671.21	1213.3	-174968.79	-25666.7	-18.76
38190	19264	64x75	1700.83	1596.52	-174939.17	-25283.48	7.13
38190	19264	64x75	685.6	1028.33	-175954.4	-25851.67	-25.8
38190	19264	64x75	753.42	668.0	-175886.58	-26212.0	-68.41
38190	19264	64x75	882.15	126.24	-175757.85	-26753.76	-11.47
38190	19264	64x75	222.63	1059.89	-176417.37	-25820.11	-24.33
38190	19264	64x75	274.87	732.26	-176365.13	-26147.74	-52.11
38190	19264	64x75	441.65	360.33	-176198.35	-26519.67	-26.27
38190	19263	63x75	1357.82	1154.49	-177202.18	-25725.51	-3.61
38190	19263	63x75	1589.3	747.09	-176970.7	-26132.91	-52
38190	19263	63x75	1879.06	302.77	-176680.94	-26577.23	29.48
38190	19263	63x75	1801.28	1091.3	-176758.72	-25788.7	-11.85
38190	19263	63x75	956.77	1246.89	-177603.23	-25633.11	-9.58
38190	19263	63x75	1089.81	882.69	-177470.19	-25997.31	-47.17
38190	19263	63x75	1206.4	534.8	-177353.6	-26345.2	4.55
38190	19263	63x75	498.53	1179.41	-178061.47	-25700.59	-22.22
38190	19263	63x75	531.36	817.87	-178028.64	-26062.13	-50.44
38190	19263	63x75	713.3	308.22	-177846.7	-26571.78	40.06
38190	19262	62x75	1905.11	1426.97	-178574.89	-25453.03	-3.12
38190	19263	63x75	23.42	920.96	-178536.58	-25959.04	-43.26
38190	19263	63x75	215.52	469.88	-178344.48	-26410.12	14.54
38190	19262	62x75	1451.53	1758.54	-179028.47	-25121.46	3.15
38189	19262	62x75	1381.48	1343.75	-179098.52	-25536.25	-21.25
38189	19262	62x75	1496.4	920.05	-178983.6	-25959.95	-34.17
38189	19262	62x75	1619.18	427.53	-178860.82	-26452.47	30.5
38190	19517	61x76	1744.16	717.49	-180655.84	-24242.51	-9.02
38189	19517	61x76	1677.82	234.37	-180722.18	-24725.63	-14.03
38189	19261	61x75	1648.08	1625.39	-180751.92	-25254.61	-69.09
38189	19261	61x75	1619.62	1253.42	-180780.38	-25626.58	-25.65
38189	19261	61x75	1633.67	842.88	-180766.33	-26037.12	-8.78
38189	19518	62x76	341.6	633.54	-180138.4	-24326.46	-2.04
38189	19518	62x76	264.85	411.41	-180215.15	-24548.59	-12.44
38189	19518	62x76	146.55	63.75	-180333.45	-24896.25	-24.06
38189	19262	62x75	163.7	1508.6	-180316.3	-25371.4	-57.61
38189	19262	62x75	233.1	1018.28	-180246.9	-25861.72	-20.84
38189	19262	62x75	216.8	531.19	-180263.2	-26348.81	-2.25
38189	19518	62x76	663.56	217.73	-179816.44	-24742.27	2.51
38189	19262	62x75	578.72	1816.23	-179901.28	-25063.77	-10.57
38189	19262	62x75	525.76	1389.95	-179954.24	-25490.05	-44.44
38189	19262	62x75	580.7	1012.85	-179899.3	-25867.15	-22
38189	19262	62x75	604.0	638.63	-179876.0	-26241.37	-6.03
38189	19262	62x75	1046.79	1860.37	-179433.21	-25019.63	1.96
38189	19262	62x75	1017.89	1620.02	-179462.11	-25259.98	-9.01
38189	19262	62x75	997.55	1207.97	-179482.45	-25672.03	-37.45
38189	19262	62x75	989.71	802.29	-179490.29	-26077.71	-16.98
38189	19262	62x75	965.24	338.46	-179514.76	-26541.54	14.44
38189	19262	62x75	1324.1	403.11	-179155.9	-26476.89	17.51
38190	19008	64x74	1681.97	1180.72	-174958.03	-27619.28	-15.72
38190	19008	64x74	1859.94	1490.7	-174780.06	-27309.3	-35.09
