refid	region	sector	local_x	local_z	world_x	world_z	height
38242	22340	68x87	1105.76	1279.16	-167854.24	-2560.84	151.17
38242	22340	68x87	1047.89	937.58	-167912.11	-2902.42	65.47
38242	22340	68x87	1107.31	579.48	-167852.69	-3260.52	29.49
38242	22340	68x87	1490.6	849.72	-167469.4	-2990.28	24.42
38242	22340	68x87	790.34	837.47	-168169.66	-3002.53	126.53
38242	22340	68x87	1440.62	1205.95	-167519.38	-2634.05	96.57
38242	22341	69x87	58.0	1250.47	-166982.0	-2589.53	84.37
38242	22341	69x87	466.2	1223.68	-166573.8	-2616.32	26.35
38242	22341	69x87	390.97	973.17	-166649.03	-2866.83	-0.9
38242	22341	69x87	411.93	701.93	-166628.07	-3138.07	3.49
38242	22341	69x87	867.77	1162.02	-166172.23	-2677.98	-9.57
38242	22341	69x87	1266.08	594.71	-165773.92	-3245.29	24.03
38242	22343	71x87	1343.41	463.07	-161856.59	-3376.93	-36.3
38242	22341	69x87	1863.8	1191.68	-165176.2	-2648.32	-16.43
38242	22342	70x87	406.36	1190.55	-164713.64	-2649.45	0.3
38242	22342	70x87	888.35	1270.75	-164231.65	-2569.25	38.51
38242	22342	70x87	1278.99	797.04	-163841.01	-3042.96	-18.43
38242	22342	70x87	1396.94	1269.7	-163723.06	-2570.3	2.72
38242	22342	70x87	1705.79	776.2	-163414.21	-3063.8	-34.23
38242	22343	71x87	438.31	1169.61	-162761.69	-2670.39	0.88
38242	22343	71x87	191.52	842.9	-163008.48	-2997.1	-52.73
38242	22343	71x87	452.37	523.52	-162747.63	-3316.48	-70.17
38242	22341	69x87	1021.38	199.47	-166018.62	-3640.53	41.85
38242	22340	68x87	1516.83	391.48	-167443.17	-3448.52	24.57
38242	21831	71x85	268.32	1663.37	-162931.68	-6016.63	65.87
38242	21831	71x85	109.55	1215.47	-163090.45	-6464.53	42.83
38242	21830	70x85	1827.61	818.01	-163292.39	-6861.99	-2.57
38242	21831	71x85	670.36	1666.36	-162529.64	-6013.64	13.2
38242	21831	71x85	559.26	1205.25	-162640.74	-6474.75	16.72
38242	21831	71x85	340.86	809.85	-162859.14	-6870.15	0
38242	21831	71x85	1053.75	1450.23	-162146.25	-6229.77	-30.02
38242	21831	71x85	976.44	1154.22	-162223.56	-6525.78	-26.09
38242	21831	71x85	856.11	827.47	-162343.89	-6852.53	-37.27
38242	21831	71x85	638.56	445.51	-162561.44	-7234.49	-44.09
38242	21831	71x85	250.83	346.53	-162949.17	-7333.47	-28.59
38242	21830	70x85	1789.93	355.01	-163330.07	-7324.99	-39.68
38242	21830	70x85	1501.49	320.01	-163618.51	-7359.99	-56.41
38242	21831	71x85	1179.37	1768.93	-162020.63	-5911.07	-7.67
38242	22087	71x86	1425.43	107.13	-161774.57	-5652.87	1.96
38242	22087	71x86	1645.21	393.91	-161554.79	-5366.09	18.29
38242	21831	71x85	1722.98	1682.94	-161477.02	-5997.06	-56.76
38242	21831	71x85	1473.32	1429.23	-161726.68	-6250.77	-75.97
38242	21831	71x85	1255.86	1040.37	-161944.14	-6639.63	-60.76
38242	22344	72x87	506.34	419.64	-160773.66	-3420.36	42.71
38242	22344	72x87	1118.62	1258.96	-160161.38	-2581.04	36.4
38242	22344	72x87	1684.72	1248.75	-159595.28	-2591.25	38.94
38242	22345	73x87	415.65	721.6	-158944.35	-3118.4	58.38
38242	21065	73x82	480.2	1326.1	-158879.8	-12113.9	41.21
38242	21065	73x82	838.46	1555.19	-158521.54	-11884.81	64.45
38242	21065	73x82	196.55	1828.13	-159163.45	-11611.87	27.34
38242	21064	72x82	1753.24	1855.08	-159526.76	-11584.92	46.35
38242	21064	72x82	1866.89	1459.86	-159413.11	-11980.14	9.67
38242	21065	73x82	268.51	1225.8	-159091.49	-12214.2	30.57
38242	21065	73x82	268.36	835.31	-159091.64	-12604.69	99.14
38242	21064	72x82	1740.72	997.39	-159539.28	-12442.61	33.94
38242	21064	72x82	1329.2	1801.74	-159950.8	-11638.26	32.42
38242	21064	72x82	1238.63	982.22	-160041.37	-12457.78	77.27
38242	21064	72x82	1494.87	708.13	-159785.13	-12731.87	123.04
38242	21065	73x82	81.54	551.74	-159278.46	-12888.26	149.46
38242	21064	72x82	1040.83	1372.12	-160239.17	-12067.88	30.88
38242	21064	72x82	772.64	1798.76	-160507.36	-11641.24	60.27
38242	21064	72x82	462.21	1505.06	-160817.79	-11934.94	27.77
38242	21064	72x82	750.79	1077.13	-160529.21	-12362.87	67.1
38242	21064	72x82	950.07	695.43	-160329.93	-12744.57	122.61
38242	21064	72x82	704.13	602.73	-160575.87	-12837.27	156.05
38242	21064	72x82	335.32	952.54	-160944.68	-12487.46	94.63
38242	21060	68x82	861.91	1241.88	-168098.09	-12198.12	40.42
38242	21060	68x82	1608.79	527.99	-167351.21	-12912.01	130.03
38242	21061	69x82	368.08	524.66	-166671.92	-12915.34	149.82
38242	21061	69x82	1603.63	1179.5	-165436.37	-12260.5	16.35
38243	21323	75x83	1114.8	1271.23	-154405.2	-10248.77	49.38
38243	21323	75x83	1477.98	963.69	-154042.02	-10556.31	64.44
38243	21323	75x83	1347.16	326.68	-154172.84	-11193.32	-5.92
38243	21067	75x82	79.49	1580.3	-155440.51	-11859.7	-54.75
38243	21066	74x82	1605.24	752.91	-155834.76	-12687.09	-67.44
38243	21066	74x82	410.53	626.05	-157029.47	-12813.95	85.99
38243	21066	74x82	822.79	554.91	-156617.21	-12885.09	49.94
38243	21066	74x82	1252.59	889.74	-156187.41	-12550.26	-58.83
38243	21066	74x82	1192.45	562.25	-156247.55	-12877.75	-3.46
38243	21066	74x82	813.64	906.27	-156626.36	-12533.73	-10.25
38243	21835	75x85	1079.14	1689.55	-154440.86	-5990.45	140.37
38243	21835	75x85	1344.14	1339.2	-154175.86	-6340.8	118.83
38243	21835	75x85	1588.89	1695.77	-153931.11	-5984.23	176.08
38243	21835	75x85	785.63	1377.27	-154734.37	-6302.73	52.85
38243	21835	75x85	896.16	488.09	-154623.84	-7191.91	54.19
38243	21835	75x85	1497.17	421.94	-154022.83	-7258.06	120.93
38243	21835	75x85	1167.66	136.87	-154352.34	-7543.13	119.93
38243	21835	75x85	762.29	111.69	-154757.71	-7568.31	20.99
38243	21835	75x85	314.36	234.99	-155205.64	-7445.01	-54.47
38243	21579	75x84	1340.76	1678.26	-154179.24	-7921.74	116.63
38243	21579	75x84	857.5	857.64	-154662.5	-8742.36	110.6
38243	21579	75x84	388.12	854.08	-155131.88	-8745.92	55.78
38243	21579	75x84	64.05	911.49	-155455.95	-8688.51	42.26
38243	21578	74x84	1620.02	951.04	-155819.98	-8648.96	-8.44
38243	22345	73x87	1876.88	1446.62	-157483.12	-2393.38	29.57
38243	22345	73x87	1498.56	1228.32	-157861.44	-2611.68	18.38
38243	22346	74x87	233.92	1294.93	-157206.08	-2545.07	3.13
38243	22345	73x87	1707.51	769.0	-157652.49	-3071.0	-48.19
38243	22346	74x87	661.91	1190.5	-156778.09	-2649.5	10.13
38243	22346	74x87	149.64	540.79	-157290.36	-3299.21	-86.85
38243	22345	73x87	1752.85	287.0	-157607.15	-3553.0	-42.49
38243	22345	73x87	1341.07	434.08	-158018.93	-3405.92	-10.99
38243	22346	74x87	1701.7	1379.08	-155738.3	-2460.92	-19.93
38243	22090	74x86	1570.51	1751.75	-155869.49	-4008.25	-19.77
38243	22346	74x87	1895.74	620.22	-155544.26	-3219.78	-68.51
38243	21323	75x83	140.25	1047.45	-155379.75	-10472.55	46.04
38243	21323	75x83	349.98	179.62	-155170.02	-11340.38	-38.61
38243	21067	75x82	841.92	1576.12	-154678.08	-11863.88	-30.97
38243	21066	74x82	1351.5	1296.85	-156088.5	-12143.15	-19.85
38242	21321	73x83	891.15	576.15	-158468.85	-10943.85	54.73
38242	21321	73x83	1259.72	799.75	-158100.28	-10720.25	72.61
38242	21830	70x85	969.42	431.94	-164150.58	-7248.06	-60.85
38242	21830	70x85	1365.2	836.99	-163754.8	-6843.01	-56.51
38242	21830	70x85	1628.19	1270.92	-163491.81	-6409.08	-23.2
38242	21830	70x85	1777.89	1626.65	-163342.11	-6053.35	9.62
38242	22087	71x86	379.02	174.22	-162820.98	-5585.78	8.94
38242	21830	70x85	1041.15	784.56	-164078.85	-6895.44	-58.44
38243	22091	75x86	640.06	1567.82	-154879.94	-4192.18	40.55
