refid	region	sector	local_x	local_z	world_x	world_z	height
38229	22340	68x87	871.87	1314.15	-168088.13	-2525.85	232.11
38229	22340	68x87	1843.74	995.79	-167116.26	-2844.21	50.7
38229	22340	68x87	1898.21	673.66	-167061.79	-3166.34	12.25
38229	22341	69x87	804.99	910.67	-166235.01	-2929.33	-16.72
38229	22341	69x87	775.56	613.51	-166264.44	-3226.49	-3.35
38229	22341	69x87	1284.87	1275.3	-165755.13	-2564.7	-11.67
38229	22341	69x87	1245.9	961.16	-165794.1	-2878.84	-30.65
38229	22343	71x87	1327.48	1110.09	-161872.52	-2729.91	23.71
38229	22343	71x87	1382.33	833.98	-161817.67	-3006.02	-50.32
38229	22343	71x87	812.35	1042.37	-162387.65	-2797.63	-39.44
38229	22343	71x87	967.23	733.47	-162232.77	-3106.53	-72.6
38229	22343	71x87	848.76	365.82	-162351.24	-3474.18	-85.79
38229	22341	69x87	1753.01	855.72	-165286.99	-2984.28	-24.9
38229	22341	69x87	1703.25	603.6	-165336.75	-3236.4	-21.41
38229	22342	70x87	307.43	835.71	-164812.57	-3004.29	18.71
38229	22342	70x87	803.92	948.18	-164316.08	-2891.82	-8.87
38229	22342	70x87	1822.68	1070.86	-163297.32	-2769.14	-25.62
38229	22343	71x87	531.22	830.1	-162668.78	-3009.9	-57.66
38229	21574	70x84	218.22	1507.88	-164901.78	-8092.12	-63.74
38229	21574	70x84	693.77	1540.58	-164426.23	-8059.42	-37.19
38229	21574	70x84	1108.5	1517.96	-164011.5	-8082.04	-62.95
38229	21574	70x84	1627.49	1453.02	-163492.51	-8146.98	-39.78
38229	21575	71x84	75.69	1467.19	-163124.31	-8132.81	-47.54
38229	21575	71x84	587.66	1452.86	-162612.34	-8147.14	-25.22
38229	21575	71x84	963.5	1429.29	-162236.5	-8170.71	-9.26
38229	21575	71x84	1322.49	1433.64	-161877.51	-8166.36	-1.68
38229	21575	71x84	1712.69	1423.48	-161487.31	-8176.52	18.32
38229	21576	72x84	141.83	1422.11	-161138.17	-8177.89	46.85
38229	21832	72x85	92.34	633.6	-161187.66	-7046.4	-34.96
38229	21831	71x85	1784.37	368.74	-161415.63	-7311.26	-41.29
38229	21831	71x85	1495.06	84.37	-161704.94	-7595.63	-48.62
38229	21575	71x84	1186.03	1801.55	-162013.97	-7798.45	-34.36
38229	21831	71x85	1847.2	52.24	-161352.8	-7627.76	-1.59
38229	21575	71x84	1676.9	1774.41	-161523.1	-7825.59	0.16
38229	21576	72x84	144.01	1815.18	-161135.99	-7784.82	26.94
38229	21832	72x85	249.75	356.19	-161030.25	-7323.81	-4.85
38229	21576	72x84	178.18	1056.03	-161101.82	-8543.97	50
38229	21576	72x84	239.03	569.48	-161040.97	-9030.52	93.96
38229	21576	72x84	219.78	46.38	-161060.22	-9553.62	114.6
38229	21575	71x84	1884.23	298.35	-161315.77	-9301.65	87.62
38229	21575	71x84	1788.88	703.5	-161411.12	-8896.5	62.01
38229	21575	71x84	1724.23	1068.06	-161475.77	-8531.94	33.43
38229	21575	71x84	1390.5	940.14	-161809.5	-8659.86	32.2
38229	21575	71x84	1388.98	544.35	-161811.02	-9055.65	58.1
38229	21575	71x84	1499.36	169.6	-161700.64	-9430.4	72.64
38229	21319	71x83	1699.49	1845.06	-161500.51	-9674.94	92.98
38229	21575	71x84	875.16	917.03	-162324.84	-8682.97	10.51
38229	21575	71x84	908.87	618.41	-162291.13	-8981.59	78.12
38229	21575	71x84	962.17	307.63	-162237.83	-9292.37	94.7
38229	21319	71x83	1197.02	1771.7	-162002.98	-9748.3	89.15
38229	21575	71x84	470.06	1070.45	-162729.94	-8529.55	-8.94
38229	21575	71x84	472.25	688.34	-162727.75	-8911.66	88.53
38229	21575	71x84	482.44	461.99	-162717.56	-9138.01	145.97
38229	21575	71x84	589.06	114.8	-162610.94	-9485.2	174.88
38229	21319	71x83	705.79	1645.84	-162494.21	-9874.16	118.97
38229	21319	71x83	397.93	1290.5	-162802.07	-10229.5	91.93
38229	21319	71x83	100.63	1084.41	-163099.37	-10435.59	96.81
38229	21319	71x83	101.11	1527.58	-163098.89	-9992.42	110.39
38229	21319	71x83	253.68	1662.69	-162946.32	-9857.31	114.7
38229	21575	71x84	133.76	133.54	-163066.24	-9466.46	154.64
38229	21575	71x84	82.68	483.36	-163117.32	-9116.64	98.23
38229	21575	71x84	57.84	750.83	-163142.16	-8849.17	46.25
38229	21574	70x84	1450.59	934.93	-163669.41	-8665.07	8.76
38229	21574	70x84	288.22	993.08	-164831.78	-8606.92	-13.35
38229	21574	70x84	528.07	1016.72	-164591.93	-8583.28	-17.58
38229	21574	70x84	753.83	1075.3	-164366.17	-8524.7	-39.61
38229	21574	70x84	1078.25	1002.49	-164041.75	-8597.51	-14.67
38229	21574	70x84	407.47	542.2	-164712.53	-9057.8	65.96
38229	21574	70x84	958.28	556.25	-164161.72	-9043.75	102.36
38229	21574	70x84	1420.86	546.79	-163699.14	-9053.21	62.97
38229	21574	70x84	508.27	202.2	-164611.73	-9397.8	128.42
38229	21574	70x84	1008.83	202.97	-164111.17	-9397.03	92.64
38229	21574	70x84	1423.31	132.18	-163696.69	-9467.82	61.99
38229	21573	69x84	1733.59	964.66	-165306.41	-8635.34	29.83
38229	21573	69x84	1892.48	469.89	-165147.52	-9130.11	107.11
38229	21318	70x83	116.54	1882.01	-165003.46	-9637.99	143.75
38229	21318	70x83	602.61	1562.83	-164517.39	-9957.17	135.97
