refid	region	sector	local_x	local_z	world_x	world_z	height
38248	19268	68x75	289.41	372.12	-168670.59	-26507.88	-1.3
38248	19268	68x75	674.53	344.76	-168285.47	-26535.24	1.83
38248	19268	68x75	242.12	798.16	-168717.88	-26081.84	2.28
38248	19268	68x75	190.52	1219.83	-168769.48	-25660.17	4.66
38248	19268	68x75	163.88	1548.12	-168796.12	-25331.88	2.38
38248	19268	68x75	94.2	1892.75	-168865.8	-24987.25	10.82
38248	19523	67x76	1739.59	66.49	-169140.41	-24893.51	-2.29
38248	19523	67x76	1429.8	2.34	-169450.2	-24957.66	-1.19
38248	19267	67x75	1134.76	1914.72	-169745.24	-24965.28	-0.36
38248	18755	67x73	968.66	1882.03	-169911.34	-28837.97	-10.74
38248	18755	67x73	1241.18	1877.4	-169638.82	-28842.6	-5.44
38248	18755	67x73	1591.08	1897.88	-169288.92	-28822.12	-6.07
38248	18756	68x73	55.0	1896.92	-168905.0	-28823.08	9.06
38248	19012	68x74	88.98	462.34	-168871.02	-28337.66	2.6
38248	19012	68x74	153.08	846.8	-168806.92	-27953.2	-1.3
38248	19012	68x74	170.95	1211.23	-168789.05	-27588.77	-0.88
38248	19012	68x74	166.18	1596.36	-168793.82	-27203.64	-0.5
38248	19012	68x74	171.48	1892.47	-168788.52	-26907.53	0.23
38248	19268	68x75	225.97	1005.22	-168734.03	-25874.78	0.95
38248	19268	68x75	269.58	555.93	-168690.42	-26324.07	-2.55
38248	19012	68x74	128.29	216.88	-168831.71	-28583.12	-1.05
38248	19012	68x74	180.49	1071.76	-168779.51	-27728.24	2.19
38249	18756	68x73	90.33	972.86	-168869.67	-29747.14	14.52
38249	18756	68x73	56.46	576.59	-168903.54	-30143.41	19.5
38249	18756	68x73	509.9	947.14	-168450.1	-29772.86	14.45
38249	18756	68x73	946.4	895.81	-168013.6	-29824.19	7.62
38249	18756	68x73	1312.01	868.5	-167647.99	-29851.5	-0.46
38249	18756	68x73	1670.28	864.81	-167289.72	-29855.19	-5.53
38249	18757	69x73	235.83	872.3	-166804.17	-29847.7	-8.78
38249	18757	69x73	710.37	872.31	-166329.63	-29847.69	-8.54
38249	18757	69x73	1036.58	864.88	-166003.42	-29855.12	-16.41
38249	18757	69x73	1484.16	804.97	-165555.84	-29915.03	-4.37
38249	18757	69x73	1606.06	411.77	-165433.94	-30308.23	-20.37
38249	18757	69x73	850.3	383.99	-166189.7	-30336.01	1.66
38249	18757	69x73	212.62	384.38	-166827.38	-30335.62	6.5
38249	18756	68x73	1532.25	421.28	-167427.75	-30298.72	2.9
38249	18756	68x73	950.52	432.44	-168009.48	-30287.56	2.93
38249	18756	68x73	508.09	425.45	-168451.91	-30294.55	10.22
38249	18758	70x73	1116.94	469.41	-164003.06	-30250.59	-0.67
38249	18758	70x73	1078.02	995.04	-164041.98	-29724.96	-11.59
38249	18758	70x73	1102.57	1564.28	-164017.43	-29155.72	1.45
38249	18758	70x73	322.84	599.14	-164797.16	-30120.86	-8.68
