refid	region	sector	local_x	local_z	world_x	world_z	height
38163	-32754	14x-128	9612.51	29.83	-263027.49	-416610.17	101.84
38164	-32754	14x-128	9615.51	29.83	-263024.49	-416610.17	101.84
38163	-32754	14x-128	8619.86	258.26	-264020.14	-416381.74	101.82
38164	-32754	14x-128	8651.68	16.25	-263988.32	-416623.75	101.82
38163	-32754	14x-128	8664.79	-230.35	-263975.21	-416870.35	101.82
38163	-32753	15x-128	-131.65	-83.97	-270851.65	-416723.97	-143.74
38164	-32753	15x-128	-8.05	-86.3	-270728.05	-416726.3	-143.73
38163	-32753	15x-128	136.47	-82.16	-270583.53	-416722.16	-143.74
38163	-32753	15x-128	1.76	-86.43	-270718.24	-416726.43	-143.73
38163	-32754	14x-128	9238.84	258.81	-263401.16	-416381.19	93.97
38164	-32754	14x-128	9265.15	-166.7	-263374.85	-416806.7	94.04
