refid	region	sector	local_x	local_z	world_x	world_z	height
38219	23861	53x93	417.03	791.27	-197342.97	8471.27	532.22
38218	23861	53x93	730.53	613.77	-197029.47	8293.77	528.23
38219	23861	53x93	1068.35	495.66	-196691.65	8175.66	527.53
38218	23861	53x93	1409.42	473.25	-196350.58	8153.25	515.62
38219	23861	53x93	1822.14	501.05	-195937.86	8181.05	505.67
38219	23862	54x93	274.85	527.02	-195565.15	8207.02	512.81
38218	23862	54x93	667.26	537.14	-195172.74	8217.14	508.34
38219	23862	54x93	1036.67	506.78	-194803.33	8186.78	505.58
38219	23862	54x93	1578.9	461.68	-194261.1	8141.68	514.4
38218	23862	54x93	1913.98	505.99	-193926.02	8185.99	519.02
38219	23862	54x93	1671.38	206.51	-194168.62	7886.51	559.15
38218	23862	54x93	1263.3	4.78	-194576.7	7684.78	602.82
38218	23862	54x93	829.07	147.76	-195010.93	7827.76	560
38219	23862	54x93	424.56	151.88	-195415.44	7831.88	557.79
38218	23861	53x93	1888.07	154.94	-195871.93	7834.94	555.69
38219	23861	53x93	1490.95	128.35	-196269.05	7808.35	565.78
38218	23861	53x93	910.53	153.2	-196849.47	7833.2	587.15
38219	23861	53x93	493.32	274.82	-197266.68	7954.82	603.91
38218	23861	53x93	224.31	24.08	-197535.69	7704.08	705.55
38219	23605	53x92	89.76	1645.93	-197670.24	7405.93	849.89
38219	23605	53x92	568.45	1770.63	-197191.55	7530.63	697.11
38218	23604	52x92	1777.15	1325.32	-197902.85	7085.32	1048.31
38218	23605	53x92	346.12	1519.27	-197413.88	7279.27	822.69
38218	23606	54x92	284.95	1673.81	-195555.05	7433.81	657.08
38219	23606	54x92	703.81	1670.65	-195136.19	7430.65	639.06
38218	23606	54x92	879.98	1308.71	-194960.02	7068.71	754.69
38219	23606	54x92	313.78	1294.69	-195526.22	7054.69	763.55
38218	23606	54x92	590.59	1030.62	-195249.41	6790.62	826.02
