refid	region	sector	local_x	local_z	world_x	world_z	height
38216	22577	49x88	330.41	1325.16	-205109.59	-594.84	798.57
38216	22577	49x88	570.74	956.27	-204869.26	-963.73	804.61
38216	22577	49x88	976.09	918.87	-204463.91	-1001.13	795.26
38216	22577	49x88	920.24	1313.54	-204519.76	-606.46	782.08
38216	22577	49x88	1356.68	1442.83	-204083.32	-477.17	787.08
38216	22577	49x88	1366.09	1051.48	-204073.91	-868.52	764.61
38216	22577	49x88	1852.73	1127.03	-203587.27	-792.97	720.33
38216	22578	50x88	118.48	757.35	-203401.52	-1162.65	696.13
38216	22578	50x88	362.81	455.55	-203157.19	-1464.45	677.58
38216	22578	50x88	539.53	48.23	-202980.47	-1871.77	646.96
38216	22322	50x87	740.35	1515.7	-202779.65	-2324.3	621.45
38216	22322	50x87	1112.6	1185.6	-202407.4	-2654.4	624.31
38216	22322	50x87	1428.58	895.26	-202091.42	-2944.74	620.76
38216	22322	50x87	1831.13	770.24	-201688.87	-3069.76	625.33
38216	22834	50x89	347.83	474.13	-203172.17	474.13	742.86
38216	22834	50x89	771.22	664.24	-202748.78	664.24	740.64
38216	22834	50x89	952.91	313.28	-202567.09	313.28	768.62
38216	22578	50x88	1203.23	1916.04	-202316.77	-3.96	818.86
38216	22578	50x88	777.06	1804.96	-202742.94	-115.04	745.73
38216	22578	50x88	911.69	1402.05	-202608.31	-517.95	688.4
38216	22578	50x88	1052.56	1057.97	-202467.44	-862.03	662.87
38216	22578	50x88	1310.2	1496.11	-202209.8	-423.89	748.95
38216	22578	50x88	1388.7	873.35	-202131.3	-1046.65	684.98
38216	22323	51x87	314.66	1484.77	-201285.34	-2355.23	625.54
38216	22323	51x87	692.6	1461.07	-200907.4	-2378.93	653.97
38216	22323	51x87	571.29	1837.17	-201028.71	-2002.83	669.18
38216	22579	51x88	930.08	40.58	-200669.92	-1879.42	658.93
38216	22579	51x88	785.98	403.83	-200814.02	-1516.17	647.06
38216	22579	51x88	399.61	435.17	-201200.39	-1484.83	677.44
38216	22579	51x88	193.99	689.69	-201406.01	-1230.31	727.94
38216	22579	51x88	597.75	750.47	-201002.25	-1169.53	659.5
38216	22579	51x88	819.7	1040.61	-200780.3	-879.39	655.23
38216	22579	51x88	361.58	1139.18	-201238.42	-780.82	679.77
38216	22579	51x88	7.63	1287.81	-201592.37	-632.19	731.89
38216	22579	51x88	279.58	1475.5	-201320.42	-444.5	691.81
38216	22579	51x88	51.37	1791.88	-201548.63	-128.12	745.12
38216	22834	50x89	1787.65	116.24	-201732.35	116.24	797.89
38216	22834	50x89	1601.09	450.56	-201918.91	450.56	803.35
38216	22834	50x89	1588.91	781.27	-201931.09	781.27	782.39
38216	22834	50x89	84.3	1297.58	-203435.7	1297.58	741.18
38216	22834	50x89	297.86	1658.82	-203222.14	1658.82	775.21
38216	22834	50x89	629.73	1870.08	-202890.27	1870.08	758.37
38216	23090	50x90	867.58	294.91	-202652.42	2214.91	786.81
38216	23090	50x90	1082.19	637.24	-202437.81	2557.24	817.3
38216	23090	50x90	1376.5	828.85	-202143.5	2748.85	846.64
38216	23090	50x90	1006.87	933.74	-202513.13	2853.74	840.19
38216	23090	50x90	781.19	1235.5	-202738.81	3155.5	867.66
38216	23090	50x90	670.83	1531.82	-202849.17	3451.82	896.87
38216	23090	50x90	465.35	1781.27	-203054.65	3701.27	930.38
38216	23090	50x90	337.89	1463.2	-203182.11	3383.2	896.84
38216	23090	50x90	317.68	1131.37	-203202.32	3051.37	854.63
38216	23090	50x90	98.16	878.93	-203421.84	2798.93	839.41
38216	23090	50x90	54.04	524.54	-203465.96	2444.54	821.98
38216	23089	49x90	1812.73	76.86	-203627.27	1996.86	782.63
38216	22834	50x89	981.96	881.96	-202538.04	881.96	747.11
38217	22834	50x89	1657.44	1899.64	-201862.56	1899.64	796.65
38217	23091	51x90	96.95	175.79	-201503.05	2095.79	816.51
38217	23091	51x90	506.35	332.0	-201093.65	2252.0	889.12
38217	22835	51x89	110.61	1650.96	-201489.39	1650.96	831.28
38217	22835	51x89	447.74	1853.25	-201152.26	1853.25	864.3
38217	23091	51x90	838.13	113.11	-200761.87	2033.11	913.49
38217	22835	51x89	507.64	1470.27	-201092.36	1470.27	830.83
38217	22835	51x89	805.64	1662.76	-200794.36	1662.76	868.01
38217	22835	51x89	1193.76	1861.14	-200406.24	1861.14	894.26
38217	23091	51x90	1304.05	258.2	-200295.95	2178.2	980.65
38217	23091	51x90	1626.3	473.77	-199973.7	2393.77	1043.52
38217	23091	51x90	1911.13	647.8	-199688.87	2567.8	1077.04
38217	23091	51x90	1915.77	932.16	-199684.23	2852.16	1106.91
38217	23091	51x90	1639.41	90.16	-199960.59	2010.16	950.65
38217	23091	51x90	1897.73	293.1	-199702.27	2213.1	1003.73
38217	23092	52x90	278.67	405.3	-199401.33	2325.3	1012.01
38217	23092	52x90	203.58	41.31	-199476.42	1961.31	960.47
38217	22836	52x89	437.58	1717.45	-199242.42	1717.45	920.62
38217	22836	52x89	8.53	1641.31	-199671.47	1641.31	925.16
38217	22836	52x89	236.73	1387.75	-199443.27	1387.75	893.29
38217	22835	51x89	1853.48	1188.21	-199746.52	1188.21	873.58
38217	22835	51x89	1650.1	942.35	-199949.9	942.35	846.84
38217	22835	51x89	1218.48	1418.95	-200381.52	1418.95	824.85
38217	22835	51x89	963.03	1271.9	-200636.97	1271.9	783.85
38216	22835	51x89	1213.36	128.97	-200386.64	128.97	677.64
38216	22579	51x88	1158.05	1778.0	-200441.95	-142.0	664.94
38216	22578	50x88	1477.29	200.53	-202042.71	-1719.47	642.31
38216	22576	48x88	1733.41	1182.82	-205626.59	-737.18	834.92
38216	22576	48x88	1372.85	991.79	-205987.15	-928.21	860.85
38216	22577	49x88	42.67	1571.0	-205397.33	-349.0	802.36
38216	22578	50x88	1352.82	503.02	-202167.18	-1416.98	650.92
38216	22322	50x87	1802.47	1737.99	-201717.53	-2102.01	621.06
38217	23347	51x91	814.63	48.33	-200785.37	3888.33	1131.42
38217	23091	51x90	1039.11	1697.72	-200560.89	3617.72	1074.67
38217	23091	51x90	516.81	1764.63	-201083.19	3684.63	1083.69
38217	23091	51x90	677.54	1510.24	-200922.46	3430.24	1044.82
38217	23091	51x90	182.99	1607.12	-201417.01	3527.12	1054.15
38217	23091	51x90	312.65	1364.95	-201287.35	3284.95	1010.8
38217	23090	50x90	1763.29	1376.37	-201756.71	3296.37	1001.23
38217	23604	52x92	911.77	523.43	-198768.23	6283.43	1347.13
38217	23604	52x92	408.7	221.99	-199271.3	5981.99	1464.72
38217	23348	52x91	353.78	1698.35	-199326.22	5538.35	1374.98
38217	23348	52x91	136.55	1337.95	-199543.45	5177.95	1286.74
38217	23348	52x91	90.29	941.64	-199589.71	4781.64	1190.52
38217	23347	51x91	1820.02	520.62	-199779.98	4360.62	1120.27
38217	23347	51x91	1619.84	232.13	-199980.16	4072.13	1102.05
38217	23347	51x91	1537.22	884.49	-200062.78	4724.49	1246.4
38217	23347	51x91	1487.11	1275.19	-200112.89	5115.19	1359.47
38217	23348	52x91	1103.61	160.58	-198576.39	4000.58	980.51
38217	23348	52x91	1429.0	413.27	-198251.0	4253.27	938.42
38217	23348	52x91	1699.41	686.72	-197980.59	4526.72	958.18
38217	23349	53x91	3.51	1004.3	-197756.49	4844.3	1028.62
38217	23348	52x91	1511.08	939.33	-198168.92	4779.33	1027.23
38217	23348	52x91	1873.95	1394.22	-197806.05	5234.22	1118.58
38217	23349	53x91	228.24	1318.98	-197531.76	5158.98	1112.39
38217	23349	53x91	654.24	1051.31	-197105.76	4891.31	950.43
38217	23349	53x91	493.01	806.77	-197266.99	4646.77	911.11
38217	23349	53x91	827.72	747.88	-196932.28	4587.88	829.66
38217	23349	53x91	1011.51	1044.5	-196748.49	4884.5	935.73
38217	23349	53x91	621.11	404.2	-197138.89	4244.2	747.87
38217	23349	53x91	1134.3	681.58	-196625.7	4521.58	814.18
38217	23349	53x91	992.25	315.51	-196767.75	4155.51	729.07
38217	23093	53x90	358.61	1880.5	-197401.39	3800.5	654.41
38217	23092	52x90	1886.18	1584.11	-197793.82	3504.11	640.39
38217	23092	52x90	1607.73	1306.96	-198072.27	3226.96	673.06
