refid	region	sector	local_x	local_z	world_x	world_z	height
38153	-32752	16x-128	-2550.34	-1491.03	-271350.34	-418131.03	70.03
38153	-32752	16x-128	-2261.58	-1464.79	-271061.58	-418104.79	57.47
38153	-32752	16x-128	-2867.04	-1459.47	-271667.04	-418099.47	57.47
38153	-32752	16x-128	-2541.09	-1217.88	-271341.09	-417857.88	57.47
38153	-32752	16x-128	-2557.36	-1807.59	-271357.36	-418447.59	57.47
38153	-32752	16x-128	-2190.43	-1754.56	-270990.43	-418394.56	49.66
38153	-32752	16x-128	-2871.64	-1796.71	-271671.64	-418436.71	49.67
38153	-32752	16x-128	-2862.37	-1137.91	-271662.37	-417777.91	49.64
38153	-32752	16x-128	-2247.05	-1145.2	-271047.05	-417785.2	49.87
38151	-32755	13x-128	2521.74	-954.49	-272038.26	-417594.49	43.79
38152	-32755	13x-128	2521.74	-954.49	-272038.26	-417594.49	43.79
38151	-32755	13x-128	2189.73	-674.78	-272370.27	-417314.78	23.11
38152	-32755	13x-128	2801.16	-1217.7	-271758.84	-417857.7	23.11
38152	-32755	13x-128	2837.88	-661.91	-271722.12	-417301.91	23.11
38151	-32755	13x-128	2234.72	-1200.44	-272325.28	-417840.44	23.11
