refid	region	sector	local_x	local_z	world_x	world_z	height
38220	23349	53x91	1820.43	551.13	-195939.57	4391.13	886.86
38220	23350	54x91	355.26	507.22	-195484.74	4347.22	908.57
38220	23350	54x91	146.1	888.41	-195693.9	4728.41	937.31
38220	23350	54x91	762.56	344.77	-195077.44	4184.77	936.81
38220	23350	54x91	657.71	736.38	-195182.29	4576.38	954.32
38220	23094	54x90	891.8	1904.36	-194948.2	3824.36	951.91
38220	23350	54x91	156.9	149.04	-195683.1	3989.04	873.36
38220	23094	54x90	332.36	1641.27	-195507.64	3561.27	854.69
38220	23094	54x90	258.13	1843.16	-195581.87	3763.16	856.63
38220	23094	54x90	483.99	1275.13	-195356.01	3195.13	866.84
38220	23093	53x90	1528.99	1758.09	-196231.01	3678.09	666.82
38220	23093	53x90	1704.23	1418.13	-196055.77	3338.13	655.25
38220	23093	53x90	1741.07	1012.16	-196018.93	2932.16	658.04
38220	23093	53x90	1697.8	651.48	-196062.2	2571.48	659.5
38220	23094	54x90	202.22	562.81	-195637.78	2482.81	694.92
38220	23094	54x90	58.95	119.64	-195781.05	2039.64	806.94
38220	22837	53x89	1679.99	1790.32	-196080.01	1790.32	829.03
38220	23093	53x90	1418.47	275.71	-196341.53	2195.71	641.28
38220	22837	53x89	1277.04	1644.86	-196482.96	1644.86	854.98
38220	22837	53x89	970.33	1458.64	-196789.67	1458.64	905.52
38220	22837	53x89	1173.35	1133.64	-196586.65	1133.64	989.61
38220	22837	53x89	801.11	1171.79	-196958.89	1171.79	1023.38
38220	22837	53x89	668.63	1456.57	-197091.37	1456.57	1004.54
38220	22837	53x89	953.77	921.83	-196806.23	921.83	991.3
38220	22837	53x89	1474.79	1328.99	-196285.21	1328.99	950.65
38220	22838	54x89	405.31	1753.36	-195434.69	1753.36	873.53
38220	22838	54x89	102.39	1488.45	-195737.61	1488.45	877.36
38220	23095	55x90	298.86	896.06	-193621.14	2816.06	758.51
38220	23095	55x90	487.32	1256.82	-193432.68	3176.82	781.04
38220	23095	55x90	624.43	1709.45	-193295.57	3629.45	811.3
38220	23351	55x91	788.03	164.18	-193131.97	4004.18	843.37
38220	23351	55x91	985.1	490.53	-192934.9	4330.53	902.96
38220	23351	55x91	1170.26	1067.55	-192749.74	4907.55	919.29
38220	23351	55x91	1043.52	738.33	-192876.48	4578.33	911.14
38220	23094	54x90	1255.75	1008.15	-194584.25	2928.15	768.2
38220	23094	54x90	1228.56	1310.21	-194611.44	3230.21	816.69
38220	23094	54x90	1434.12	1640.83	-194405.88	3560.83	828.23
38220	23350	54x91	1634.21	36.77	-194205.79	3876.77	825.87
38220	23350	54x91	1816.39	372.48	-194023.61	4212.48	832.15
38220	23350	54x91	1690.77	667.17	-194149.23	4507.17	874.92
38220	23351	55x91	60.17	635.2	-193859.83	4475.2	853.45
38221	19004	60x74	830.71	311.36	-183489.29	-28488.64	37.8
38221	18748	60x73	857.69	1856.59	-183462.31	-28863.41	-17.89
38221	18748	60x73	914.22	1506.48	-183405.78	-29213.52	-73.55
38221	18748	60x73	969.75	1168.64	-183350.25	-29551.36	-61.02
38221	18748	60x73	1041.95	745.79	-183278.05	-29974.21	-17.25
38221	18748	60x73	1083.26	436.32	-183236.74	-30283.68	5.53
38221	19004	60x74	1253.07	323.54	-183066.93	-28476.46	15.7
38221	18748	60x73	1242.92	1868.61	-183077.08	-28851.39	-52.24
38221	18748	60x73	1313.31	1467.06	-183006.69	-29252.94	-111
38221	18748	60x73	1384.9	1177.92	-182935.1	-29542.08	-80.7
38221	18748	60x73	1405.67	778.41	-182914.33	-29941.59	-42.32
38221	18748	60x73	1495.89	377.22	-182824.11	-30342.78	14.1
38221	19004	60x74	1731.85	442.9	-182588.15	-28357.1	-0.76
38221	19004	60x74	1718.5	59.1	-182601.5	-28740.9	-49.81
