refid	region	sector	local_x	local_z	world_x	world_z	height
3809	26495	127x103	779.52	559.51	-54900.48	27439.51	167.93
3809	26495	127x103	480.94	321.26	-55199.06	27201.26	147.54
3809	26495	127x103	1192.99	478.93	-54487.01	27358.93	182.75
3809	26752	128x104	1360.63	1139.94	-52399.37	29939.94	170.38
3809	26752	128x104	1182.57	1154.17	-52577.43	29954.17	180.29
3809	26752	128x104	1547.27	1128.39	-52212.73	29928.39	152.49
3809	26753	129x104	267.13	636.64	-51572.87	29436.64	152.23
3809	26753	129x104	975.82	1178.33	-50864.18	29978.33	92.87
3809	26496	128x103	1081.44	1550.41	-52678.56	28430.41	232.09
3809	26752	128x104	585.29	88.59	-53174.71	28888.59	221.19
3809	26751	127x104	1803.53	9.39	-53876.47	28809.39	207.55
3809	26495	127x103	1757.07	1114.51	-53922.93	27994.51	206.52
3809	26495	127x103	682.74	1461.74	-54997.26	28341.74	255.33
3809	26752	128x104	189.59	1518.12	-53570.41	30318.12	161.9
3809	26751	127x104	1637.14	933.15	-54042.86	29733.15	254.16
3809	26751	127x104	1188.17	1204.39	-54491.83	30004.39	331.14
3809	26494	126x103	1731.49	610.14	-55868.51	27490.14	152.3
