refid	region	sector	local_x	local_z	world_x	world_z	height
3803	26755	131x104	845.08	1370.87	-47154.92	30170.87	-4.46
3803	26756	132x104	962.56	1336.1	-45117.44	30136.1	-79.22
3803	26499	131x103	628.36	1228.78	-47371.64	28108.78	-46.75
3803	26498	130x103	1589.47	840.75	-48330.53	27720.75	-110.23
3803	26498	130x103	1234.54	174.59	-48685.46	27054.59	-276.23
3803	26498	130x103	1363.27	1756.01	-48556.73	28636.01	89.32
3803	27012	132x105	1532.44	600.07	-44547.56	31320.07	-97.81
3803	27010	130x105	1009.56	367.53	-48910.44	31087.53	185.98
3803	26754	130x104	588.51	1709.23	-49331.49	30509.23	138.17
3803	27010	130x105	587.39	570.79	-49332.61	31290.79	303.62
3803	27010	130x105	1765.8	784.25	-48154.2	31504.25	110.81
3803	27011	131x105	947.09	763.61	-47052.91	31483.61	-0.76
3803	27011	131x105	969.31	237.77	-47030.69	30957.77	5.43
3803	26754	130x104	1786.41	1276.99	-48133.59	30076.99	95.53
3803	26754	130x104	798.09	457.49	-49121.91	29257.49	101.57
3803	26755	131x104	1192.62	682.5	-46807.38	29482.5	-34.2
3803	27012	132x105	191.19	406.04	-45888.81	31126.04	-50.39
3803	27012	132x105	117.14	1043.99	-45962.86	31763.99	-32.71
3803	27011	131x105	1628.3	1204.89	-46371.7	31924.89	46.45
3803	27010	130x105	886.81	1227.01	-49033.19	31947.01	293.64
3803	27009	129x105	1772.55	931.68	-50067.45	31651.68	350.42
3803	27009	129x105	1212.4	1133.45	-50627.6	31853.45	388.06
3803	26755	131x104	310.96	1320.82	-47689.04	30120.82	39.04
3803	26756	132x104	719.57	539.25	-45360.43	29339.25	11.71
3803	27012	132x105	834.18	249.82	-45245.82	30969.82	-89.07
