refid	region	sector	local_x	local_z	world_x	world_z	height
3810	27006	126x105	1685.52	541.23	-55914.48	31261.23	404
3810	27006	126x105	1703.09	593.4	-55896.91	31313.4	410.95
3810	27006	126x105	1663.14	594.17	-55936.86	31314.17	406.8
3810	27006	126x105	1647.72	547.9	-55952.28	31267.9	407.57
3810	27006	126x105	1687.83	532.44	-55912.17	31252.44	405.02
3810	25982	126x101	1679.93	1297.83	-55920.07	24337.83	43.37
3810	27012	132x105	311.86	142.96	-45768.14	30862.96	-49.92
3810	26759	135x104	498.86	1450.27	-39821.14	30250.27	-18.57
3810	26496	128x103	1660.08	317.32	-52099.92	27197.32	93.43
3810	26246	134x102	1760.02	855.46	-40479.98	25815.46	-39.74
