refid	region	sector	local_x	local_z	world_x	world_z	height
3808	26497	129x103	776.6	1451.2	-51063.4	28331.2	101.78
3808	26238	126x102	1900.35	249.65	-55699.65	25209.65	167.1
3808	26238	126x102	1786.44	249.86	-55813.56	25209.86	162.86
3808	26238	126x102	1842.57	414.23	-55757.43	25374.23	141.7
3808	26239	127x102	151.0	282.57	-55529.0	25242.57	159.28
3808	26238	126x102	347.36	824.36	-57252.64	25784.36	232.57
3808	26238	126x102	134.12	850.55	-57465.88	25810.55	284.03
3808	26238	126x102	350.03	642.05	-57249.97	25602.05	248.9
3808	26494	126x103	810.31	112.44	-56789.69	26992.44	84.73
3808	25982	126x101	1440.65	1331.57	-56159.35	24371.57	12.86
3808	25982	126x101	1792.59	645.24	-55807.41	23685.24	-3
3808	25983	127x101	803.69	1114.21	-54876.31	24154.21	42.89
3808	25983	127x101	149.89	169.67	-55530.11	23209.67	-3
3808	25982	126x101	638.56	1000.56	-56961.44	24040.56	-2.17
3808	25984	128x101	128.59	1453.66	-53631.41	24493.66	140.74
3808	25984	128x101	693.92	1876.13	-53066.08	24916.13	92.52
3808	26240	128x102	865.13	1612.66	-52894.87	26572.66	145.56
3808	26240	128x102	640.82	1171.56	-53119.18	26131.56	143.83
3808	26497	129x103	383.32	1445.92	-51456.68	28325.92	122.2
3808	26497	129x103	1155.78	1426.07	-50684.22	28306.07	95.67
3808	26497	129x103	96.87	548.15	-51743.13	27428.15	91.56
3808	26497	129x103	709.89	313.82	-51130.11	27193.82	87.96
3808	26496	128x103	1634.56	910.56	-52125.44	27790.56	141.11
3808	26241	129x102	185.48	1483.09	-51654.52	26443.09	70.63
3808	26496	128x103	1361.51	220.19	-52398.49	27100.19	93.06
3808	26237	125x102	1397.94	654.3	-58122.06	25614.3	372.28
3808	26239	127x102	1860.8	1699.55	-53819.2	26659.55	209.27
3808	26239	127x102	1837.16	934.01	-53842.84	25894.01	149.61
3808	26239	127x102	1116.35	1242.16	-54563.65	26202.16	118.15
3808	26238	126x102	1209.1	779.04	-56390.9	25739.04	94.6
3808	25983	127x101	1340.67	1852.56	-54339.33	24892.56	112.02
