refid	region	sector	local_x	local_z	world_x	world_z	height
3804	27017	137x105	945.72	879.31	-35534.28	31599.31	-83.04
3804	27016	136x105	16.04	708.14	-38383.96	31428.14	-64.49
3804	27017	137x105	737.46	1366.16	-35742.54	32086.16	-10.69
3804	27017	137x105	386.22	884.42	-36093.78	31604.42	-75.54
3804	27017	137x105	734.67	338.59	-35745.33	31058.59	-65.82
3804	27017	137x105	1296.14	407.73	-35183.86	31127.73	-2.34
3804	27016	136x105	1779.38	1428.64	-36620.62	32148.64	15.18
3804	27016	136x105	1878.55	226.92	-36521.45	30946.92	-103.15
3804	26761	137x104	1273.94	1575.7	-35206.06	30375.7	14.48
3804	27016	136x105	1426.21	705.28	-36973.79	31425.28	-101.79
3804	27016	136x105	1291.01	1200.91	-37108.99	31920.91	-27.68
3804	27016	136x105	1299.59	255.56	-37100.41	30975.56	-117.46
3804	27016	136x105	283.97	1407.85	-38116.03	32127.85	70.83
3804	27015	135x105	1457.06	1203.39	-38862.94	31923.39	-33.57
3804	27015	135x105	1335.92	618.91	-38984.08	31338.91	-58.77
3804	27016	136x105	39.56	68.69	-38360.44	30788.69	-73.59
3804	27015	135x105	888.86	1015.53	-39431.14	31735.53	-28.03
3804	27015	135x105	612.16	1499.73	-39707.84	32219.73	52.99
3804	27015	135x105	335.97	475.83	-39984.03	31195.83	20.48
3804	27015	135x105	18.55	900.43	-40301.45	31620.43	-59.09
3804	27014	134x105	1759.14	1439.78	-40480.86	32159.78	27.19
3804	26758	134x104	805.62	1697.38	-41434.38	30497.38	-124.62
3804	26760	136x104	873.97	1650.15	-37526.03	30450.15	-78.49
3804	27013	133x105	1467.8	153.05	-42692.2	30873.05	-130.97
3804	27013	133x105	972.71	109.44	-43187.29	30829.44	-114.04
3804	27013	133x105	945.62	985.42	-43214.38	31705.42	-86.06
3804	27014	134x105	123.15	853.38	-42116.85	31573.38	-95.12
3804	27014	134x105	919.56	1049.78	-41320.44	31769.78	-59.31
3804	26501	133x103	570.5	1545.92	-43589.5	28425.92	-70.22
3804	26244	132x102	1312.59	665.64	-44767.41	25625.64	-196.47
3804	26244	132x102	1485.9	352.99	-44594.1	25312.99	-195.64
3804	26245	133x102	47.49	890.61	-44112.51	25850.61	-122.77
3804	26245	133x102	973.93	895.69	-43186.07	25855.69	-38.09
3804	27014	134x105	1065.27	400.41	-41174.73	31120.41	-99.09
3804	26758	134x104	160.34	1287.48	-42079.66	30087.48	-73.05
3804	26246	134x102	1780.11	884.06	-40459.89	25844.06	-39.74
3804	27017	137x105	184.64	860.93	-36295.36	31580.93	-87.17
3804	26757	133x104	438.1	1171.54	-43721.9	29971.54	-118.48
3804	26501	133x103	1466.77	1560.28	-42693.23	28440.28	-37.15
3804	27016	136x105	741.94	811.62	-37658.06	31531.62	-88.91
3804	26758	134x104	1880.15	280.0	-40359.85	29080.0	-104.9
3804	27015	135x105	1200.12	112.8	-39119.88	30832.8	-34.84
