refid	region	sector	local_x	local_z	world_x	world_z	height
3799	26504	136x103	458.32	140.1	-37941.68	27020.1	-403.11
3799	25989	133x101	1847.33	1814.86	-42312.67	24854.86	-552.39
3799	25726	126x100	786.89	1128.68	-56813.11	22248.68	-511.72
3799	25728	128x100	658.66	865.36	-53101.34	21985.36	-491.58
3799	25985	129x101	223.93	1511.91	-51616.07	24551.91	-342.44
3799	25726	126x100	1389.2	532.42	-56210.8	21652.42	-478.52
3799	25727	127x100	358.42	641.06	-55321.58	21761.06	-443.53
3799	25727	127x100	1245.45	565.84	-54434.55	21685.84	-446.75
3799	25728	128x100	14.97	731.09	-53745.03	21851.09	-486.03
3799	25728	128x100	1427.51	1078.15	-52332.49	22198.15	-459.9
3799	25728	128x100	1186.77	1879.52	-52573.23	22999.52	-471.62
3799	25984	128x101	1584.65	533.03	-52175.35	23573.03	-419.49
3799	25985	129x101	1076.43	1816.45	-50763.57	24856.45	-324.32
3799	26241	129x102	1806.96	136.08	-50033.04	25096.08	-432.07
3799	26242	130x102	607.72	404.9	-49312.28	25364.9	-489.52
3799	26242	130x102	661.68	1104.82	-49258.32	26064.82	-485.84
3799	26242	130x102	1797.86	292.66	-48122.14	25252.66	-505.93
3799	26243	131x102	618.77	334.72	-47381.23	25294.72	-467
3799	25987	131x101	1327.06	1827.92	-46672.94	24867.92	-479.86
3799	25988	132x101	32.25	1262.59	-46047.75	24302.59	-516.92
3799	25988	132x101	733.08	804.25	-45346.92	23844.25	-539.06
3799	25989	133x101	10.98	922.96	-44149.02	23962.96	-479.68
3799	25989	133x101	700.44	1307.72	-43459.56	24347.72	-498.05
3799	26246	134x102	289.11	897.94	-41950.89	25857.94	-539.52
3799	25990	134x101	1086.65	1821.08	-41153.35	24861.08	-517.4
3799	25991	135x101	183.76	1343.46	-40136.24	24383.46	-483.36
3799	26247	135x102	1102.18	104.93	-39217.82	25064.93	-439.62
3799	26247	135x102	1857.66	506.83	-38462.34	25466.83	-421.11
3799	26247	135x102	1722.47	1366.12	-38597.53	26326.12	-390.44
3799	26502	134x103	884.89	263.91	-41355.11	27143.91	-512.5
3799	26502	134x103	1465.44	676.29	-40774.56	27556.29	-515.66
3799	26503	135x103	298.64	920.07	-40021.36	27800.07	-447.86
3799	26503	135x103	1056.82	641.57	-39263.18	27521.57	-483.98
3799	26504	136x103	1290.24	624.34	-37109.76	27504.34	-286.64
3799	26504	136x103	1877.43	1161.55	-36522.57	28041.55	-173.05
3799	26505	137x103	217.99	711.19	-36262.01	27591.19	-192.23
3799	26505	137x103	659.05	1246.36	-35820.95	28126.36	-161.65
3799	26506	138x103	38.9	1900.47	-34521.1	28780.47	-58.06
3799	25726	126x100	1062.32	833.56	-56537.68	21953.56	-497.7
3799	25728	128x100	1057.76	1346.1	-52702.24	22466.1	-480.82
3799	26246	134x102	409.9	251.49	-41830.1	25211.49	-540.42
3799	25989	133x101	1301.98	1507.72	-42858.02	24547.72	-541.05
3799	25990	134x101	1667.27	1644.06	-40572.73	24684.06	-523.16
3799	26502	134x103	292.17	86.87	-41947.83	26966.87	-518.89
3799	26503	135x103	1638.13	129.68	-38681.87	27009.68	-436.82
