refid	region	sector	local_x	local_z	world_x	world_z	height
3801	26250	138x102	414.52	1677.64	-34145.48	26637.64	32.66
3801	25738	138x100	196.88	1532.64	-34363.12	22652.64	-49.56
3801	25992	136x101	1495.59	1641.97	-36904.41	24681.97	6.18
3801	26250	138x102	344.77	1699.01	-34215.23	26659.01	12.21
3801	25738	138x100	155.39	1511.13	-34404.61	22631.13	-52.97
3801	25992	136x101	1477.9	1622.02	-36922.1	24662.02	9.92
3801	25992	136x101	703.41	985.05	-37696.59	24025.05	-21.17
3801	25992	136x101	1759.89	353.65	-36640.11	23393.65	2.47
3801	25736	136x100	1847.2	1245.42	-36552.8	22365.42	-18.35
3801	25736	136x100	1785.51	177.12	-36614.49	21297.12	-48.33
3801	25737	137x100	1063.89	74.31	-35416.11	21194.31	24.82
3801	25737	137x100	908.26	997.3	-35571.74	22117.3	-51.7
3801	25993	137x101	906.34	310.07	-35573.66	23350.07	-54.8
3801	25993	137x101	818.81	1505.33	-35661.19	24545.33	-2.97
3801	25993	137x101	1821.41	944.19	-34658.59	23984.19	-10.14
3801	26249	137x102	665.13	727.29	-35814.87	25687.29	-31.64
3801	26249	137x102	784.75	1800.01	-35695.25	26760.01	-111.45
3801	25994	138x101	1169.65	1559.45	-33390.35	24599.45	22.55
3801	25994	138x101	1298.25	711.02	-33261.75	23751.02	-18.7
3801	25738	138x100	894.74	493.06	-33665.26	21613.06	52.03
3801	26249	137x102	1771.15	139.73	-34708.85	25099.73	-47.96
3801	26250	138x102	1032.29	776.35	-33527.71	25736.35	46.68
3801	26506	138x103	1376.05	362.75	-33183.95	27242.75	13.07
3801	26506	138x103	519.89	937.7	-34040.11	27817.7	-1.4
3801	26248	136x102	1525.71	924.83	-36874.29	25884.83	-21.98
3801	25480	136x99	658.43	1610.64	-37741.57	20810.64	-87.28
3801	25736	136x100	822.95	846.26	-37577.05	21966.26	29.7
3801	25736	136x100	905.19	1800.31	-37494.81	22920.31	-69.56
3801	25214	126x98	1150.36	1128.83	-56449.64	18408.83	31.27
3801	25215	127x98	979.31	1206.03	-54700.69	18486.03	-36.95
3801	25471	127x99	621.8	1234.94	-55058.2	20434.94	-30.84
3801	25470	126x99	1190.79	1442.58	-56409.21	20642.58	-41.17
3801	25214	126x98	408.49	1820.86	-57191.51	19100.86	-2.56
3801	25214	126x98	1399.28	1573.7	-56200.72	18853.7	1.42
3801	25469	125x99	1479.39	1329.18	-58040.61	20529.18	63.66
3801	25469	125x99	1635.39	418.94	-57884.61	19618.94	45.85
3801	25471	127x99	1641.92	176.96	-54038.08	19376.96	31.63
3801	25471	127x99	1403.15	1399.99	-54276.85	20599.99	-71.64
3801	26249	137x102	1684.41	1086.94	-34795.59	26046.94	7.53
