refid	region	sector	local_x	local_z	world_x	world_z	height
3798	25734	134x100	1608.88	1429.5	-40631.12	22549.5	11.96
3798	25990	134x101	1249.15	25.51	-40990.85	23065.51	-17.78
3798	25991	135x101	113.66	129.9	-40206.34	23169.9	2.33
3798	25478	134x99	1468.45	1426.59	-40771.55	20626.59	-85.98
3798	25734	134x100	673.52	460.22	-41566.48	21580.22	-80.85
3798	25478	134x99	796.77	1475.25	-41443.23	20675.25	9.36
3798	25734	134x100	1654.83	530.67	-40585.17	21650.67	-96.93
3798	25735	135x100	465.69	151.25	-39854.31	21271.25	-151.44
3798	25731	131x100	551.01	455.62	-47448.99	21575.62	-36.48
3798	25475	131x99	1222.1	1679.16	-46777.9	20879.16	-28.39
3798	25731	131x100	1314.83	465.71	-46685.17	21585.71	-15.93
3798	25732	132x100	66.48	566.81	-46013.52	21686.81	-82.31
3798	25732	132x100	820.41	1200.7	-45259.59	22320.7	-197.87
3798	25732	132x100	1.62	1399.49	-46078.38	22519.49	-186.56
3798	25474	130x99	1389.64	834.83	-48530.36	20034.83	-53.79
3798	25474	130x99	599.59	1201.02	-49320.41	20401.02	-68.29
3798	25474	130x99	1286.42	1564.72	-48633.58	20764.72	-87.13
3798	25986	130x101	823.87	231.5	-49096.13	23271.5	-122.86
3798	25986	130x101	943.41	964.77	-48976.59	24004.77	-142.82
3798	25986	130x101	403.12	749.73	-49516.88	23789.73	-103.81
3798	25985	129x101	1531.3	1166.05	-50308.7	24206.05	-1.5
3798	25985	129x101	1180.04	329.07	-50659.96	23369.07	-28.76
3798	25729	129x100	1852.57	1789.85	-49987.43	22909.85	-53.71
3798	25729	129x100	1198.5	1560.64	-50641.5	22680.64	-18.16
3798	25990	134x101	91.96	475.77	-42148.04	23515.77	-145.04
3798	25734	134x100	485.08	1362.42	-41754.92	22482.42	-95.72
3798	25733	133x100	1749.49	703.93	-42410.51	21823.93	-76.17
3798	25733	133x100	1532.89	1579.79	-42627.11	22699.79	-203.46
3798	25733	133x100	898.71	912.79	-43261.29	22032.79	-162.6
3798	25989	133x101	592.5	93.6	-43567.5	23133.6	-317.19
3798	25732	132x100	1906.37	1270.37	-44173.63	22390.37	-234.96
3798	25732	132x100	1689.25	223.65	-44390.75	21343.65	-103.36
3798	25476	132x99	796.8	1552.3	-45283.2	20752.3	-127.19
3798	25476	132x99	1289.1	852.88	-44790.9	20052.88	-58.05
3798	25476	132x99	957.98	96.89	-45122.02	19296.89	-4.41
3798	25476	132x99	497.21	685.89	-45582.79	19885.89	-100.32
3798	25476	132x99	65.68	1166.16	-46014.32	20366.16	-92.23
3798	25475	131x99	1646.85	444.9	-46353.15	19644.9	-111.02
3798	25220	132x98	168.84	1729.57	-45911.16	19009.57	-24.38
3798	25219	131x98	1366.49	1433.56	-46633.51	18713.56	-23.24
3798	25475	131x99	681.56	24.39	-47318.44	19224.39	-66.27
3798	25475	131x99	848.43	889.77	-47151.57	20089.77	-19.97
3798	25475	131x99	243.85	692.55	-47756.15	19892.55	20.5
3798	25730	130x100	1587.6	454.03	-48332.4	21574.03	-4.75
3798	25730	130x100	1713.78	1236.39	-48206.22	22356.39	-42.1
3798	25987	131x101	35.89	111.91	-47964.11	23151.91	-204.07
3798	25730	130x100	838.86	896.63	-49081.14	22016.63	-70.63
3798	25730	130x100	213.54	242.05	-49706.46	21362.05	-90.62
3798	25729	129x100	1911.97	1063.43	-49928.03	22183.43	-47.59
3798	25729	129x100	1092.42	527.32	-50747.58	21647.32	-58.1
3798	25473	129x99	1691.36	1523.94	-50148.64	20723.94	-0.59
3798	25473	129x99	961.2	837.85	-50878.8	20037.85	-18.33
3798	25473	129x99	414.43	1619.51	-51425.57	20819.51	-71.13
3798	25472	128x99	1580.05	861.95	-52179.95	20061.95	-62.14
3798	25472	128x99	1234.3	1630.7	-52525.7	20830.7	-20.8
3798	25472	128x99	330.76	1465.48	-53429.24	20665.48	-29.91
3798	25472	128x99	581.25	550.28	-53178.75	19750.28	13.4
3798	25991	135x101	739.2	389.89	-39580.8	23429.89	-35.77
3798	25735	135x100	705.66	1367.99	-39614.34	22487.99	45.73
3798	25479	135x99	997.7	1441.33	-39322.3	20641.33	-25.93
3798	25987	131x101	10.6	1089.75	-47989.4	24129.75	-347.19
