refid	region	sector	local_x	local_z	world_x	world_z	height
1968	26524	156x103	620.62	63.45	620.62	26943.45	0
1968	26524	156x103	362.19	1404.75	362.19	28284.75	9.55
1968	26523	155x103	1593.54	1764.85	-326.46	28644.85	-5.36
1968	26523	155x103	344.06	1799.47	-1575.94	28679.47	24.7
1968	26778	154x104	502.02	1266.42	-3337.98	30066.42	-7.37
1968	27290	154x106	369.41	406.24	-3470.59	33046.24	-21.57
1968	26784	160x104	1136.08	1676.6	8816.08	30476.6	-45.53
1968	27041	161x105	1038.27	295.41	10638.27	31015.41	-45.27
1968	27041	161x105	414.65	1773.17	10014.65	32493.17	-14.72
1968	27040	160x105	1231.14	567.6	8911.14	31287.6	6.87
1968	27040	160x105	1283.77	1425.4	8963.77	32145.4	-4.29
1968	27040	160x105	410.31	867.19	8090.31	31587.19	-41.31
1968	27295	159x106	1365.89	265.34	7125.89	32905.34	-17.04
1968	27039	159x105	1096.41	833.29	6856.41	31553.29	-78.07
1968	27038	158x105	1912.24	982.52	5752.24	31702.52	-27.37
1968	27294	158x106	1146.24	83.91	4986.24	32723.91	6.67
1968	27038	158x105	499.51	955.17	4339.51	31675.17	1.23
1968	27294	158x106	167.8	204.29	4007.8	32844.29	43.06
1968	27037	157x105	894.09	1643.91	2814.09	32363.91	-18.27
1968	27037	157x105	585.43	366.13	2505.43	31086.13	-8.76
1968	27037	157x105	99.2	1310.65	2019.2	32030.65	-13.67
1968	27293	157x106	370.07	239.9	2290.07	32879.9	-23.1
1968	27292	156x106	1524.25	583.43	1524.25	33223.43	14.09
1968	27036	156x105	1175.82	1289.67	1175.82	32009.67	-27.16
1968	27292	156x106	696.0	204.05	696.0	32844.05	-22.28
1968	27036	156x105	1452.28	506.18	1452.28	31226.18	8.1
1968	26780	156x104	1846.09	1128.58	1846.09	29928.58	-12.34
1968	26780	156x104	979.19	494.95	979.19	29294.95	39.98
1968	26780	156x104	336.61	231.31	336.61	29031.31	0.97
1968	26780	156x104	843.08	1323.31	843.08	30123.31	-5.6
1968	26780	156x104	43.87	779.57	43.87	29579.57	-5.8
1968	26779	155x104	845.89	507.17	-1074.11	29307.17	-12.53
1968	26779	155x104	133.88	646.69	-1786.12	29446.69	11.76
1968	26778	154x104	1619.66	1695.97	-2220.34	30495.97	29.67
1968	26779	155x104	652.12	1293.73	-1267.88	30093.73	-11.59
1968	27035	155x105	1292.86	158.0	-627.14	30878.0	-15.87
1968	27036	156x105	131.95	434.48	131.95	31154.48	-23.47
1968	27036	156x105	944.34	82.87	944.34	30802.87	-16.72
1968	27036	156x105	219.84	1428.82	219.84	32148.82	-29.43
1968	27291	155x106	1809.55	302.1	-110.45	32942.1	-17.78
1968	27291	155x106	1122.56	445.75	-797.44	33085.75	-16.36
1968	27035	155x105	1093.81	1315.69	-826.19	32035.69	-37.83
1968	27290	154x106	1340.55	15.97	-2499.45	32655.97	-33.88
1968	27034	154x105	1866.52	1032.92	-1973.48	31752.92	-38.22
1968	27035	155x105	574.84	47.29	-1345.16	30767.29	-21.88
1968	26783	159x104	1467.73	1139.42	7227.73	29939.42	67.07
