refid	region	sector	local_x	local_z	world_x	world_z	height
1960	26528	160x103	420.86	350.05	8100.86	27230.05	-56.63
1960	26784	160x104	1682.92	81.61	9362.92	28881.61	-42.53
1960	26529	161x103	950.38	1890.63	10550.38	28770.63	-12.13
1960	26017	161x101	811.08	1892.3	10411.08	24932.3	19.79
1960	26529	161x103	1135.39	261.77	10735.39	27141.77	-34.94
1960	26013	157x101	1354.8	1232.68	3274.8	24272.68	29.84
1960	26013	157x101	1919.37	760.79	3839.37	23800.79	91.65
1960	26272	160x102	1237.68	575.46	8917.68	25535.46	-24.77
1960	26015	159x101	1890.59	949.21	7650.59	23989.21	50.67
1960	26013	157x101	5.01	1219.24	1925.01	24259.24	-6.87
1960	26529	161x103	134.99	1060.29	9734.99	27940.29	-9.23
1960	26529	161x103	1337.22	969.26	10937.22	27849.26	5.35
1960	26272	160x102	888.13	1904.67	8568.13	26864.67	14.17
1960	26527	159x103	1836.59	1451.12	7596.59	28331.12	-87.04
1960	25757	157x100	251.0	360.9	2171.0	21480.9	-11.3
1960	25757	157x100	510.89	1197.89	2430.89	22317.89	-58.14
1960	25758	158x100	1163.45	467.29	5003.45	21587.29	86.87
1960	25758	158x100	828.1	1263.87	4668.1	22383.87	22.39
1960	25759	159x100	1037.29	1681.61	6797.29	22801.61	37.14
1960	25757	157x100	1545.78	395.47	3465.78	21515.47	192.35
