refid	region	sector	local_x	local_z	world_x	world_z	height
1963	26007	151x101	460.51	1023.06	-9139.49	24063.06	0
1963	25751	151x100	1201.78	1643.49	-8398.22	22763.49	0
1963	25753	153x100	1249.09	506.19	-4510.91	21626.19	5.94
1963	25499	155x99	1253.12	1825.73	-666.88	21025.73	9.6
1963	25756	156x100	611.43	504.48	611.43	21624.48	-58.21
1963	25756	156x100	1569.85	1207.32	1569.85	22327.32	-57.07
1963	26007	151x101	1609.34	1387.39	-7990.66	24427.39	-0.98
1963	26008	152x101	981.36	1549.19	-6698.64	24589.19	-26.59
1963	26009	153x101	62.78	1282.76	-5697.22	24322.76	-84.58
1963	26008	152x101	1753.0	477.1	-5927.0	23517.1	-69.75
1963	26009	153x101	1620.07	1607.24	-4139.93	24647.24	-55.37
1963	25753	153x100	1363.41	1377.2	-4396.59	22497.2	27.43
1963	25756	156x100	196.8	1917.98	196.8	23037.98	-29.41
1963	26011	155x101	1551.52	656.68	-368.48	23696.68	-21.11
1963	26012	156x101	943.77	1027.34	943.77	24067.34	-55.14
1963	26011	155x101	742.26	835.79	-1177.74	23875.79	-25.29
1963	26010	154x101	1402.85	664.73	-2437.15	23704.73	-37.87
1963	26010	154x101	528.29	1041.43	-3311.71	24081.43	-81.21
1963	26010	154x101	598.22	1855.09	-3241.78	24895.09	-65.24
1963	26011	155x101	45.63	1334.45	-1874.37	24374.45	-65.74
1963	26011	155x101	1478.41	1402.66	-441.59	24442.66	-51.99
1963	26012	156x101	442.91	1866.24	442.91	24906.24	107.99
1963	26268	156x102	1456.81	568.62	1456.81	25528.62	-13.08
1963	26267	155x102	1919.2	1449.04	-0.8	26409.04	0
1963	26267	155x102	934.04	31.07	-985.96	24991.07	-4.2
1963	26267	155x102	1290.54	555.67	-629.46	25515.67	-0.78
1963	26267	155x102	1112.08	1366.37	-807.92	26326.37	7.27
1963	26267	155x102	262.94	1543.1	-1657.06	26503.1	-12.94
1963	26523	155x103	443.79	414.9	-1476.21	27294.9	-21.62
1963	26522	154x103	995.27	699.01	-2844.73	27579.01	-78.68
1963	26522	154x103	594.87	303.8	-3245.13	27183.8	-95.74
1963	26266	154x102	1224.82	1478.18	-2615.18	26438.18	-55.99
1963	26266	154x102	336.3	886.19	-3503.7	25846.19	-90.46
1963	26266	154x102	1901.64	1017.6	-1938.36	25977.6	-12.92
1963	26010	154x101	1755.33	1786.04	-2084.67	24826.04	-38.92
1963	26007	151x101	1093.48	420.32	-8506.52	23460.32	0
1963	24987	155x97	481.31	814.11	-1438.69	16174.11	68.95
1963	24728	152x96	547.8	1177.06	-7132.2	14617.06	85.87
1963	25499	155x99	1474.83	1017.15	-445.17	20217.15	-1.96
1963	25496	152x99	247.82	935.35	-7432.18	20135.35	9.13
1963	25240	152x98	444.89	1099.65	-7235.11	18379.65	0
1963	24729	153x96	898.31	1738.04	-4861.69	15178.04	77.53
1963	25498	154x99	1695.67	334.96	-2144.33	19534.96	-15.57
1963	27033	153x105	1283.17	743.99	-4476.83	31463.99	-11.63
1963	26517	149x103	1515.34	1062.8	-11924.66	27942.8	18.32
1963	26517	149x103	1019.47	465.84	-12420.53	27345.84	13.01
1963	26517	149x103	275.96	1237.03	-13164.04	28117.03	135
1963	26261	149x102	443.1	1847.99	-12996.9	26807.99	130
1963	26516	148x103	645.79	310.75	-14714.21	27190.75	51
1963	26263	151x102	523.65	1734.82	-9076.35	26694.82	-93.27
1963	26519	151x103	144.48	905.8	-9455.52	27785.8	-91.85
1963	26523	155x103	566.86	1114.85	-1353.14	27994.85	-88.25
1963	26268	156x102	280.96	659.14	280.96	25619.14	31.98
1963	25754	154x100	414.18	701.0	-3425.82	21821.0	-14.07
1963	24987	155x97	355.74	1880.54	-1564.26	17240.54	67.9
1963	24986	154x97	329.56	541.45	-3510.44	15901.45	67.13
1963	24986	154x97	39.56	1399.17	-3800.44	16759.17	26.55
1963	25498	154x99	163.44	821.53	-3676.56	20021.53	2.83
1963	25241	153x98	1027.14	1034.46	-4732.86	18314.46	0.82
1963	24984	152x97	1672.65	1479.66	-6007.35	16839.66	17.53
1963	25241	153x98	388.03	1574.53	-5371.97	18854.53	11.75
1963	25752	152x100	1417.25	820.34	-6262.75	21940.34	8.71
1963	25752	152x100	63.04	322.78	-7616.96	21442.78	0
1963	25239	151x98	1184.66	398.99	-8415.34	17678.99	0.01
1963	25751	151x100	1432.32	762.71	-8167.68	21882.71	0
