refid	region	sector	local_x	local_z	world_x	world_z	height
1966	25751	151x100	1294.99	419.81	-8305.01	21539.81	27.71
1966	25754	154x100	1393.38	301.8	-2446.62	21421.8	-8.64
1966	25752	152x100	474.68	178.79	-7205.32	21298.79	0
1966	25497	153x99	712.06	1818.26	-5047.94	21018.26	15.86
1966	25751	151x100	1330.79	1015.97	-8269.21	22135.97	0
1966	25495	151x99	1277.55	693.0	-8322.45	19893.0	2.78
1966	25238	150x98	1804.02	683.91	-9715.98	17963.91	0.27
1966	24987	155x97	573.78	1641.4	-1346.22	17001.4	60.57
1966	24729	153x96	1473.78	1816.96	-4286.22	15256.96	68.77
1966	24984	152x97	284.23	33.0	-7395.77	15393.0	35.45
1966	24984	152x97	1459.99	1243.3	-6220.01	16603.3	5.87
1966	25242	154x98	132.67	102.36	-3707.33	17382.36	25.81
1966	25499	155x99	538.05	220.51	-1381.95	19420.51	-22.7
1966	25497	153x99	1669.92	1052.85	-4090.08	20252.85	4.05
1966	25241	153x98	756.46	1379.16	-5003.54	18659.16	1.31
1966	25241	153x98	0.23	1919.98	-5759.77	19199.98	8.73
1966	25240	152x98	617.13	1539.82	-7062.87	18819.82	0
1966	25239	151x98	835.27	429.83	-8764.73	17709.83	0.01
1966	24984	152x97	108.06	1572.83	-7571.94	16932.83	0
1966	25752	152x100	1340.42	1217.61	-6339.58	22337.61	-3.3
1966	25496	152x99	1889.78	1186.39	-5790.22	20386.39	0
1966	25499	155x99	1866.86	465.1	-53.14	19665.1	45.04
1966	25499	155x99	1655.74	1779.87	-264.26	20979.87	-32.74
1966	25756	156x100	1080.6	1123.93	1080.6	22243.93	-57.25
1966	26012	156x101	126.83	42.32	126.83	23082.32	-45
1966	25499	155x99	623.95	1856.74	-1296.05	21056.74	-5.91
1966	25498	154x99	1066.53	481.48	-2773.47	19681.48	-10.32
