refid	region	sector	local_x	local_z	world_x	world_z	height
1958	26013	157x101	115.08	736.86	2035.08	23776.86	-66.42
1958	26528	160x103	1465.67	1140.48	9145.67	28020.48	-89.54
1958	25757	157x100	795.2	1760.24	2715.2	22880.24	-24.22
1958	26528	160x103	435.86	1058.4	8115.86	27938.4	-92.24
1958	26529	161x103	388.73	313.08	9988.73	27193.08	-81.58
1958	26015	159x101	465.71	797.22	6225.71	23837.22	65.63
1958	26269	157x102	635.38	11.85	2555.38	24971.85	-7.47
1958	25757	157x100	211.12	1446.52	2131.12	22566.52	-24.75
1958	25757	157x100	279.72	746.1	2199.72	21866.1	-5.84
1958	25758	158x100	1015.18	1118.22	4855.18	22238.22	43.05
1958	26017	161x101	461.8	1501.96	10061.8	24541.96	26.42
1958	26273	161x102	1099.81	889.73	10699.81	25849.73	11.26
1958	26273	161x102	74.01	496.33	9674.01	25456.33	-23.48
1958	26016	160x101	511.21	1384.4	8191.21	24424.4	45.91
1958	26272	160x102	583.89	1011.72	8263.89	25971.72	-43.68
1958	26529	161x103	821.81	1084.09	10421.81	27964.09	-47.94
1958	26271	159x102	1849.16	1780.06	7609.16	26740.06	-7.96
1958	26271	159x102	1307.92	532.62	7067.92	25492.62	-18.04
1958	26528	160x103	1088.97	607.48	8768.97	27487.48	-57.59
1958	25757	157x100	1583.45	1841.82	3503.45	22961.82	-7.89
