refid	region	sector	local_x	local_z	world_x	world_z	height
1965	25496	152x99	1431.37	673.72	-6248.63	19873.72	0
1965	24984	152x97	777.83	634.98	-6902.17	15994.98	0.56
1965	24728	152x96	1226.15	806.3	-6453.85	14246.3	60.63
1965	25242	154x98	133.14	1118.78	-3706.86	18398.78	0.11
1965	26260	148x102	1683.06	1522.65	-13676.94	26482.65	183
1965	26261	149x102	876.89	760.96	-12563.11	25720.96	0
1965	26262	150x102	380.75	783.92	-11139.25	25743.92	73
1965	26262	150x102	876.15	1548.73	-10643.85	26508.73	-26.24
1965	26263	151x102	16.37	1698.28	-9583.63	26658.28	5.39
1965	26519	151x103	392.82	372.11	-9207.18	27252.11	-103.49
1965	26518	150x103	1165.26	914.3	-10354.74	27794.3	27.6
1965	26778	154x104	65.16	1537.34	-3774.84	30337.34	47.03
1965	27289	153x106	1867.83	113.83	-3892.17	32753.83	-31.16
1965	27033	153x105	1382.24	1325.79	-4377.76	32045.79	-25.51
1965	27033	153x105	754.87	925.77	-5005.13	31645.77	-14.51
1965	27289	153x106	992.19	135.31	-4767.81	32775.31	37.97
1965	27289	153x106	1031.88	942.69	-4728.12	33582.69	0.87
1965	27289	153x106	286.95	1109.33	-5473.05	33749.33	10.51
1965	27288	152x106	1889.51	87.82	-5790.49	32727.82	-17.36
1965	27032	152x105	1838.65	1073.41	-5841.35	31793.41	-22.41
1965	26776	152x104	1277.47	1564.62	-6402.53	30364.62	2.88
1965	27032	152x105	1273.29	1548.27	-6406.71	32268.27	-20.2
1965	27288	152x106	1211.74	570.04	-6468.26	33210.04	12.72
1965	27288	152x106	0.4	775.54	-7679.6	33415.54	0
1965	27032	152x105	463.16	1545.74	-7216.84	32265.74	-10.5
1965	27032	152x105	85.09	581.13	-7594.91	31301.13	16
1965	26776	152x104	221.96	1033.27	-7458.04	29833.27	-15.37
1965	27287	151x106	1323.78	54.82	-8276.22	32694.82	0
1965	27031	151x105	1216.64	960.67	-8383.36	31680.67	-2.6
1965	26775	151x104	976.79	605.95	-8623.21	29405.95	-76.37
1965	26519	151x103	50.23	1765.22	-9549.77	28645.22	-104.16
1965	26518	150x103	873.9	1628.01	-10646.1	28508.01	-35.62
1965	26774	150x104	338.68	622.26	-11181.32	29422.26	115.3
1965	26774	150x104	208.52	1739.9	-11311.48	30539.9	0.11
1965	27030	150x105	763.51	945.19	-10756.49	31665.19	0
1965	27029	149x105	859.82	656.4	-12580.18	31376.4	99
1965	27029	149x105	1607.96	225.61	-11832.04	30945.61	0
1965	26773	149x104	1439.54	1135.13	-12000.46	29935.13	69
1965	27029	149x105	0.54	409.78	-13439.46	31129.78	276
1965	26773	149x104	165.61	975.16	-13274.39	29775.16	113
1965	26772	148x104	1192.72	654.3	-14167.28	29454.3	136
1965	26517	149x103	1158.89	1581.92	-12281.11	28461.92	0
1965	26516	148x103	752.96	685.85	-14607.04	27565.85	45
1965	26516	148x103	714.68	1558.54	-14645.32	28438.54	158
1965	26517	149x103	566.85	1700.16	-12873.15	28580.16	0
1965	26773	149x104	1049.13	1693.96	-12390.87	30493.96	74
1965	27028	148x105	454.3	636.63	-14905.7	31356.63	410.29
1965	27028	148x105	1019.27	1664.46	-14340.73	32384.46	502.07
1965	25754	154x100	1107.83	456.13	-2732.17	21576.13	2.78
1965	24986	154x97	1197.28	294.95	-2642.72	15654.95	68.54
1965	24730	154x96	19.7	1876.28	-3820.3	15316.28	68.58
1965	25242	154x98	980.51	1396.92	-2859.49	18676.92	-7.6
1965	25497	153x99	1258.67	1447.52	-4501.33	20647.52	3.04
1965	24729	153x96	66.14	1366.82	-5693.86	14806.82	65.24
1965	25241	153x98	336.2	236.3	-5423.8	17516.3	15.19
1965	25497	153x99	209.35	1446.89	-5550.65	20646.89	6.19
1965	25752	152x100	792.98	286.94	-6887.02	21406.94	0
1965	24984	152x97	53.26	1778.05	-7626.74	17138.05	0
1965	25239	151x98	373.24	588.0	-9226.76	17868.0	-0.01
1965	26772	148x104	1779.77	48.61	-13580.23	28848.61	8.3
1965	26516	148x103	1518.88	651.95	-13841.12	27531.95	-14.21
1965	27028	148x105	1390.36	524.33	-13969.64	31244.33	318.87
