refid	region	sector	local_x	local_z	world_x	world_z	height
1970	26284	172x102	963.19	1480.83	31683.19	26440.83	107.26
1970	26260	148x102	530.96	741.82	-14829.04	25701.82	0
1970	26006	150x101	147.26	1590.1	-11372.74	24630.1	0
1970	26006	150x101	1047.2	1569.26	-10472.8	24609.26	103.54
1970	26005	149x101	168.85	1421.02	-13271.15	24461.02	91.75
1970	26004	148x101	570.66	1372.17	-14789.34	24412.17	55.15
1970	26006	150x101	1311.73	573.58	-10208.27	23613.58	-8.47
1970	25750	150x100	297.76	1156.52	-11222.24	22276.52	-25.45
1970	25749	149x100	1033.82	742.75	-12406.18	21862.75	-0.02
1970	25748	148x100	1611.77	753.15	-13748.23	21873.15	3.87
1970	25492	148x99	898.89	1522.04	-14461.11	20722.04	99.86
1970	25492	148x99	1836.16	737.48	-13523.84	19937.48	0
1970	25748	148x100	484.71	117.72	-14875.29	21237.72	13.2
1970	25493	149x99	226.52	1770.77	-13213.48	20970.77	1.89
1970	25493	149x99	1153.75	1487.68	-12286.25	20687.68	105
1970	25494	150x99	958.73	1039.86	-10561.27	20239.86	0.17
1970	25493	149x99	1780.19	565.24	-11659.81	19765.24	0
1970	25493	149x99	875.75	55.71	-12564.25	19255.71	58.92
1970	25237	149x98	741.52	908.45	-12698.48	18188.45	12.76
1970	25237	149x98	1349.1	418.41	-12090.9	17698.41	8.07
1970	25238	150x98	554.88	873.33	-10965.12	18153.33	17.14
1970	24982	150x97	196.23	1810.13	-11323.77	17170.13	0
1970	25238	150x98	989.86	1430.79	-10530.14	18710.79	68.64
1970	25494	150x99	573.64	128.89	-10946.36	19328.89	0
1970	25495	151x99	290.33	928.86	-9309.67	20128.86	0
1970	25750	150x100	1736.19	0.65	-9783.81	21120.65	55
1970	25750	150x100	1444.31	1210.42	-10075.69	22330.42	-9.25
1970	25493	149x99	1581.95	1047.82	-11858.05	20247.82	48
1970	25239	151x98	2.85	1919.67	-9597.15	19199.67	5.73
1970	26004	148x101	1332.76	1711.57	-14027.24	24751.57	53.25
