refid	region	sector	local_x	local_z	world_x	world_z	height
2097	26014	158x101	800.28	1398.97	4640.28	24438.97	45.81
2097	26014	158x101	1840.56	1248.96	5680.56	24288.96	84.69
2097	26269	157x102	1170.7	329.53	3090.7	25289.53	-15.99
2097	26270	158x102	1237.9	807.26	5077.9	25767.26	-120.71
2097	26015	159x101	1357.31	1395.34	7117.31	24435.34	42.45
2097	26015	159x101	345.39	1763.13	6105.39	24803.13	76.25
2097	26271	159x102	74.99	1152.87	5834.99	26112.87	-88.36
2097	26270	158x102	42.42	618.66	3882.42	25578.66	6.71
2097	26271	159x102	1844.85	597.72	7604.85	25557.72	20.8
2097	26015	159x101	915.99	1879.53	6675.99	24919.53	19.49
2097	26271	159x102	500.81	548.23	6260.81	25508.23	-23
2097	26271	159x102	1285.95	1286.64	7045.95	26246.64	-46.75
2097	26270	158x102	657.15	195.25	4497.15	25155.25	-61.24
2097	26269	157x102	324.19	1677.76	2244.19	26637.76	8.66
2097	26524	156x103	1625.21	1101.46	1625.21	27981.46	-1.73
2097	26525	157x103	656.74	1871.35	2576.74	28751.35	-0.11
2097	26781	157x104	874.76	928.77	2794.76	29728.77	96.69
2097	26782	158x104	454.21	1886.28	4294.21	30686.28	96.14
2097	26782	158x104	1232.58	1041.9	5072.58	29841.9	-23.57
2097	26783	159x104	85.58	1576.97	5845.58	30376.97	-17.02
2097	26783	159x104	464.31	478.79	6224.31	29278.79	-113.19
2097	26527	159x103	746.25	1033.66	6506.25	27913.66	-82.5
2097	26269	157x102	1877.65	1440.16	3797.65	26400.16	-115.61
2097	26781	157x104	1844.82	413.33	3764.82	29213.33	34.38
2097	26527	159x103	1472.53	395.17	7232.53	27275.17	-72.48
2097	26526	158x103	1136.78	970.2	4976.78	27850.2	-97.39
