refid	region	sector	local_x	local_z	world_x	world_z	height
38935	23498	202x91	279.39	1758.82	88599.39	5598.82	-206
38936	23498	202x91	258.06	1829.55	88578.06	5669.55	-210.15
38939	23498	202x91	116.36	1597.67	88436.36	5437.67	-206.58
38965	22219	203x86	696.31	1749.22	90936.31	-4010.78	475.63
38955	-32746	22x-128	2.47	-653.84	-257277.53	-417293.84	1.11
38959	-32746	22x-128	-225.36	-1572.11	-257505.36	-418212.11	1.59
38961	-32746	22x-128	1238.27	846.36	-256041.73	-415793.64	1.59
38944	31980	236x124	901.04	804.18	154501.04	68004.18	950
38945	31980	236x124	827.28	753.28	154427.28	67953.28	992
38946	31980	236x124	760.79	691.98	154360.79	67891.98	1038
38948	31980	236x124	1026.89	683.56	154626.89	67883.56	1067
38949	31724	236x123	433.37	745.16	154033.37	66025.16	1115.29
38952	31980	236x124	1114.68	734.65	154714.68	67934.65	992.73
38953	32236	236x125	87.53	1089.31	153687.53	70209.31	856
38954	32237	237x125	135.66	1071.45	155655.66	70191.45	856
41761	32236	236x125	945.55	662.8	154545.55	69782.8	854.19
41762	31980	236x124	801.28	534.93	154401.28	67734.93	1115.52
41765	-32746	22x-128	-22.66	-323.99	-257302.66	-416963.99	1.11
38955	-32746	22x-128	-2.0	-137.0	-257282.0	-416777.0	1
38955	-32746	22x-128	-2.0	-137.0	-257282.0	-416777.0	1
38955	-32746	22x-128	-2.0	-137.0	-257282.0	-416777.0	1
